year,month,rank_ME,rank_CLAq_12,nstocks,ret_vw
1980,2,1,4,446,-1.7861
1980,2,1,5,477,-1.3107
1980,2,2,1,307,-1.6563
1980,2,2,2,303,-1.0805
1980,2,2,3,303,-0.2732
1980,2,2,4,285,-1.4426
1980,2,2,5,298,-0.7609
1980,2,3,1,237,-2.5141
1980,2,3,2,303,-2.9526
1980,2,3,3,337,0.9040
1980,2,3,4,370,2.5767
1980,2,3,5,327,2.0431
1980,3,1,1,635,-20.0511
1980,3,1,2,530,-19.0635
1980,3,1,3,490,-17.9821
1980,3,1,4,444,-18.3414
1980,3,1,5,480,-18.8683
1980,3,2,1,309,-17.3570
1980,3,2,2,303,-17.9560
1980,3,2,3,310,-18.7707
1980,3,2,4,280,-17.8948
1980,3,2,5,301,-18.3229
1980,3,3,1,237,-11.2855
1980,3,3,2,302,-10.3889
1980,3,3,3,338,-11.9368
1980,3,3,4,374,-11.2360
1980,3,3,5,332,-13.3738
1980,4,1,1,617,5.4423
1980,4,1,2,505,5.4218
1980,4,1,3,450,5.5272
1980,4,1,4,410,5.8933
1980,4,1,5,464,7.5504
1980,4,2,1,297,4.3402
1980,4,2,2,276,4.9930
1980,4,2,3,292,4.8852
1980,4,2,4,253,5.2056
1980,4,2,5,282,5.7383
1980,4,3,1,222,3.5810
1980,4,3,2,286,3.4110
1980,4,3,3,317,3.7973
1980,4,3,4,347,3.4877
1980,4,3,5,315,4.1911
1980,5,1,1,631,6.7175
1980,5,1,2,532,6.1481
1980,5,1,3,477,5.9963
1980,5,1,4,431,6.6106
1980,5,1,5,500,7.8606
1980,5,2,1,308,7.8506
1980,5,2,2,287,8.6690
1980,5,2,3,314,9.3983
1980,5,2,4,284,8.8343
1980,5,2,5,297,9.1478
1980,5,3,1,235,7.0543
1980,5,3,2,302,5.9892
1980,5,3,3,334,6.6449
1980,5,3,4,364,5.3789
1980,5,3,5,315,5.3424
1980,6,1,1,634,3.3269
1980,6,1,2,541,3.1140
1980,6,1,3,491,2.8548
1980,6,1,4,436,2.7837
1980,6,1,5,502,3.7329
1980,6,2,1,315,3.6178
