year,month,rank_ME,rank_Fq_12,nstocks,ret_vw
1987,9,3,3,340,-1.8851
1987,9,3,4,337,-1.2155
1987,9,3,5,270,-1.4923
1987,10,1,1,1128,-32.9176
1987,10,1,2,1198,-31.5649
1987,10,1,3,1205,-30.2933
1987,10,1,4,1059,-30.1388
1987,10,1,5,851,-29.8954
1987,10,2,1,260,-34.2752
1987,10,2,2,333,-32.4399
1987,10,2,3,359,-30.9986
1987,10,2,4,318,-31.0104
1987,10,2,5,235,-29.8872
1987,10,3,1,193,-25.9546
1987,10,3,2,248,-23.3130
1987,10,3,3,309,-22.8581
1987,10,3,4,313,-22.5172
1987,10,3,5,250,-23.4467
1987,11,1,1,1198,-8.3971
1987,11,1,2,1295,-6.5067
1987,11,1,3,1312,-4.6336
1987,11,1,4,1161,-4.3678
1987,11,1,5,914,-3.6880
1987,11,2,1,281,-6.5373
1987,11,2,2,353,-5.4707
1987,11,2,3,377,-5.0357
1987,11,2,4,342,-4.4004
1987,11,2,5,254,-3.9668
1987,11,3,1,205,-6.6250
1987,11,3,2,272,-8.5280
1987,11,3,3,333,-9.0049
1987,11,3,4,334,-8.2868
1987,11,3,5,272,-7.9027
1987,12,1,1,1200,3.9938
1987,12,1,2,1293,5.7289
1987,12,1,3,1316,5.3044
1987,12,1,4,1145,5.2464
1987,12,1,5,924,6.7228
1987,12,2,1,285,9.8428
1987,12,2,2,353,10.8791
1987,12,2,3,382,12.2305
1987,12,2,4,348,9.8429
1987,12,2,5,254,12.4402
1987,12,3,1,203,8.5325
1987,12,3,2,272,8.1953
1987,12,3,3,330,8.4090
1987,12,3,4,335,9.1462
1987,12,3,5,269,9.8219
1988,1,1,1,1101,6.3868
1988,1,1,2,1188,5.7281
1988,1,1,3,1228,5.6131
1988,1,1,4,1053,5.2948
1988,1,1,5,853,5.7583
1988,1,2,1,267,1.6221
1988,1,2,2,333,2.2753
1988,1,2,3,352,2.4118
1988,1,2,4,324,1.5987
1988,1,2,5,249,2.5813
1988,1,3,1,192,3.2385
1988,1,3,2,246,3.1954
1988,1,3,3,310,4.5581
1988,1,3,4,306,1.3258
1988,1,3,5,254,1.9902
1988,2,1,1,1190,7.2917
1988,2,1,2,1263,8.7403
1988,2,1,3,1329,8.4906
1988,2,1,4,1163,7.8274
1988,2,1,5,933,8.2346
1988,2,2,1,276,10.1546
1988,2,2,2,361,9.9214
1988,2,2,3,375,10.0607
1988,2,2,4,344,10.7990
1988,2,2,5,265,10.3456
1988,2,3,1,199,6.5558
1988,2,3,2,259,7.2590
1988,2,3,3,331,5.2649
1988,2,3,4,336,6.0399
1988,2,3,5,273,6.3083
1988,3,1,1,1178,4.2937
1988,3,1,2,1264,4.9277
1988,3,1,3,1327,5.9494
1988,3,1,4,1152,6.0352
1988,3,1,5,934,6.1800
1988,3,2,1,267,3.5763
1988,3,2,2,352,3.5889
1988,3,2,3,380,4.1379
1988,3,2,4,343,3.8138
1988,3,2,5,266,5.3168
1988,3,3,1,199,-2.6609
1988,3,3,2,253,-2.3400
1988,3,3,3,332,-1.3723
1988,3,3,4,340,-2.4001
1988,3,3,5,272,-2.6636
1988,4,1,1,1104,1.1005
1988,4,1,2,1161,2.3416
1988,4,1,3,1232,2.1952
1988,4,1,4,1067,2.5251
1988,4,1,5,858,3.3159
1988,4,2,1,243,1.4403
1988,4,2,2,329,2.0797
1988,4,2,3,359,1.8553
1988,4,2,4,331,1.7480
1988,4,2,5,243,1.7779
1988,4,3,1,180,0.3008
1988,4,3,2,223,1.2684
1988,4,3,3,302,0.6495
1988,4,3,4,313,1.4837
1988,4,3,5,249,1.6080
1988,5,1,1,1214,-2.6306
1988,5,1,2,1255,-2.7938
1988,5,1,3,1352,-2.7096
1988,5,1,4,1150,-1.8164
1988,5,1,5,947,-1.0938
1988,5,2,1,258,-2.8856
1988,5,2,2,338,-1.5083
1988,5,2,3,380,-1.5412
1988,5,2,4,348,-1.0449
1988,5,2,5,275,-0.1469
1988,5,3,1,192,0.2943
1988,5,3,2,240,0.1099
1988,5,3,3,322,-0.0025
1988,5,3,4,334,-0.5561
1988,5,3,5,275,0.0774
1988,6,1,1,1199,5.5513
1988,6,1,2,1257,7.2486
1988,6,1,3,1345,6.3309
1988,6,1,4,1140,6.5136
1988,6,1,5,950,6.2346
1988,6,2,1,254,8.7943
1988,6,2,2,341,8.5054
1988,6,2,3,375,7.3251
1988,6,2,4,345,7.9494
1988,6,2,5,272,6.8280
1988,6,3,1,188,6.9724
1988,6,3,2,238,5.4311
1988,6,3,3,319,3.9874
1988,6,3,4,327,4.9600
1988,6,3,5,276,6.4954
1988,7,1,1,1046,-0.8198
1988,7,1,2,1065,0.3797
1988,7,1,3,1214,-0.6439
1988,7,1,4,1038,-0.6400
1988,7,1,5,879,0.1800
1988,7,2,1,222,-2.4176
1988,7,2,2,313,-2.1680
1988,7,2,3,343,-1.5665
1988,7,2,4,308,-0.8589
1988,7,2,5,247,-1.3906
1988,7,3,1,152,-2.1656
