year,month,rank_ME,rank_GLAq_12,nstocks,ret_vw
1978,6,1,4,476,0.6648
1978,6,1,5,421,0.1115
1978,6,2,1,183,0.2131
1978,6,2,2,241,1.5698
1978,6,2,3,239,-0.6885
1978,6,2,4,217,0.4518
1978,6,2,5,201,-1.2025
1978,6,3,1,255,-0.6991
1978,6,3,2,274,-1.9752
1978,6,3,3,251,-2.9706
1978,6,3,4,240,-1.0995
1978,6,3,5,190,-0.1890
1978,7,1,1,304,5.4033
1978,7,1,2,365,6.1281
1978,7,1,3,393,6.2386
1978,7,1,4,463,6.6193
1978,7,1,5,404,5.7175
1978,7,2,1,160,5.9633
1978,7,2,2,232,8.5042
1978,7,2,3,228,6.0507
1978,7,2,4,207,5.9986
1978,7,2,5,192,6.0743
1978,7,3,1,231,4.8020
1978,7,3,2,261,4.1165
1978,7,3,3,243,5.5896
1978,7,3,4,228,6.8001
1978,7,3,5,188,7.3241
1978,8,1,1,311,7.7237
1978,8,1,2,380,10.2119
1978,8,1,3,417,8.0835
1978,8,1,4,470,9.5270
1978,8,1,5,416,10.2999
1978,8,2,1,163,6.3692
1978,8,2,2,242,7.1256
1978,8,2,3,239,8.0085
1978,8,2,4,217,8.0148
1978,8,2,5,197,11.6217
1978,8,3,1,238,2.0916
1978,8,3,2,270,4.0441
1978,8,3,3,251,4.2081
1978,8,3,4,237,2.7413
1978,8,3,5,198,3.5280
1978,9,1,1,306,-0.0991
1978,9,1,2,385,-0.9985
1978,9,1,3,419,0.1214
1978,9,1,4,465,-1.3322
1978,9,1,5,419,-1.4726
1978,9,2,1,166,-1.0108
1978,9,2,2,243,0.5734
1978,9,2,3,243,-2.2033
1978,9,2,4,223,-2.9368
1978,9,2,5,203,-2.3714
1978,9,3,1,236,0.2701
1978,9,3,2,263,1.1114
1978,9,3,3,254,0.5528
1978,9,3,4,233,-1.8907
1978,9,3,5,198,-3.5546
1978,10,1,1,302,-21.3808
1978,10,1,2,375,-23.1971
1978,10,1,3,407,-25.4637
1978,10,1,4,451,-25.0508
1978,10,1,5,413,-24.5297
1978,10,2,1,155,-16.7689
1978,10,2,2,228,-22.0277
1978,10,2,3,240,-21.7695
1978,10,2,4,218,-20.4038
1978,10,2,5,204,-20.7885
1978,10,3,1,231,-9.0955
