year,month,rank_ME,rank_GPA,nstocks,ret_vw
1970,3,2,4,84,-2.1569
1970,3,2,5,76,-2.7784
1970,3,3,1,123,1.6394
1970,3,3,2,111,0.6089
1970,3,3,3,103,2.0803
1970,3,3,4,104,-0.4504
1970,3,3,5,114,-2.4564
1970,4,1,1,85,-17.6831
1970,4,1,2,147,-18.6637
1970,4,1,3,171,-19.1110
1970,4,1,4,170,-17.3328
1970,4,1,5,173,-17.1579
1970,4,2,1,66,-11.6338
1970,4,2,2,56,-14.4918
1970,4,2,3,82,-15.5063
1970,4,2,4,84,-16.3236
1970,4,2,5,76,-16.2975
1970,4,3,1,123,-9.9578
1970,4,3,2,111,-8.5572
1970,4,3,3,103,-9.2581
1970,4,3,4,104,-9.3752
1970,4,3,5,114,-10.1185
1970,5,1,1,85,-9.5161
1970,5,1,2,147,-8.4853
1970,5,1,3,171,-9.1669
1970,5,1,4,168,-8.8374
1970,5,1,5,173,-10.4116
1970,5,2,1,65,-7.0168
1970,5,2,2,56,-11.0203
1970,5,2,3,82,-11.1529
1970,5,2,4,84,-10.4555
1970,5,2,5,76,-9.9317
1970,5,3,1,123,-5.3727
1970,5,3,2,111,-2.3776
1970,5,3,3,103,-5.3206
1970,5,3,4,104,-8.3998
1970,5,3,5,114,-7.3075
1970,6,1,1,84,-8.2658
1970,6,1,2,146,-8.2941
1970,6,1,3,171,-10.5691
1970,6,1,4,167,-11.3948
1970,6,1,5,172,-5.9477
1970,6,2,1,65,-4.7240
1970,6,2,2,56,-8.2640
1970,6,2,3,81,-8.9167
1970,6,2,4,83,-6.4180
1970,6,2,5,76,-6.5354
1970,6,3,1,123,-6.2565
1970,6,3,2,111,-5.4256
1970,6,3,3,103,-3.1765
1970,6,3,4,104,-4.8417
1970,6,3,5,114,-5.3052
1970,7,1,1,89,4.2021
1970,7,1,2,167,4.6429
1970,7,1,3,198,4.3177
1970,7,1,4,221,5.2625
1970,7,1,5,171,5.5339
1970,7,2,1,66,4.0280
1970,7,2,2,69,7.4103
1970,7,2,3,76,8.6974
1970,7,2,4,83,5.3383
1970,7,2,5,96,10.1443
1970,7,3,1,133,8.6891
1970,7,3,2,118,10.3711
1970,7,3,3,105,7.8364
1970,7,3,4,98,7.4480
1970,7,3,5,118,3.8761
1970,8,1,1,89,4.3052
1970,8,1,2,166,6.0527
1970,8,1,3,198,7.6274
1970,8,1,4,219,6.4495
1970,8,1,5,171,5.3017
1970,8,2,1,66,7.8069
1970,8,2,2,69,8.3700
1970,8,2,3,75,7.4702
1970,8,2,4,83,5.9901
1970,8,2,5,96,5.3259
1970,8,3,1,133,4.4220
1970,8,3,2,117,4.4465
1970,8,3,3,105,6.2675
1970,8,3,4,98,5.9408
1970,8,3,5,118,3.9061
1970,9,1,1,88,13.5666
1970,9,1,2,166,15.4955
1970,9,1,3,198,16.0465
1970,9,1,4,218,14.9862
1970,9,1,5,171,15.3428
1970,9,2,1,66,9.1243
1970,9,2,2,69,15.3469
1970,9,2,3,74,9.5526
1970,9,2,4,83,11.6894
1970,9,2,5,96,11.6919
1970,9,3,1,133,1.1316
1970,9,3,2,117,2.4727
1970,9,3,3,105,3.0738
1970,9,3,4,97,3.0708
1970,9,3,5,118,7.3488
1970,10,1,1,87,-5.2382
1970,10,1,2,165,-7.1914
1970,10,1,3,198,-8.7151
1970,10,1,4,219,-11.1403
1970,10,1,5,171,-4.2119
1970,10,2,1,66,-4.9584
1970,10,2,2,68,-5.2010
1970,10,2,3,74,-6.1871
1970,10,2,4,83,-5.7213
1970,10,2,5,96,-3.9052
1970,10,3,1,133,-1.8968
1970,10,3,2,117,-1.2754
1970,10,3,3,105,-1.4595
1970,10,3,4,97,-2.3752
1970,10,3,5,118,0.7665
1970,11,1,1,86,-1.1220
1970,11,1,2,165,-3.0978
1970,11,1,3,196,-1.3833
1970,11,1,4,219,-1.5568
1970,11,1,5,171,-0.8335
1970,11,2,1,66,4.3641
1970,11,2,2,68,0.1860
1970,11,2,3,74,3.7687
1970,11,2,4,82,2.3210
1970,11,2,5,96,3.1711
1970,11,3,1,133,8.2099
1970,11,3,2,117,4.6602
1970,11,3,3,105,4.7197
1970,11,3,4,97,6.5893
1970,11,3,5,118,4.5046
1970,12,1,1,86,5.6457
1970,12,1,2,164,7.0342
1970,12,1,3,195,9.7579
1970,12,1,4,219,12.0531
1970,12,1,5,171,11.1201
1970,12,2,1,66,6.3041
1970,12,2,2,68,5.3560
1970,12,2,3,74,9.9307
1970,12,2,4,82,9.4329
1970,12,2,5,96,9.5143
1970,12,3,1,133,7.2827
1970,12,3,2,117,5.7259
1970,12,3,3,105,6.9042
1970,12,3,4,96,5.7878
1970,12,3,5,118,4.9259
1971,1,1,1,82,12.3157
1971,1,1,2,165,16.5464
1971,1,1,3,195,16.1893
1971,1,1,4,219,15.1903
1971,1,1,5,171,12.8914
1971,1,2,1,65,12.2694
1971,1,2,2,68,13.8430
1971,1,2,3,74,10.0096
1971,1,2,4,81,9.6714
1971,1,2,5,96,8.6383
1971,1,3,1,133,3.6369
1971,1,3,2,117,4.9440
1971,1,3,3,105,4.8599
1971,1,3,4,96,4.4809
1971,1,3,5,118,3.8989
1971,2,1,1,82,3.0522
1971,2,1,2,165,5.6837
1971,2,1,3,195,5.3688
1971,2,1,4,217,7.9171
1971,2,1,5,169,5.2881
1971,2,2,1,64,0.2856
1971,2,2,2,68,2.2360
1971,2,2,3,74,3.2242
1971,2,2,4,81,3.0499
1971,2,2,5,96,3.6364
1971,2,3,1,133,-1.4367
1971,2,3,2,117,0.8914
1971,2,3,3,105,1.8722
1971,2,3,4,96,1.8145
1971,2,3,5,117,2.9258
1971,3,1,1,82,2.6765
1971,3,1,2,165,5.1440
1971,3,1,3,194,5.9293
1971,3,1,4,217,6.7895
1971,3,1,5,169,8.9990
1971,3,2,1,64,4.0113
1971,3,2,2,68,6.0019
1971,3,2,3,74,6.8780
1971,3,2,4,80,6.1083
1971,3,2,5,96,8.8988
1971,3,3,1,132,3.7904
1971,3,3,2,117,2.2430
1971,3,3,3,105,4.1812
1971,3,3,4,96,4.4289
1971,3,3,5,116,5.4191
1971,4,1,1,82,2.5677
1971,4,1,2,165,2.4285
1971,4,1,3,193,4.4327
1971,4,1,4,217,0.7155
1971,4,1,5,168,2.6040
1971,4,2,1,64,4.5962
1971,4,2,2,67,2.5056
1971,4,2,3,74,3.6219
1971,4,2,4,79,5.9196
1971,4,2,5,96,2.9957
1971,4,3,1,132,-1.3334
1971,4,3,2,117,3.3819
1971,4,3,3,105,6.8377
1971,4,3,4,96,6.0123
1971,4,3,5,116,2.4521
1971,5,1,1,80,-6.3838
1971,5,1,2,163,-7.6876
1971,5,1,3,192,-7.1382
1971,5,1,4,215,-5.4611
1971,5,1,5,168,-4.6884
1971,5,2,1,64,-5.3101
1971,5,2,2,67,-5.3996
1971,5,2,3,74,-4.4967
1971,5,2,4,80,-3.5710
1971,5,2,5,95,-3.2480
1971,5,3,1,132,-3.3229
1971,5,3,2,117,-4.6875
1971,5,3,3,105,-4.0573
1971,5,3,4,96,-2.1050
1971,5,3,5,116,-3.2654
1971,6,1,1,79,-2.2992
1971,6,1,2,161,-1.9830
1971,6,1,3,191,-2.6240
1971,6,1,4,213,-2.4590
1971,6,1,5,168,-1.4669
1971,6,2,1,64,-1.4808
1971,6,2,2,67,-3.3006
1971,6,2,3,74,0.5245
1971,6,2,4,79,-1.3080
1971,6,2,5,95,2.2484
1971,6,3,1,132,2.8309
1971,6,3,2,117,-0.2631
1971,6,3,3,105,-0.0948
1971,6,3,4,96,-1.5590
1971,6,3,5,115,1.8517
1971,7,1,1,117,-7.6177
1971,7,1,2,147,-6.7253
1971,7,1,3,199,-6.8776
1971,7,1,4,194,-7.0877
1971,7,1,5,205,-6.4882
1971,7,2,1,72,-2.7956
1971,7,2,2,71,-5.8438
1971,7,2,3,81,-5.4787
1971,7,2,4,85,-4.9680
1971,7,2,5,93,-5.6705
1971,7,3,1,117,-4.1446
