year,month,rank_ME,rank_CTOq_12,nstocks,ret_vw
1976,2,2,4,187,8.4795
1976,2,2,5,212,5.3398
1976,2,3,1,212,-0.4446
1976,2,3,2,229,-0.5961
1976,2,3,3,240,-0.5333
1976,2,3,4,223,0.5194
1976,2,3,5,191,0.2462
1976,3,1,1,134,-1.5968
1976,3,1,2,262,-0.4584
1976,3,1,3,328,0.8566
1976,3,1,4,366,2.0438
1976,3,1,5,408,1.8374
1976,3,2,1,151,1.0634
1976,3,2,2,160,1.5608
1976,3,2,3,165,1.8045
1976,3,2,4,196,0.3154
1976,3,2,5,216,1.9540
1976,3,3,1,212,1.6975
1976,3,3,2,232,2.7905
1976,3,3,3,255,2.3890
1976,3,3,4,228,4.4650
1976,3,3,5,195,2.2349
1976,4,1,1,130,-0.1683
1976,4,1,2,248,-2.8676
1976,4,1,3,324,-1.7450
1976,4,1,4,365,-2.1659
1976,4,1,5,401,-2.5751
1976,4,2,1,154,0.4528
1976,4,2,2,151,0.0731
1976,4,2,3,162,-1.0164
1976,4,2,4,194,-1.7390
1976,4,2,5,208,-1.8997
1976,4,3,1,212,0.8725
1976,4,3,2,214,-2.6087
1976,4,3,3,248,-0.4452
1976,4,3,4,227,0.4098
1976,4,3,5,195,-1.3310
1976,5,1,1,142,-1.5961
1976,5,1,2,272,-3.1215
1976,5,1,3,355,-2.3813
1976,5,1,4,400,-3.3236
1976,5,1,5,421,-4.3089
1976,5,2,1,156,0.5188
1976,5,2,2,162,-0.7548
1976,5,2,3,178,-2.2424
1976,5,2,4,207,-2.0328
1976,5,2,5,216,-3.5307
1976,5,3,1,219,-1.6332
1976,5,3,2,229,-0.8587
1976,5,3,3,270,-0.7657
1976,5,3,4,241,0.9134
1976,5,3,5,197,-2.2405
1976,6,1,1,150,5.3317
1976,6,1,2,282,5.8250
1976,6,1,3,363,3.3354
1976,6,1,4,410,3.7010
1976,6,1,5,430,2.9797
1976,6,2,1,162,4.8774
1976,6,2,2,164,5.1529
1976,6,2,3,182,5.1862
1976,6,2,4,214,6.0620
1976,6,2,5,216,3.3449
1976,6,3,1,216,4.1307
1976,6,3,2,229,4.0897
1976,6,3,3,267,4.1484
1976,6,3,4,246,5.0043
1976,6,3,5,191,3.9157
1976,7,1,1,148,1.4906
1976,7,1,2,279,0.7509
1976,7,1,3,343,-0.4894
1976,7,1,4,396,-0.1618
1976,7,1,5,426,-0.3347
1976,7,2,1,158,0.8816
1976,7,2,2,157,0.0392
1976,7,2,3,183,0.2377
1976,7,2,4,212,-0.5367
1976,7,2,5,206,-1.1078
1976,7,3,1,219,0.7584
1976,7,3,2,229,-1.6604
1976,7,3,3,260,-1.5970
1976,7,3,4,237,-0.6847
1976,7,3,5,179,-0.6543
1976,8,1,1,139,-1.5215
1976,8,1,2,231,-1.7657
1976,8,1,3,299,-3.4940
1976,8,1,4,331,-2.4404
1976,8,1,5,350,-2.9325
1976,8,2,1,163,-1.1272
1976,8,2,2,161,-1.8503
1976,8,2,3,191,-3.1335
1976,8,2,4,218,-2.3354
1976,8,2,5,201,-1.8148
