year,month,rank_ME,rank_CTO,nstocks,ret_vw
1970,1,2,5,89,-7.1331
1970,1,3,1,132,-5.5170
1970,1,3,2,121,-9.5289
1970,1,3,3,109,-8.1296
1970,1,3,4,79,-7.4123
1970,1,3,5,92,-8.1985
1970,2,1,1,57,3.9482
1970,2,1,2,97,2.2792
1970,2,1,3,113,3.9685
1970,2,1,4,160,2.9848
1970,2,1,5,222,2.5742
1970,2,2,1,54,7.0903
1970,2,2,2,54,7.0671
1970,2,2,3,55,5.1644
1970,2,2,4,71,1.1780
1970,2,2,5,89,4.2340
1970,2,3,1,132,9.3134
1970,2,3,2,121,4.3897
1970,2,3,3,109,4.1118
1970,2,3,4,79,6.1392
1970,2,3,5,92,6.4239
1970,3,1,1,57,-1.3528
1970,3,1,2,97,-2.1716
1970,3,1,3,112,-3.6199
1970,3,1,4,160,-4.2474
1970,3,1,5,222,-3.3023
1970,3,2,1,54,0.0617
1970,3,2,2,55,-0.0269
1970,3,2,3,55,-0.5735
1970,3,2,4,71,-3.0751
1970,3,2,5,90,-3.0255
1970,3,3,1,132,1.0703
1970,3,3,2,121,0.2388
1970,3,3,3,109,-0.6500
1970,3,3,4,80,0.7276
1970,3,3,5,92,-1.9896
1970,4,1,1,56,-19.2765
1970,4,1,2,97,-17.8873
1970,4,1,3,112,-14.8910
1970,4,1,4,160,-17.8732
1970,4,1,5,221,-18.5873
1970,4,2,1,54,-11.5105
1970,4,2,2,55,-14.6363
1970,4,2,3,55,-12.9999
1970,4,2,4,72,-14.7353
1970,4,2,5,89,-17.8847
1970,4,3,1,132,-8.3877
1970,4,3,2,121,-7.7340
1970,4,3,3,109,-11.1359
1970,4,3,4,80,-8.9734
1970,4,3,5,92,-12.1286
1970,5,1,1,56,-6.0570
1970,5,1,2,97,-8.9489
1970,5,1,3,112,-9.8224
1970,5,1,4,159,-8.6846
1970,5,1,5,221,-10.0246
1970,5,2,1,53,-6.5909
1970,5,2,2,55,-10.3775
1970,5,2,3,55,-12.1922
1970,5,2,4,72,-9.4286
1970,5,2,5,89,-9.8597
1970,5,3,1,132,-4.1510
1970,5,3,2,121,-2.7741
1970,5,3,3,109,-8.2182
1970,5,3,4,80,-7.2743
1970,5,3,5,92,-7.9284
1970,6,1,1,56,-6.2528
1970,6,1,2,94,-9.0411
1970,6,1,3,111,-7.5275
1970,6,1,4,159,-9.1840
1970,6,1,5,221,-9.5177
1970,6,2,1,53,-5.4964
1970,6,2,2,55,-7.1269
1970,6,2,3,54,-5.4471
1970,6,2,4,71,-8.3121
1970,6,2,5,89,-6.7394
1970,6,3,1,132,-6.0265
1970,6,3,2,121,-4.1689
1970,6,3,3,109,-6.0377
1970,6,3,4,80,-3.1074
1970,6,3,5,92,-5.4849
1970,7,1,1,60,8.9314
1970,7,1,2,110,0.9441
1970,7,1,3,144,6.2300
1970,7,1,4,171,3.3921
1970,7,1,5,253,5.5050
1970,7,2,1,63,5.9493
1970,7,2,2,52,9.0881
1970,7,2,3,65,9.2528
1970,7,2,4,70,7.0317
1970,7,2,5,101,6.8139
1970,7,3,1,139,10.0321
1970,7,3,2,125,6.6054
1970,7,3,3,108,7.4929
1970,7,3,4,89,6.1302
1970,7,3,5,85,6.8103
1970,8,1,1,60,5.2330
1970,8,1,2,109,6.8727
1970,8,1,3,143,4.9952
1970,8,1,4,170,8.0517
1970,8,1,5,253,6.2061
1970,8,2,1,63,7.2145
1970,8,2,2,52,8.4880
1970,8,2,3,65,4.1176
1970,8,2,4,70,8.9391
1970,8,2,5,100,5.7349
1970,8,3,1,139,4.2464
1970,8,3,2,125,5.4019
1970,8,3,3,108,4.6821
1970,8,3,4,89,4.8342
1970,8,3,5,85,5.2259
1970,9,1,1,60,13.1825
1970,9,1,2,109,14.3223
1970,9,1,3,142,13.2382
1970,9,1,4,170,17.7559
1970,9,1,5,252,14.9875
1970,9,2,1,63,7.7185
1970,9,2,2,52,12.4901
1970,9,2,3,64,11.8829
1970,9,2,4,70,8.7943
1970,9,2,5,100,13.3164
1970,9,3,1,139,0.1571
1970,9,3,2,125,3.8917
1970,9,3,3,108,6.1305
1970,9,3,4,88,3.8803
1970,9,3,5,85,7.2808
1970,10,1,1,60,-5.0315
1970,10,1,2,108,-9.2844
1970,10,1,3,141,-6.7642
1970,10,1,4,171,-8.5427
1970,10,1,5,252,-8.0475
1970,10,2,1,62,-3.4828
1970,10,2,2,52,-6.0615
1970,10,2,3,64,-7.4962
1970,10,2,4,70,-5.0184
1970,10,2,5,100,-4.7824
1970,10,3,1,139,-0.5836
1970,10,3,2,125,-0.7335
1970,10,3,3,108,-2.2065
1970,10,3,4,88,-0.7318
1970,10,3,5,85,-1.4156
1970,11,1,1,59,-0.4956
1970,11,1,2,108,-2.4911
1970,11,1,3,139,-1.2117
1970,11,1,4,171,-1.4578
1970,11,1,5,252,-1.1433
1970,11,2,1,62,5.4670
1970,11,2,2,51,1.1175
1970,11,2,3,64,1.9823
1970,11,2,4,70,2.7823
1970,11,2,5,100,2.8961
1970,11,3,1,139,6.8823
1970,11,3,2,125,4.3596
1970,11,3,3,108,5.1805
1970,11,3,4,88,5.6787
1970,11,3,5,85,5.9462
1970,12,1,1,58,4.1257
1970,12,1,2,108,8.6589
1970,12,1,3,138,10.6224
1970,12,1,4,171,10.4567
1970,12,1,5,252,10.8739
1970,12,2,1,62,5.9446
1970,12,2,2,51,5.9942
1970,12,2,3,64,10.9454
1970,12,2,4,70,10.2896
1970,12,2,5,100,9.1055
1970,12,3,1,139,6.9402
1970,12,3,2,124,4.9101
1970,12,3,3,108,7.5365
1970,12,3,4,88,4.2791
1970,12,3,5,85,7.1362
1971,1,1,1,57,10.9507
1971,1,1,2,107,14.9074
1971,1,1,3,138,16.0802
1971,1,1,4,171,13.9358
1971,1,1,5,251,15.6790
1971,1,2,1,62,11.4009
1971,1,2,2,50,14.1334
1971,1,2,3,64,10.4939
1971,1,2,4,69,10.8467
1971,1,2,5,100,8.8334
1971,1,3,1,139,3.9343
1971,1,3,2,124,3.1474
1971,1,3,3,108,5.5206
1971,1,3,4,88,4.8475
1971,1,3,5,85,6.5945
1971,2,1,1,57,3.6468
1971,2,1,2,107,5.1905
1971,2,1,3,138,5.1853
1971,2,1,4,170,4.6902
1971,2,1,5,248,4.8777
1971,2,2,1,61,0.4047
1971,2,2,2,50,2.6579
1971,2,2,3,64,2.7467
1971,2,2,4,69,2.9126
1971,2,2,5,100,3.0549
1971,2,3,1,139,-1.6910
1971,2,3,2,124,2.7091
1971,2,3,3,108,2.7104
1971,2,3,4,87,0.8100
1971,2,3,5,85,4.4172
1971,3,1,1,57,3.7031
1971,3,1,2,107,5.2288
1971,3,1,3,138,6.1567
1971,3,1,4,170,7.5748
1971,3,1,5,247,7.0632
1971,3,2,1,61,5.9031
1971,3,2,2,50,4.5975
1971,3,2,3,63,5.7483
1971,3,2,4,69,5.6403
1971,3,2,5,100,8.4114
1971,3,3,1,139,2.2943
1971,3,3,2,123,3.9537
1971,3,3,3,108,5.2727
1971,3,3,4,87,4.3801
1971,3,3,5,84,5.0639
1971,4,1,1,57,2.0287
1971,4,1,2,107,2.6561
1971,4,1,3,137,2.1375
1971,4,1,4,169,4.0065
1971,4,1,5,247,1.5840
1971,4,2,1,60,2.4561
1971,4,2,2,50,8.2007
1971,4,2,3,63,4.0116
1971,4,2,4,69,4.8639
1971,4,2,5,99,2.8547
1971,4,3,1,139,0.4703
1971,4,3,2,123,3.5312
1971,4,3,3,108,5.0970
1971,4,3,4,87,5.6486
1971,4,3,5,84,4.7441
1971,5,1,1,57,-7.3660
1971,5,1,2,105,-6.6112
1971,5,1,3,137,-5.9725
1971,5,1,4,166,-5.8705
1971,5,1,5,245,-6.8476
1971,5,2,1,60,-4.1922
1971,5,2,2,50,-4.9452
1971,5,2,3,63,-5.0047
1971,5,2,4,69,-3.1179
1971,5,2,5,99,-5.1929
1971,5,3,1,139,-4.6561
1971,5,3,2,123,-4.1134
1971,5,3,3,108,-2.2392
1971,5,3,4,87,-3.2850
1971,5,3,5,84,-1.7646
1971,6,1,1,56,-2.7818
1971,6,1,2,104,-1.5020
1971,6,1,3,135,-3.2469
1971,6,1,4,165,-2.0395
1971,6,1,5,244,-2.1219
1971,6,2,1,60,-3.1955
1971,6,2,2,49,-1.6490
1971,6,2,3,63,-0.5011
1971,6,2,4,69,-1.3415
1971,6,2,5,99,1.0732
1971,6,3,1,139,2.0774
1971,6,3,2,123,-1.5877
1971,6,3,3,107,0.6465
1971,6,3,4,87,1.1506
1971,6,3,5,84,1.9183
1971,7,1,1,84,-7.0773
1971,7,1,2,134,-6.6646
1971,7,1,3,157,-6.8707
1971,7,1,4,176,-6.0840
1971,7,1,5,240,-6.6677
1971,7,2,1,74,-2.0053
1971,7,2,2,49,-6.2901
1971,7,2,3,74,-6.5837
1971,7,2,4,81,-3.6146
1971,7,2,5,95,-5.2515
1971,7,3,1,129,-3.8502
1971,7,3,2,135,-4.1815
1971,7,3,3,102,-3.7573
1971,7,3,4,99,-4.6285
1971,7,3,5,106,-4.2634
1971,8,1,1,84,2.6626
1971,8,1,2,134,3.7932
1971,8,1,3,156,5.2451
1971,8,1,4,176,5.9465
1971,8,1,5,240,3.3647
1971,8,2,1,74,0.8033
1971,8,2,2,49,4.4366
1971,8,2,3,74,7.3627
1971,8,2,4,81,6.5161
1971,8,2,5,95,3.9932
1971,8,3,1,129,0.5220
1971,8,3,2,135,3.3465
1971,8,3,3,101,6.6039
1971,8,3,4,99,7.3386
1971,8,3,5,105,4.0455
1971,9,1,1,84,-1.5347
1971,9,1,2,134,-1.8925
1971,9,1,3,156,-0.7266
1971,9,1,4,176,-0.6114
