year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1969,12,1,3,206,-8.8280
1969,12,1,4,225,-5.3175
1969,12,1,5,232,-5.8941
1969,12,2,1,128,-8.1887
1969,12,2,2,128,-4.1766
1969,12,2,3,134,-3.2768
1969,12,2,4,164,-3.9820
1969,12,2,5,161,-3.7193
1969,12,3,1,124,-3.4869
1969,12,3,2,215,-2.7040
1969,12,3,3,230,-1.7468
1969,12,3,4,227,0.6465
1969,12,3,5,227,-0.6450
1970,1,1,1,337,-0.8908
1970,1,1,2,212,-1.7617
1970,1,1,3,180,-2.8873
1970,1,1,4,187,-5.2560
1970,1,1,5,188,-6.0929
1970,1,2,1,115,-5.4733
1970,1,2,2,110,-4.1196
1970,1,2,3,113,-6.7597
1970,1,2,4,141,-6.6039
1970,1,2,5,147,-7.6429
1970,1,3,1,101,-8.6419
1970,1,3,2,188,-8.5983
1970,1,3,3,191,-8.4658
1970,1,3,4,197,-6.9571
1970,1,3,5,196,-8.9088
1970,2,1,1,386,2.0868
1970,2,1,2,248,4.5979
1970,2,1,3,202,3.7189
1970,2,1,4,207,3.6087
1970,2,1,5,193,1.8820
1970,2,2,1,128,4.5893
1970,2,2,2,133,5.0422
1970,2,2,3,134,3.9360
1970,2,2,4,153,3.8488
1970,2,2,5,157,2.9222
1970,2,3,1,111,8.4055
1970,2,3,2,204,7.7705
1970,2,3,3,219,5.7584
1970,2,3,4,235,5.5990
1970,2,3,5,207,4.0013
1970,3,1,1,387,-2.3080
1970,3,1,2,255,-2.4930
1970,3,1,3,206,-2.5715
1970,3,1,4,211,-4.3857
1970,3,1,5,200,-5.5202
1970,3,2,1,127,1.2862
1970,3,2,2,136,-0.8011
1970,3,2,3,142,-1.8943
1970,3,2,4,151,-1.1874
1970,3,2,5,154,-3.7868
1970,3,3,1,111,0.1432
1970,3,3,2,209,0.0405
1970,3,3,3,224,0.9977
1970,3,3,4,237,0.0372
1970,3,3,5,206,-1.3923
1970,4,1,1,358,-17.2353
1970,4,1,2,222,-15.8115
1970,4,1,3,166,-15.7847
1970,4,1,4,196,-16.7708
1970,4,1,5,191,-19.8053
1970,4,2,1,111,-14.6061
1970,4,2,2,115,-12.6729
1970,4,2,3,121,-15.6550
1970,4,2,4,122,-14.2680
1970,4,2,5,130,-18.0987
1970,4,3,1,98,-10.5119
1970,4,3,2,178,-8.4796
1970,4,3,3,193,-8.7377
1970,4,3,4,205,-9.0544
1970,4,3,5,182,-10.9285
1970,5,1,1,421,-9.0534
1970,5,1,2,266,-8.7591
1970,5,1,3,179,-10.1573
1970,5,1,4,224,-11.7008
1970,5,1,5,244,-10.2793
1970,5,2,1,139,-10.4906
1970,5,2,2,153,-8.2176
1970,5,2,3,151,-9.9593
1970,5,2,4,150,-10.1292
1970,5,2,5,152,-10.7411
1970,5,3,1,121,-6.7305
1970,5,3,2,213,-3.4786
1970,5,3,3,241,-4.0846
1970,5,3,4,249,-6.7794
1970,5,3,5,223,-7.1431
1970,6,1,1,430,-9.4313
1970,6,1,2,276,-8.7687
1970,6,1,3,184,-9.5215
1970,6,1,4,221,-7.6657
1970,6,1,5,243,-7.9998
1970,6,2,1,146,-8.7797
1970,6,2,2,158,-8.5293
1970,6,2,3,153,-7.7937
1970,6,2,4,157,-6.7217
1970,6,2,5,159,-4.9445
1970,6,3,1,123,-6.6307
1970,6,3,2,216,-3.9236
1970,6,3,3,247,-4.6189
1970,6,3,4,256,-3.2401
1970,6,3,5,232,-5.3962
1970,7,1,1,392,2.0952
1970,7,1,2,245,5.8657
1970,7,1,3,157,3.5354
1970,7,1,4,189,5.7044
1970,7,1,5,227,4.7274
1970,7,2,1,130,6.8444
1970,7,2,2,139,7.0488
1970,7,2,3,125,7.5820
1970,7,2,4,137,8.2604
1970,7,2,5,150,8.5121
1970,7,3,1,107,10.4112
1970,7,3,2,190,8.4600
1970,7,3,3,214,9.1328
1970,7,3,4,217,7.8153
1970,7,3,5,208,4.4754
1970,8,1,1,438,6.6064
1970,8,1,2,303,5.9963
1970,8,1,3,214,7.4380
1970,8,1,4,214,5.6710
1970,8,1,5,237,5.0082
1970,8,2,1,156,8.4777
1970,8,2,2,165,7.0489
1970,8,2,3,148,7.6479
1970,8,2,4,167,5.5534
1970,8,2,5,170,5.6406
1970,8,3,1,125,5.7178
1970,8,3,2,212,5.2551
1970,8,3,3,256,5.9312
1970,8,3,4,273,4.4502
1970,8,3,5,245,4.6972
1970,9,1,1,457,15.5847
1970,9,1,2,310,12.8024
1970,9,1,3,226,13.1069
1970,9,1,4,223,14.2359
1970,9,1,5,246,17.0798
1970,9,2,1,158,12.3894
1970,9,2,2,170,9.4999
1970,9,2,3,155,10.0775
1970,9,2,4,167,10.2060
1970,9,2,5,177,12.9005
1970,9,3,1,128,6.2349
1970,9,3,2,216,2.9015
1970,9,3,3,258,1.8448
1970,9,3,4,281,3.4076
1970,9,3,5,254,6.5167
1970,10,1,1,436,-9.6751
1970,10,1,2,266,-7.3663
1970,10,1,3,204,-6.7042
1970,10,1,4,189,-5.5927
1970,10,1,5,221,-7.0596
1970,10,2,1,148,-7.7115
1970,10,2,2,154,-5.9247
1970,10,2,3,129,-3.1640
1970,10,2,4,144,-3.6477
1970,10,2,5,153,-4.2359
1970,10,3,1,109,-3.4248
1970,10,3,2,195,-1.9051
1970,10,3,3,227,-1.0047
1970,10,3,4,239,0.0760
1970,10,3,5,229,-0.4995
1970,11,1,1,481,-2.4897
1970,11,1,2,307,-0.7768
1970,11,1,3,234,-1.6210
1970,11,1,4,215,0.3173
1970,11,1,5,240,-0.4288
1970,11,2,1,161,2.9082
1970,11,2,2,166,2.6000
1970,11,2,3,163,2.7725
1970,11,2,4,156,2.6470
1970,11,2,5,169,2.9179
1970,11,3,1,120,5.2556
1970,11,3,2,207,4.8188
1970,11,3,3,263,5.2626
1970,11,3,4,280,5.9046
1970,11,3,5,246,5.2489
1970,12,1,1,494,7.6574
1970,12,1,2,314,10.6348
1970,12,1,3,235,10.5109
1970,12,1,4,207,10.6235
1970,12,1,5,241,9.9780
1970,12,2,1,160,9.3464
1970,12,2,2,168,9.0838
1970,12,2,3,161,7.5400
1970,12,2,4,157,9.9031
1970,12,2,5,171,7.6934
1970,12,3,1,121,6.9894
1970,12,3,2,211,5.6497
1970,12,3,3,264,6.7481
1970,12,3,4,281,5.8158
1970,12,3,5,251,4.6967
1971,1,1,1,444,18.2692
1971,1,1,2,272,15.7760
1971,1,1,3,207,14.7947
1971,1,1,4,171,12.8213
1971,1,1,5,174,11.0613
1971,1,2,1,138,13.5898
1971,1,2,2,144,11.6378
1971,1,2,3,144,9.2088
1971,1,2,4,126,8.8034
1971,1,2,5,153,7.0380
1971,1,3,1,93,9.1468
1971,1,3,2,172,6.4033
1971,1,3,3,209,2.5221
1971,1,3,4,240,3.5978
1971,1,3,5,217,3.6673
1971,2,1,1,479,5.0108
1971,2,1,2,308,4.3341
1971,2,1,3,233,6.1804
1971,2,1,4,191,5.8535
1971,2,1,5,195,9.0906
1971,2,2,1,157,2.8660
1971,2,2,2,156,2.4233
1971,2,2,3,169,2.2915
1971,2,2,4,139,2.9240
1971,2,2,5,167,3.9945
1971,2,3,1,110,1.1839
1971,2,3,2,206,1.2910
1971,2,3,3,244,2.2982
1971,2,3,4,263,1.7602
1971,2,3,5,240,2.4279
1971,3,1,1,482,6.8696
1971,3,1,2,303,5.2730
1971,3,1,3,235,6.4735
1971,3,1,4,195,6.3247
1971,3,1,5,199,7.1121
1971,3,2,1,155,5.2522
1971,3,2,2,157,6.5072
1971,3,2,3,171,5.7546
1971,3,2,4,138,5.7111
1971,3,2,5,173,7.5469
1971,3,3,1,112,2.7491
1971,3,3,2,212,2.9779
1971,3,3,3,250,3.5191
1971,3,3,4,266,3.9872
1971,3,3,5,241,5.7126
1971,4,1,1,446,2.6754
1971,4,1,2,260,1.6688
1971,4,1,3,188,2.4946
1971,4,1,4,168,2.3777
1971,4,1,5,197,1.0333
1971,4,2,1,133,5.5397
1971,4,2,2,126,3.3871
1971,4,2,3,151,2.3928
1971,4,2,4,120,3.7714
1971,4,2,5,152,3.3014
1971,4,3,1,95,8.0793
1971,4,3,2,181,4.5882
1971,4,3,3,210,3.7255
1971,4,3,4,227,2.7779
1971,4,3,5,202,3.5012
1971,5,1,1,500,-7.4309
1971,5,1,2,304,-5.9245
1971,5,1,3,226,-6.4019
1971,5,1,4,188,-5.3127
1971,5,1,5,233,-5.4193
1971,5,2,1,150,-6.1268
1971,5,2,2,161,-3.4425
1971,5,2,3,179,-4.5902
1971,5,2,4,151,-4.0858
1971,5,2,5,176,-3.7246
1971,5,3,1,104,-4.6031
1971,5,3,2,212,-3.4279
1971,5,3,3,255,-3.8267
1971,5,3,4,273,-2.5629
1971,5,3,5,244,-3.2922
1971,6,1,1,509,-3.9758
1971,6,1,2,317,-3.1627
1971,6,1,3,226,-0.9248
1971,6,1,4,195,-3.2423
1971,6,1,5,239,-1.3538
1971,6,2,1,152,-2.8547
1971,6,2,2,159,-2.1347
1971,6,2,3,180,-0.6981
1971,6,2,4,156,-0.5846
1971,6,2,5,171,2.4193
1971,6,3,1,106,-3.9454
1971,6,3,2,218,-0.5210
1971,6,3,3,257,1.0120
1971,6,3,4,283,0.8770
1971,6,3,5,255,1.3215
1971,7,1,1,468,-7.4062
1971,7,1,2,262,-5.7833
1971,7,1,3,206,-5.9397
1971,7,1,4,171,-4.0571
1971,7,1,5,212,-7.3323
1971,7,2,1,133,-6.3933
1971,7,2,2,147,-4.1879
1971,7,2,3,154,-3.0943
1971,7,2,4,137,-4.8082
1971,7,2,5,159,-5.4863
1971,7,3,1,99,-5.2083
1971,7,3,2,182,-4.8298
1971,7,3,3,215,-3.8847
1971,7,3,4,243,-2.8363
1971,7,3,5,235,-4.4048
1971,8,1,1,503,3.5127
1971,8,1,2,331,4.6225
1971,8,1,3,266,6.0484
1971,8,1,4,199,4.9641
1971,8,1,5,230,3.8738
1971,8,2,1,153,6.2137
1971,8,2,2,171,4.8443
1971,8,2,3,181,3.9621
1971,8,2,4,161,3.4867
1971,8,2,5,182,5.1598
1971,8,3,1,112,9.3845
1971,8,3,2,212,6.5387
1971,8,3,3,251,3.2907
1971,8,3,4,277,1.2525
1971,8,3,5,271,4.8470
1971,9,1,1,509,-2.8059
1971,9,1,2,338,0.0108
1971,9,1,3,276,0.0678
