year,month,rank_ME,rank_CLA,nstocks,ret_vw
1970,9,1,4,108,13.9097
1970,9,1,5,95,14.1850
1970,9,2,1,84,15.2077
1970,9,2,2,62,11.1081
1970,9,2,3,52,14.3142
1970,9,2,4,45,5.4681
1970,9,2,5,65,10.7250
1970,9,3,1,51,9.6611
1970,9,3,2,68,4.4869
1970,9,3,3,91,4.0872
1970,9,3,4,108,2.2517
1970,9,3,5,110,4.6332
1970,10,1,1,292,-11.3245
1970,10,1,2,123,-6.3903
1970,10,1,3,84,-7.3393
1970,10,1,4,108,-6.0298
1970,10,1,5,95,-5.0859
1970,10,2,1,84,-6.4760
1970,10,2,2,62,-5.4231
1970,10,2,3,52,-6.8748
1970,10,2,4,45,-4.4460
1970,10,2,5,64,-4.6215
1970,10,3,1,51,-4.0767
1970,10,3,2,68,-1.6225
1970,10,3,3,91,-1.7212
1970,10,3,4,108,-1.3116
1970,10,3,5,110,0.1937
1970,11,1,1,291,-3.6580
1970,11,1,2,122,-0.8172
1970,11,1,3,84,-1.6025
1970,11,1,4,108,-0.2996
1970,11,1,5,94,2.0676
1970,11,2,1,84,0.4969
1970,11,2,2,62,0.6036
1970,11,2,3,52,2.9913
1970,11,2,4,44,4.0169
1970,11,2,5,64,4.3860
1970,11,3,1,51,2.6258
1970,11,3,2,68,6.1102
1970,11,3,3,91,4.3271
1970,11,3,4,108,4.4553
1970,11,3,5,110,5.5850
1970,12,1,1,289,7.6878
1970,12,1,2,122,10.4196
1970,12,1,3,84,12.5928
1970,12,1,4,107,10.9168
1970,12,1,5,94,10.1857
1970,12,2,1,84,8.5107
1970,12,2,2,62,9.8835
1970,12,2,3,52,7.6238
1970,12,2,4,44,8.4015
1970,12,2,5,64,9.9473
1970,12,3,1,51,6.1943
1970,12,3,2,68,5.3088
1970,12,3,3,90,6.1337
1970,12,3,4,108,7.0012
1970,12,3,5,110,4.7669
1971,1,1,1,287,16.7489
1971,1,1,2,121,16.0240
1971,1,1,3,84,14.2338
1971,1,1,4,107,12.5670
1971,1,1,5,95,13.9103
1971,1,2,1,82,13.1486
1971,1,2,2,62,9.8872
1971,1,2,3,52,10.9807
1971,1,2,4,44,10.5388
1971,1,2,5,64,9.4968
1971,1,3,1,51,7.6768
1971,1,3,2,68,5.2688
1971,1,3,3,90,4.7420
1971,1,3,4,108,4.4556
1971,1,3,5,110,3.5247
1971,2,1,1,285,6.1187
1971,2,1,2,120,5.2233
1971,2,1,3,84,4.1020
1971,2,1,4,106,3.4866
1971,2,1,5,95,3.8921
1971,2,2,1,82,2.3060
1971,2,2,2,62,1.7652
1971,2,2,3,51,3.3584
1971,2,2,4,44,4.3740
1971,2,2,5,64,3.5763
1971,2,3,1,51,3.4924
1971,2,3,2,68,0.5433
1971,2,3,3,90,4.1392
1971,2,3,4,107,0.9482
1971,2,3,5,110,1.9199
1971,3,1,1,284,5.4659
1971,3,1,2,120,5.2202
1971,3,1,3,84,7.1754
1971,3,1,4,106,7.8260
1971,3,1,5,95,8.3664
1971,3,2,1,82,7.0469
1971,3,2,2,62,5.6168
1971,3,2,3,51,6.4404
1971,3,2,4,44,5.0342
1971,3,2,5,64,9.8730
1971,3,3,1,51,6.8013
1971,3,3,2,68,4.6276
1971,3,3,3,90,2.6169
1971,3,3,4,107,2.5252
1971,3,3,5,109,5.1235
1971,4,1,1,283,2.9080
1971,4,1,2,120,1.2950
1971,4,1,3,84,3.1638
1971,4,1,4,106,2.0884
1971,4,1,5,94,2.9446
1971,4,2,1,80,2.9593
1971,4,2,2,62,5.1514
1971,4,2,3,51,5.3070
1971,4,2,4,44,4.9586
1971,4,2,5,64,4.4931
1971,4,3,1,51,4.7651
1971,4,3,2,68,6.7356
1971,4,3,3,90,7.5787
1971,4,3,4,107,3.3189
1971,4,3,5,109,3.2090
1971,5,1,1,281,-7.7470
1971,5,1,2,119,-6.5405
1971,5,1,3,83,-4.2410
1971,5,1,4,106,-7.1933
1971,5,1,5,93,-4.7585
1971,5,2,1,80,-6.4986
1971,5,2,2,62,-5.5599
1971,5,2,3,51,-3.2628
1971,5,2,4,44,-3.0140
1971,5,2,5,64,-2.6967
1971,5,3,1,51,-3.1030
1971,5,3,2,68,-3.2710
1971,5,3,3,90,-3.4661
1971,5,3,4,107,-4.4297
1971,5,3,5,109,-3.1342
1971,6,1,1,275,-2.8778
1971,6,1,2,119,-3.1227
1971,6,1,3,83,-2.2794
1971,6,1,4,106,-1.1593
1971,6,1,5,93,-2.7709
1971,6,2,1,80,-0.9950
1971,6,2,2,62,-0.5569
1971,6,2,3,51,-0.6544
1971,6,2,4,44,-1.9638
1971,6,2,5,63,-0.9447
1971,6,3,1,51,-2.0368
1971,6,3,2,68,-0.6532
1971,6,3,3,90,-0.7203
1971,6,3,4,107,0.4129
1971,6,3,5,108,0.6149
1971,7,1,1,272,-7.1904
1971,7,1,2,140,-6.0896
1971,7,1,3,121,-5.0183
1971,7,1,4,126,-7.0464
1971,7,1,5,103,-7.8177
1971,7,2,1,66,-6.0103
1971,7,2,2,66,-4.9485
1971,7,2,3,64,-6.7828
1971,7,2,4,69,-5.5696
1971,7,2,5,58,-3.0015
1971,7,3,1,61,-8.0417
1971,7,3,2,81,-5.2006
1971,7,3,3,101,-3.4010
1971,7,3,4,93,-3.1281
1971,7,3,5,126,-4.2669
1971,8,1,1,271,4.3293
1971,8,1,2,140,3.8258
1971,8,1,3,121,5.0691
1971,8,1,4,126,4.1694
1971,8,1,5,103,4.2921
1971,8,2,1,66,5.0483
1971,8,2,2,66,6.9243
1971,8,2,3,64,4.2987
1971,8,2,4,69,5.5440
1971,8,2,5,58,5.0739
1971,8,3,1,61,7.6887
1971,8,3,2,81,8.7752
1971,8,3,3,101,1.8881
1971,8,3,4,92,2.6035
1971,8,3,5,125,5.4539
1971,9,1,1,271,-1.7961
1971,9,1,2,140,-1.4138
1971,9,1,3,121,0.4991
1971,9,1,4,126,-0.7138
