year,month,rank_ME,rank_ROE_6,nstocks,ret_vw
1970,9,1,3,226,13.1151
1970,9,1,4,223,14.2502
1970,9,1,5,246,17.0991
1970,9,2,1,158,12.3942
1970,9,2,2,170,9.5081
1970,9,2,3,155,10.0820
1970,9,2,4,167,10.2154
1970,9,2,5,177,12.9128
1970,9,3,1,128,6.2454
1970,9,3,2,216,2.9082
1970,9,3,3,258,1.8453
1970,9,3,4,281,3.4138
1970,9,3,5,254,6.5204
1970,10,1,1,437,-9.7266
1970,10,1,2,266,-7.3740
1970,10,1,3,204,-6.7105
1970,10,1,4,189,-5.6007
1970,10,1,5,221,-7.0645
1970,10,2,1,148,-7.7126
1970,10,2,2,154,-5.9294
1970,10,2,3,129,-3.1677
1970,10,2,4,144,-3.6526
1970,10,2,5,153,-4.2413
1970,10,3,1,109,-3.4309
1970,10,3,2,195,-1.9096
1970,10,3,3,227,-1.0062
1970,10,3,4,239,0.0750
1970,10,3,5,229,-0.5005
1970,11,1,1,482,-2.4842
1970,11,1,2,307,-0.7755
1970,11,1,3,234,-1.6121
1970,11,1,4,215,0.3198
1970,11,1,5,240,-0.4188
1970,11,2,1,161,2.9118
1970,11,2,2,166,2.6084
1970,11,2,3,163,2.7787
1970,11,2,4,156,2.6531
1970,11,2,5,169,2.9295
1970,11,3,1,120,5.2743
1970,11,3,2,207,4.8324
1970,11,3,3,263,5.2794
1970,11,3,4,280,5.9278
1970,11,3,5,246,5.2616
1970,12,1,1,494,7.6623
1970,12,1,2,314,10.6521
1970,12,1,3,235,10.5183
1970,12,1,4,207,10.6372
1970,12,1,5,241,9.9945
1970,12,2,1,160,9.3695
1970,12,2,2,168,9.1061
1970,12,2,3,161,7.5506
1970,12,2,4,157,9.9100
1970,12,2,5,171,7.6990
1970,12,3,1,121,7.0046
1970,12,3,2,211,5.6545
1970,12,3,3,264,6.7529
1970,12,3,4,281,5.8203
1970,12,3,5,251,4.7001
1971,1,1,1,444,18.2714
1971,1,1,2,272,15.7817
1971,1,1,3,207,14.7998
1971,1,1,4,171,12.8235
1971,1,1,5,174,11.0671
1971,1,2,1,138,13.5921
1971,1,2,2,144,11.6474
1971,1,2,3,144,9.2126
1971,1,2,4,126,8.8091
1971,1,2,5,153,7.0403
1971,1,3,1,93,9.1482
1971,1,3,2,172,6.4072
1971,1,3,3,209,2.5251
1971,1,3,4,240,3.6013
1971,1,3,5,217,3.6682
1971,2,1,1,479,5.0108
1971,2,1,2,308,4.3367
1971,2,1,3,233,6.1838
1971,2,1,4,191,5.8565
1971,2,1,5,195,9.0905
1971,2,2,1,157,2.8669
1971,2,2,2,156,2.4222
1971,2,2,3,169,2.2919
1971,2,2,4,139,2.9239
1971,2,2,5,167,3.9965
1971,2,3,1,110,1.1763
1971,2,3,2,206,1.2914
1971,2,3,3,244,2.3101
1971,2,3,4,263,1.7643
1971,2,3,5,240,2.4272
1971,3,1,1,482,6.8728
1971,3,1,2,303,5.2708
1971,3,1,3,235,6.4810
1971,3,1,4,195,6.3276
1971,3,1,5,199,7.1126
1971,3,2,1,155,5.2553
1971,3,2,2,157,6.5225
1971,3,2,3,172,5.6741
1971,3,2,4,139,5.5993
1971,3,2,5,173,7.5495
1971,3,3,1,112,2.7508
1971,3,3,2,212,2.9782
1971,3,3,3,250,3.5198
1971,3,3,4,266,3.9886
1971,3,3,5,241,5.7161
1971,4,1,1,446,2.6763
1971,4,1,2,260,1.6682
1971,4,1,3,188,2.4954
1971,4,1,4,168,2.3759
1971,4,1,5,197,0.6156
1971,4,2,1,133,5.5392
1971,4,2,2,126,3.3842
1971,4,2,3,151,2.3908
1971,4,2,4,120,3.7725
1971,4,2,5,152,3.3020
1971,4,3,1,95,8.0766
1971,4,3,2,182,4.6025
1971,4,3,3,211,3.7347
1971,4,3,4,227,2.7769
1971,4,3,5,202,3.5012
1971,5,1,1,501,-7.4630
1971,5,1,2,305,-5.9474
1971,5,1,3,226,-6.4057
1971,5,1,4,188,-5.3163
1971,5,1,5,235,-5.4694
1971,5,2,1,150,-6.1318
1971,5,2,2,161,-3.4474
1971,5,2,3,179,-4.5952
1971,5,2,4,151,-4.0852
1971,5,2,5,176,-3.7292
1971,5,3,1,104,-4.6236
1971,5,3,2,212,-3.4422
1971,5,3,3,255,-3.8418
1971,5,3,4,273,-2.5734
1971,5,3,5,244,-3.3017
1971,6,1,1,510,-4.0826
1971,6,1,2,317,-3.1662
1971,6,1,3,226,-0.9285
1971,6,1,4,195,-3.2456
1971,6,1,5,239,-1.3553
1971,6,2,1,152,-2.8588
1971,6,2,2,159,-2.1418
1971,6,2,3,180,-0.7011
1971,6,2,4,156,-0.5873
1971,6,2,5,171,2.4231
1971,6,3,1,106,-3.9476
1971,6,3,2,218,-0.5248
1971,6,3,3,257,1.0191
1971,6,3,4,283,0.8790
1971,6,3,5,255,1.3206
1971,7,1,1,468,-7.4084
