year,month,rank_ME,rank_TBIq_6,nstocks,ret_vw
1970,6,1,3,201,-7.3978
1970,6,1,4,226,-7.6001
1970,6,1,5,361,-9.1778
1970,6,2,1,128,-6.4931
1970,6,2,2,144,-7.1895
1970,6,2,3,140,-8.5440
1970,6,2,4,134,-7.9344
1970,6,2,5,164,-7.0449
1970,6,3,1,159,-3.5449
1970,6,3,2,178,-6.1931
1970,6,3,3,203,-3.7982
1970,6,3,4,180,-5.8158
1970,6,3,5,186,-4.3419
1970,7,1,1,177,4.3302
1970,7,1,2,158,5.0410
1970,7,1,3,168,4.5024
1970,7,1,4,205,5.6136
1970,7,1,5,318,5.1540
1970,7,2,1,107,9.6886
1970,7,2,2,125,7.9020
1970,7,2,3,118,7.9691
1970,7,2,4,128,9.6138
1970,7,2,5,149,6.7042
1970,7,3,1,147,9.4571
1970,7,3,2,161,7.9432
1970,7,3,3,178,7.9410
1970,7,3,4,152,3.6855
1970,7,3,5,164,7.0437
1970,8,1,1,218,7.3278
1970,8,1,2,190,7.2272
1970,8,1,3,201,6.5500
1970,8,1,4,240,5.2999
1970,8,1,5,364,5.4356
1970,8,2,1,137,7.7315
1970,8,2,2,147,6.9755
1970,8,2,3,136,5.5769
1970,8,2,4,146,7.4481
1970,8,2,5,166,7.0641
1970,8,3,1,167,4.6104
1970,8,3,2,180,4.9697
1970,8,3,3,204,5.2579
1970,8,3,4,180,4.3917
1970,8,3,5,178,4.9478
1970,9,1,1,221,17.1272
1970,9,1,2,197,13.5678
1970,9,1,3,201,14.5809
1970,9,1,4,243,12.4487
1970,9,1,5,369,14.3227
1970,9,2,1,137,11.2904
1970,9,2,2,141,9.4089
1970,9,2,3,137,13.2048
1970,9,2,4,151,11.2527
1970,9,2,5,168,11.8418
1970,9,3,1,167,2.9311
1970,9,3,2,184,3.9063
1970,9,3,3,208,3.3981
1970,9,3,4,180,6.2744
1970,9,3,5,173,5.1442
1970,10,1,1,201,-8.8162
1970,10,1,2,180,-5.9792
1970,10,1,3,169,-7.3452
1970,10,1,4,218,-6.2281
1970,10,1,5,326,-7.6218
1970,10,2,1,121,-5.4738
1970,10,2,2,128,-4.2835
1970,10,2,3,119,-4.8929
1970,10,2,4,135,-4.0375
1970,10,2,5,156,-4.7961
1970,10,3,1,148,-0.8929
1970,10,3,2,165,-2.9481
1970,10,3,3,173,-0.9969
1970,10,3,4,155,-0.1100
1970,10,3,5,145,0.4335
1970,11,1,1,222,-1.8347
1970,11,1,2,217,-1.3715
1970,11,1,3,180,0.3929
1970,11,1,4,256,0.5163
1970,11,1,5,367,-1.4347
1970,11,2,1,133,1.2705
1970,11,2,2,141,2.5312
1970,11,2,3,140,3.6162
1970,11,2,4,148,2.1918
1970,11,2,5,180,2.9203
1970,11,3,1,167,3.5257
1970,11,3,2,196,5.4266
1970,11,3,3,204,6.0899
1970,11,3,4,172,4.7125
1970,11,3,5,162,5.2310
1970,12,1,1,223,7.5649
1970,12,1,2,216,11.5355
1970,12,1,3,185,11.7506
1970,12,1,4,252,11.6190
1970,12,1,5,368,9.7016
1970,12,2,1,131,6.0653
1970,12,2,2,141,8.9350
1970,12,2,3,140,9.7895
1970,12,2,4,151,10.1817
1970,12,2,5,177,8.7604
1970,12,3,1,170,5.6153
1970,12,3,2,195,6.6499
1970,12,3,3,204,6.1224
1970,12,3,4,177,6.0401
1970,12,3,5,162,3.7995
1971,1,1,1,186,16.2021
1971,1,1,2,175,13.4009
1971,1,1,3,149,12.7528
1971,1,1,4,199,14.1572
1971,1,1,5,299,15.1201
1971,1,2,1,112,10.5620
1971,1,2,2,110,9.1385
1971,1,2,3,118,9.2005
1971,1,2,4,125,9.1212
1971,1,2,5,143,9.5085
1971,1,3,1,145,4.5057
1971,1,3,2,166,6.0099
1971,1,3,3,170,3.8273
1971,1,3,4,157,3.1158
1971,1,3,5,120,3.8956
1971,2,1,1,212,7.5529
1971,2,1,2,197,6.9817
1971,2,1,3,186,5.2877
1971,2,1,4,236,5.8749
1971,2,1,5,328,5.9630
1971,2,2,1,123,2.6230
1971,2,2,2,130,3.5831
1971,2,2,3,138,3.6121
1971,2,2,4,143,4.3564
1971,2,2,5,165,3.1716
1971,2,3,1,168,2.0321
1971,2,3,2,196,-0.0970
1971,2,3,3,191,2.5089
1971,2,3,4,181,2.1833
1971,2,3,5,138,3.3331
1971,3,1,1,216,5.0867
1971,3,1,2,202,7.2346
1971,3,1,3,187,5.8057
1971,3,1,4,239,6.0279
1971,3,1,5,330,6.8824
1971,3,2,1,121,5.0759
1971,3,2,2,129,7.7406
1971,3,2,3,145,6.9602
1971,3,2,4,145,6.3837
1971,3,2,5,173,6.2775
1971,3,3,1,172,2.7257
1971,3,3,2,200,3.0672
1971,3,3,3,194,4.3814
1971,3,3,4,184,5.6155
1971,3,3,5,137,6.8126
1971,4,1,1,188,0.3535
1971,4,1,2,174,3.1450
1971,4,1,3,155,0.8403
1971,4,1,4,217,2.3309
1971,4,1,5,295,1.9009
1971,4,2,1,108,2.7792
1971,4,2,2,105,5.3376
1971,4,2,3,128,3.5355
1971,4,2,4,133,2.5484
1971,4,2,5,154,4.7612
1971,4,3,1,157,4.9266
1971,4,3,2,177,4.3811
1971,4,3,3,169,5.4379
1971,4,3,4,161,2.7134
1971,4,3,5,121,3.2343
1971,5,1,1,227,-7.3349
1971,5,1,2,197,-6.5212
1971,5,1,3,187,-4.9022
1971,5,1,4,234,-4.8945
1971,5,1,5,351,-6.8483
1971,5,2,1,113,-4.7100
1971,5,2,2,134,-4.1324
1971,5,2,3,149,-2.6837
1971,5,2,4,149,-3.8857
1971,5,2,5,175,-4.5909
1971,5,3,1,181,-4.3619
1971,5,3,2,219,-3.4605
1971,5,3,3,198,-2.0407
1971,5,3,4,188,-4.1885
1971,5,3,5,156,-2.3703
1971,6,1,1,229,-3.2829
1971,6,1,2,193,-1.2237
1971,6,1,3,191,-2.0547
1971,6,1,4,239,-1.4979
1971,6,1,5,355,-3.2244
1971,6,2,1,109,-3.0865
1971,6,2,2,132,-0.4312
1971,6,2,3,148,0.1561
1971,6,2,4,154,0.7304
1971,6,2,5,171,0.1455
1971,6,3,1,184,-0.7421
1971,6,3,2,223,1.1029
1971,6,3,3,201,1.1392
1971,6,3,4,191,-0.6686
1971,6,3,5,158,2.1796
1971,7,1,1,195,-5.8693
1971,7,1,2,150,-6.2874
1971,7,1,3,173,-5.0715
1971,7,1,4,211,-6.9113
1971,7,1,5,298,-6.1112
1971,7,2,1,95,-4.3708
1971,7,2,2,113,-5.9308
1971,7,2,3,123,-4.9524
1971,7,2,4,134,-5.5645
1971,7,2,5,154,-4.7391
1971,7,3,1,167,-3.6681
1971,7,3,2,195,-4.8959
1971,7,3,3,171,-2.6961
1971,7,3,4,168,-5.0438
1971,7,3,5,139,-4.2200
1971,8,1,1,252,3.9029
1971,8,1,2,185,5.2365
1971,8,1,3,211,5.0000
1971,8,1,4,255,4.4255
1971,8,1,5,343,4.5383
1971,8,2,1,111,2.8095
1971,8,2,2,126,6.0803
1971,8,2,3,139,4.4625
1971,8,2,4,154,6.2790
1971,8,2,5,177,6.2596
1971,8,3,1,187,3.2395
1971,8,3,2,234,4.7319
1971,8,3,3,195,4.1966
1971,8,3,4,199,5.2106
1971,8,3,5,158,3.1398
1971,9,1,1,256,-0.2469
1971,9,1,2,194,2.0679
1971,9,1,3,218,1.1299
