year,month,rank_ME,rank_EG_1,nstocks,ret_vw
1970,1,1,5,96,-1.9183
1970,1,2,1,65,-11.5708
1970,1,2,2,56,-7.0274
1970,1,2,3,45,-3.7673
1970,1,2,4,54,-6.6840
1970,1,2,5,43,-5.3821
1970,1,3,1,71,-12.4631
1970,1,3,2,72,-8.9147
1970,1,3,3,94,-8.0865
1970,1,3,4,86,-6.6522
1970,1,3,5,95,-7.9121
1970,2,1,1,194,2.9606
1970,2,1,2,118,6.0702
1970,2,1,3,75,3.8111
1970,2,1,4,76,0.3132
1970,2,1,5,87,2.4000
1970,2,2,1,68,2.8992
1970,2,2,2,60,4.4202
1970,2,2,3,36,4.2718
1970,2,2,4,51,5.7138
1970,2,2,5,51,5.3575
1970,2,3,1,59,5.5211
1970,2,3,2,77,8.7503
1970,2,3,3,101,5.8132
1970,2,3,4,92,5.1600
1970,2,3,5,87,4.2551
1970,3,1,1,194,-5.1414
1970,3,1,2,112,-4.5608
1970,3,1,3,87,-2.5327
1970,3,1,4,76,-1.9353
1970,3,1,5,88,-0.7936
1970,3,2,1,73,-4.1229
1970,3,2,2,60,-2.5219
1970,3,2,3,35,-1.1721
1970,3,2,4,49,0.5970
1970,3,2,5,50,-1.2304
1970,3,3,1,57,-4.0236
1970,3,3,2,79,-0.6162
1970,3,3,3,96,-2.3305
1970,3,3,4,98,0.9369
1970,3,3,5,87,0.5216
1970,4,1,1,201,-21.6797
1970,4,1,2,114,-16.5058
1970,4,1,3,87,-16.5532
1970,4,1,4,71,-13.5174
1970,4,1,5,89,-15.0574
1970,4,2,1,71,-20.1134
1970,4,2,2,58,-17.7787
1970,4,2,3,37,-11.8166
1970,4,2,4,47,-12.7659
1970,4,2,5,49,-13.4531
1970,4,3,1,58,-17.7631
1970,4,3,2,78,-9.3819
1970,4,3,3,97,-10.1099
1970,4,3,4,100,-7.9655
1970,4,3,5,87,-8.8545
1970,5,1,1,212,-9.8279
1970,5,1,2,98,-9.3084
1970,5,1,3,90,-9.5305
1970,5,1,4,63,-10.0672
1970,5,1,5,138,-8.7077
1970,5,2,1,84,-12.5007
1970,5,2,2,55,-11.1754
1970,5,2,3,51,-11.3873
1970,5,2,4,44,-8.7314
1970,5,2,5,53,-9.2899
1970,5,3,1,61,-8.9999
1970,5,3,2,89,-8.7780
1970,5,3,3,85,-6.6691
1970,5,3,4,104,-3.7261
1970,5,3,5,85,-4.7852
1970,6,1,1,200,-12.5914
1970,6,1,2,114,-10.2152
1970,6,1,3,98,-8.9768
1970,6,1,4,72,-7.5603
1970,6,1,5,132,-6.8438
1970,6,2,1,77,-11.4398
1970,6,2,2,56,-10.6223
1970,6,2,3,51,-7.2944
1970,6,2,4,49,-6.4109
1970,6,2,5,55,-5.8220
1970,6,3,1,66,-6.2743
1970,6,3,2,83,-7.0180
1970,6,3,3,86,-5.1295
1970,6,3,4,99,-5.3047
1970,6,3,5,87,-2.0112
1970,7,1,1,200,4.0302
1970,7,1,2,123,5.0432
1970,7,1,3,97,6.4848
