year,month,rank_ME,rank_COP,nstocks,ret_vw
1969,10,2,2,46,7.1901
1969,10,2,3,54,8.0276
1969,10,2,4,56,9.4540
1969,10,2,5,46,5.6921
1969,10,3,1,57,6.9604
1969,10,3,2,71,6.7913
1969,10,3,3,97,4.0031
1969,10,3,4,99,2.2061
1969,10,3,5,101,6.0870
1969,11,1,1,204,-8.2884
1969,11,1,2,144,-6.9802
1969,11,1,3,96,-6.2657
1969,11,1,4,82,-6.8178
1969,11,1,5,96,-3.6091
1969,11,2,1,84,-5.6360
1969,11,2,2,46,-6.2833
1969,11,2,3,55,-5.6658
1969,11,2,4,56,-4.1914
1969,11,2,5,46,-1.9037
1969,11,3,1,58,-3.3916
1969,11,3,2,71,-4.2828
1969,11,3,3,97,-3.8818
1969,11,3,4,99,-2.3797
1969,11,3,5,101,-1.8989
1969,12,1,1,204,-8.4969
1969,12,1,2,144,-7.4608
1969,12,1,3,96,-7.5428
1969,12,1,4,82,-6.9141
1969,12,1,5,97,-7.6267
1969,12,2,1,83,-7.3223
1969,12,2,2,46,-4.0382
1969,12,2,3,55,-4.4950
1969,12,2,4,56,-2.9474
1969,12,2,5,46,-2.5129
1969,12,3,1,58,-2.6020
1969,12,3,2,71,-2.7106
1969,12,3,3,97,-2.5652
1969,12,3,4,99,-3.3928
1969,12,3,5,101,0.9498
1970,1,1,1,204,-4.1275
1970,1,1,2,144,-1.5526
1970,1,1,3,96,-1.3655
1970,1,1,4,82,-4.3246
1970,1,1,5,97,-3.7498
1970,1,2,1,84,-9.4259
1970,1,2,2,46,-5.8562
1970,1,2,3,55,-3.1516
1970,1,2,4,56,-5.9613
1970,1,2,5,46,-5.4965
1970,1,3,1,58,-12.8839
1970,1,3,2,71,-7.5531
1970,1,3,3,97,-10.5210
1970,1,3,4,99,-6.9983
1970,1,3,5,101,-7.2718
1970,2,1,1,204,2.9841
1970,2,1,2,143,5.0403
1970,2,1,3,96,3.3424
1970,2,1,4,82,2.2408
1970,2,1,5,97,1.4160
1970,2,2,1,84,3.3832
1970,2,2,2,46,6.7583
1970,2,2,3,55,4.9316
1970,2,2,4,56,4.1529
1970,2,2,5,45,4.9175
1970,2,3,1,58,6.1927
