year,month,rank_ME,rank_OPE,nstocks,ret_vw
1969,9,1,3,99,-4.4548
1969,9,1,4,87,-2.6758
1969,9,1,5,115,-4.4846
1969,9,2,1,63,-1.0703
1969,9,2,2,62,0.7289
1969,9,2,3,74,-1.6893
1969,9,2,4,67,-2.4038
1969,9,2,5,73,1.9687
1969,9,3,1,84,-4.1595
1969,9,3,2,109,-4.4107
1969,9,3,3,108,-3.8493
1969,9,3,4,121,-1.1402
1969,9,3,5,123,-0.8884
1969,10,1,1,272,11.4062
1969,10,1,2,122,10.6033
1969,10,1,3,99,10.9152
1969,10,1,4,87,9.4315
1969,10,1,5,115,11.0416
1969,10,2,1,63,7.7481
1969,10,2,2,62,10.8578
1969,10,2,3,74,7.3445
1969,10,2,4,67,5.6688
1969,10,2,5,73,8.7386
1969,10,3,1,83,5.4273
1969,10,3,2,109,3.4062
1969,10,3,3,108,3.6072
1969,10,3,4,121,6.6437
1969,10,3,5,123,5.8010
1969,11,1,1,272,-7.7621
1969,11,1,2,122,-5.9863
1969,11,1,3,99,-6.5537
1969,11,1,4,86,-7.3697
1969,11,1,5,115,-8.1932
1969,11,2,1,62,-5.6834
1969,11,2,2,62,-4.4178
1969,11,2,3,74,-4.2367
1969,11,2,4,67,-6.2887
1969,11,2,5,73,-2.8840
1969,11,3,1,84,-4.1031
1969,11,3,2,109,-2.4213
1969,11,3,3,108,-3.9137
1969,11,3,4,121,-3.5763
1969,11,3,5,123,-1.9583
1969,12,1,1,272,-9.7496
1969,12,1,2,122,-4.9706
1969,12,1,3,99,-7.9302
1969,12,1,4,87,-7.8755
1969,12,1,5,115,-7.2936
1969,12,2,1,62,-7.1618
1969,12,2,2,61,-6.0353
1969,12,2,3,74,-2.3592
1969,12,2,4,67,-5.6284
1969,12,2,5,73,-1.7856
1969,12,3,1,84,-0.7840
1969,12,3,2,109,-3.5529
1969,12,3,3,108,-1.4407
1969,12,3,4,121,-1.7723
1969,12,3,5,123,-0.1273
1970,1,1,1,272,-0.7149
1970,1,1,2,122,-3.5473
1970,1,1,3,99,-3.3435
1970,1,1,4,87,-5.8965
1970,1,1,5,115,-6.8593
1970,1,2,1,62,-3.6588
1970,1,2,2,62,-3.9156
1970,1,2,3,74,-4.9608
1970,1,2,4,67,-7.8678
1970,1,2,5,73,-6.1801
1970,1,3,1,84,-8.0033
1970,1,3,2,109,-7.1297
1970,1,3,3,108,-8.6860
1970,1,3,4,121,-7.4168
1970,1,3,5,123,-7.9008
1970,2,1,1,272,2.8723
1970,2,1,2,122,3.8108
1970,2,1,3,99,5.2345
1970,2,1,4,87,3.0611
1970,2,1,5,115,1.0282
1970,2,2,1,62,6.9045
1970,2,2,2,61,4.5729
1970,2,2,3,74,3.8468
1970,2,2,4,67,2.1577
1970,2,2,5,72,4.6786
1970,2,3,1,84,8.2190
1970,2,3,2,109,8.3768
1970,2,3,3,107,5.7950
1970,2,3,4,121,5.1358
1970,2,3,5,123,4.1237
1970,3,1,1,272,-3.3076
1970,3,1,2,122,-3.5055
1970,3,1,3,99,-4.2727
1970,3,1,4,87,-3.7875
1970,3,1,5,115,-4.4066
1970,3,2,1,63,-1.4181
1970,3,2,2,61,-1.9149
1970,3,2,3,74,-0.1557
1970,3,2,4,67,-1.4344
1970,3,2,5,73,-3.9461
1970,3,3,1,84,-1.0624
1970,3,3,2,109,1.3493
1970,3,3,3,108,0.5807
1970,3,3,4,121,-0.2313
1970,3,3,5,123,-0.7642
1970,4,1,1,272,-19.8264
1970,4,1,2,122,-16.9050
1970,4,1,3,99,-14.5680
1970,4,1,4,87,-14.2868
1970,4,1,5,114,-19.3641
1970,4,2,1,63,-14.5831
1970,4,2,2,62,-14.8557
1970,4,2,3,74,-13.2111
1970,4,2,4,67,-14.2356
1970,4,2,5,73,-17.9561
1970,4,3,1,84,-8.9224
1970,4,3,2,109,-8.5565
1970,4,3,3,108,-9.3122
1970,4,3,4,121,-10.1969
1970,4,3,5,123,-9.7155
1970,5,1,1,271,-10.4142
1970,5,1,2,121,-8.5529
1970,5,1,3,98,-10.0041
1970,5,1,4,87,-9.7915
1970,5,1,5,114,-7.9188
1970,5,2,1,63,-9.5169
1970,5,2,2,62,-11.7860
1970,5,2,3,74,-8.8763
1970,5,2,4,67,-9.8491
1970,5,2,5,73,-10.4210
1970,5,3,1,84,-5.4489
1970,5,3,2,109,-4.1025
1970,5,3,3,108,-3.5442
1970,5,3,4,121,-7.0523
1970,5,3,5,123,-7.0186
1970,6,1,1,270,-7.8793
1970,6,1,2,121,-8.8044
1970,6,1,3,98,-7.7971
1970,6,1,4,87,-8.6141
1970,6,1,5,114,-11.3070
1970,6,2,1,63,-8.8235
1970,6,2,2,61,-7.0397
1970,6,2,3,74,-6.3500
1970,6,2,4,67,-7.2021
1970,6,2,5,73,-5.6685
1970,6,3,1,84,-4.5126
1970,6,3,2,109,-6.1538
1970,6,3,3,108,-4.4163
1970,6,3,4,121,-2.5714
1970,6,3,5,123,-5.9505
1970,7,1,1,302,3.3469
1970,7,1,2,144,2.9141
1970,7,1,3,114,6.1030
1970,7,1,4,117,6.9420
1970,7,1,5,124,6.1327
1970,7,2,1,70,3.8475
1970,7,2,2,64,9.2459
1970,7,2,3,70,7.2697
1970,7,2,4,77,8.5578
1970,7,2,5,89,8.3703
1970,7,3,1,80,7.9452
1970,7,3,2,114,8.9182
1970,7,3,3,119,10.2141
1970,7,3,4,116,7.9270
1970,7,3,5,136,4.6180
1970,8,1,1,300,5.5469
1970,8,1,2,144,8.3061
1970,8,1,3,114,6.4855
1970,8,1,4,117,5.3032
1970,8,1,5,124,6.2107
1970,8,2,1,70,7.1691
1970,8,2,2,64,5.1991
1970,8,2,3,70,6.9448
1970,8,2,4,77,8.1407
1970,8,2,5,89,7.3334
1970,8,3,1,79,4.8439
1970,8,3,2,114,4.1712
1970,8,3,3,119,4.6909
1970,8,3,4,116,4.8383
1970,8,3,5,136,5.5571
1970,9,1,1,298,15.1901
1970,9,1,2,144,15.3624
1970,9,1,3,114,15.3934
1970,9,1,4,116,12.7482
1970,9,1,5,124,17.5424
1970,9,2,1,70,13.9545
1970,9,2,2,64,9.3983
1970,9,2,3,70,11.7221
1970,9,2,4,77,7.5810
1970,9,2,5,89,14.2787
1970,9,3,1,79,3.7407
1970,9,3,2,114,3.5017
1970,9,3,3,119,1.2669
1970,9,3,4,116,3.5143
1970,9,3,5,135,5.4953
1970,10,1,1,299,-8.2527
1970,10,1,2,144,-9.2717
1970,10,1,3,114,-7.3515
1970,10,1,4,116,-5.8965
1970,10,1,5,124,-8.2875
1970,10,2,1,70,-7.9067
1970,10,2,2,64,-3.3686
1970,10,2,3,70,-4.8659
1970,10,2,4,77,-3.3742
1970,10,2,5,89,-5.2029
1970,10,3,1,79,-0.5593
1970,10,3,2,114,-2.2310
1970,10,3,3,119,-0.9466
1970,10,3,4,116,-1.0735
1970,10,3,5,135,-0.7486
1970,11,1,1,299,-3.9019
1970,11,1,2,144,-2.4901
1970,11,1,3,114,-0.1633
1970,11,1,4,116,-1.1315
1970,11,1,5,123,0.4963
1970,11,2,1,70,0.9353
1970,11,2,2,64,2.5605
1970,11,2,3,70,3.4408
1970,11,2,4,77,3.5616
1970,11,2,5,89,3.1962
1970,11,3,1,79,3.8641
1970,11,3,2,114,6.4774
1970,11,3,3,119,6.0224
1970,11,3,4,116,4.5513
1970,11,3,5,135,5.5917
1970,12,1,1,298,7.2038
1970,12,1,2,143,9.0308
1970,12,1,3,114,11.2865
1970,12,1,4,116,9.0125
1970,12,1,5,123,13.2917
1970,12,2,1,70,8.0077
1970,12,2,2,64,7.2543
1970,12,2,3,70,9.1742
1970,12,2,4,77,7.3971
1970,12,2,5,89,9.4846
1970,12,3,1,79,6.6283
1970,12,3,2,114,5.0068
1970,12,3,3,119,6.2389
1970,12,3,4,116,6.5257
1970,12,3,5,135,5.6131
1971,1,1,1,295,16.8953
1971,1,1,2,143,15.0752
1971,1,1,3,114,14.0508
1971,1,1,4,116,13.8057
1971,1,1,5,124,13.6889
1971,1,2,1,70,14.2211
1971,1,2,2,64,9.2809
1971,1,2,3,70,11.2485
1971,1,2,4,76,10.6015
1971,1,2,5,89,8.2406
1971,1,3,1,79,4.6451
1971,1,3,2,114,5.0132
1971,1,3,3,119,4.7866
1971,1,3,4,116,4.0397
1971,1,3,5,135,3.9596
1971,2,1,1,295,5.7929
1971,2,1,2,142,4.7522
1971,2,1,3,114,4.3817
1971,2,1,4,115,5.7491
1971,2,1,5,124,8.5084
1971,2,2,1,70,2.0870
1971,2,2,2,64,2.6265
1971,2,2,3,70,2.0236
1971,2,2,4,76,1.6825
1971,2,2,5,89,4.1694
1971,2,3,1,79,1.7364
1971,2,3,2,114,0.9864
1971,2,3,3,119,-0.2302
1971,2,3,4,116,2.9677
1971,2,3,5,135,1.8951
1971,3,1,1,294,5.3560
1971,3,1,2,142,6.4446
1971,3,1,3,114,5.0350
1971,3,1,4,115,8.5841
1971,3,1,5,124,7.0020
1971,3,2,1,70,6.3139
1971,3,2,2,64,4.7685
1971,3,2,3,70,6.0162
1971,3,2,4,76,4.7863
1971,3,2,5,89,9.9127
1971,3,3,1,78,3.2321
1971,3,3,2,114,3.2690
1971,3,3,3,119,2.6182
1971,3,3,4,116,4.3433
1971,3,3,5,135,5.3413
1971,4,1,1,293,2.5089
1971,4,1,2,142,2.4387
1971,4,1,3,114,3.0330
1971,4,1,4,115,2.3855
1971,4,1,5,124,1.7990
1971,4,2,1,70,7.1164
1971,4,2,2,63,2.4028
1971,4,2,3,70,2.9208
1971,4,2,4,76,4.5530
1971,4,2,5,89,2.6009
1971,4,3,1,78,6.1977
1971,4,3,2,114,2.9932
1971,4,3,3,119,2.4445
1971,4,3,4,116,3.3401
1971,4,3,5,135,4.0864
1971,5,1,1,292,-7.5413
1971,5,1,2,142,-5.0528
1971,5,1,3,114,-6.1964
1971,5,1,4,115,-5.5710
1971,5,1,5,124,-5.8161
1971,5,2,1,70,-3.4786
1971,5,2,2,64,-6.3359
1971,5,2,3,69,-4.0546
1971,5,2,4,76,-4.9974
1971,5,2,5,89,-2.7276
1971,5,3,1,78,-4.8076
1971,5,3,2,114,-3.9161
1971,5,3,3,119,-3.3847
1971,5,3,4,116,-2.7509
1971,5,3,5,135,-3.4554
1971,6,1,1,289,-3.6865
1971,6,1,2,142,-1.8550
1971,6,1,3,114,-1.8108
1971,6,1,4,115,-1.6366
1971,6,1,5,123,-0.9361
1971,6,2,1,70,-2.7482
1971,6,2,2,64,-0.0623
1971,6,2,3,69,-1.5209
1971,6,2,4,76,-0.9912
1971,6,2,5,88,2.3871
1971,6,3,1,78,-1.3505
1971,6,3,2,114,0.5980
1971,6,3,3,119,1.5517
1971,6,3,4,116,1.4666
1971,6,3,5,135,-0.3053
1971,7,1,1,356,-7.7978
1971,7,1,2,149,-4.4607
1971,7,1,3,125,-6.4881
