year,month,rank_ME,rank_OPA,nstocks,ret_vw
1971,5,1,5,112,-4.0086
1971,5,2,1,71,-5.1483
1971,5,2,2,56,-4.3744
1971,5,2,3,66,-6.6633
1971,5,2,4,72,-4.1828
1971,5,2,5,74,-1.0041
1971,5,3,1,47,-2.5569
1971,5,3,2,86,-4.0825
1971,5,3,3,90,-4.8061
1971,5,3,4,110,-2.7017
1971,5,3,5,114,-3.0777
1971,6,1,1,270,-3.8251
1971,6,1,2,161,-2.6189
1971,6,1,3,133,-0.6890
1971,6,1,4,105,-0.8511
1971,6,1,5,112,-2.9580
1971,6,2,1,71,-2.3241
1971,6,2,2,56,0.0271
1971,6,2,3,66,-2.0288
1971,6,2,4,71,-0.3379
1971,6,2,5,74,1.8787
1971,6,3,1,47,-3.0725
1971,6,3,2,86,-0.2359
1971,6,3,3,90,0.2417
1971,6,3,4,110,0.2269
1971,6,3,5,113,0.3856
1971,7,1,1,332,-7.9662
1971,7,1,2,136,-5.8568
1971,7,1,3,121,-5.5468
1971,7,1,4,144,-5.7706
1971,7,1,5,96,-9.3892
1971,7,2,1,63,-6.1152
1971,7,2,2,56,-6.3152
1971,7,2,3,81,-5.4359
1971,7,2,4,81,-5.5381
1971,7,2,5,67,-5.1418
1971,7,3,1,51,-6.9854
1971,7,3,2,89,-5.2508
1971,7,3,3,85,-4.0387
1971,7,3,4,110,-3.4478
1971,7,3,5,138,-4.1586
1971,8,1,1,331,4.2821
1971,8,1,2,136,2.7678
1971,8,1,3,121,4.3675
1971,8,1,4,144,4.5856
1971,8,1,5,96,6.1230
1971,8,2,1,63,5.9496
1971,8,2,2,56,4.2136
1971,8,2,3,81,6.5660
1971,8,2,4,81,4.3635
1971,8,2,5,67,5.1475
1971,8,3,1,51,7.3864
1971,8,3,2,89,5.3766
1971,8,3,3,85,3.6463
1971,8,3,4,109,3.7052
1971,8,3,5,137,5.2803
1971,9,1,1,331,-1.7356
1971,9,1,2,136,-1.8782
1971,9,1,3,121,0.9503
