year,month,rank_ME,rank_Fq_6,nstocks,ret_vw
1988,4,1,5,603,3.9411
1988,4,2,1,148,1.3728
1988,4,2,2,217,1.8655
1988,4,2,3,234,1.1277
1988,4,2,4,209,1.9983
1988,4,2,5,166,2.1570
1988,4,3,1,80,-0.2494
1988,4,3,2,133,1.1490
1988,4,3,3,204,0.1476
1988,4,3,4,208,1.6998
1988,4,3,5,177,1.9719
1988,5,1,1,862,-3.5031
1988,5,1,2,858,-2.5712
1988,5,1,3,978,-3.2405
1988,5,1,4,806,-1.9144
1988,5,1,5,706,-0.9636
1988,5,2,1,168,-2.4483
1988,5,2,2,241,-1.7618
1988,5,2,3,273,-1.8835
1988,5,2,4,240,-0.6432
1988,5,2,5,197,0.0777
1988,5,3,1,95,-0.3646
1988,5,3,2,163,0.7980
1988,5,3,3,229,0.4236
1988,5,3,4,241,-0.8717
1988,5,3,5,216,0.1430
1988,6,1,1,854,5.4705
1988,6,1,2,870,7.3332
1988,6,1,3,984,6.6345
1988,6,1,4,804,6.3392
1988,6,1,5,703,5.9888
1988,6,2,1,164,8.4961
1988,6,2,2,239,9.0697
1988,6,2,3,268,7.6227
1988,6,2,4,230,7.5629
1988,6,2,5,198,7.0519
1988,6,3,1,98,7.2106
1988,6,3,2,162,5.9532
1988,6,3,3,226,3.8910
1988,6,3,4,232,4.6539
1988,6,3,5,219,6.2223
1988,7,1,1,689,-0.8042
1988,7,1,2,685,-0.3052
1988,7,1,3,803,-0.4063
1988,7,1,4,669,-0.2317
1988,7,1,5,611,0.5062
1988,7,2,1,137,-2.5852
1988,7,2,2,190,-3.0164
1988,7,2,3,230,-0.9108
1988,7,2,4,192,-0.5937
1988,7,2,5,181,-1.2551
1988,7,3,1,77,-1.9979
1988,7,3,2,126,-0.8047
1988,7,3,3,175,-1.1569
1988,7,3,4,188,-1.0176
1988,7,3,5,195,-1.5505
1988,8,1,1,821,-3.3146
1988,8,1,2,821,-2.1391
1988,8,1,3,938,-1.8346
1988,8,1,4,802,-1.7357
1988,8,1,5,712,-1.9837
1988,8,2,1,162,-3.6716
1988,8,2,2,226,-3.6814
1988,8,2,3,271,-2.9621
1988,8,2,4,226,-3.1183
1988,8,2,5,196,-3.4073
1988,8,3,1,104,-2.0895
1988,8,3,2,155,-2.7993
1988,8,3,3,221,-2.4211
1988,8,3,4,218,-3.7795
1988,8,3,5,231,-4.9610
1988,9,1,1,833,2.1027
