year,month,rank_ME,rank_SGq_1,nstocks,ret_vw
1969,8,3,3,121,3.1703
1969,8,3,4,92,6.4371
1969,8,3,5,93,5.5168
1969,9,1,1,174,-5.1782
1969,9,1,2,70,-3.5632
1969,9,1,3,65,-3.0252
1969,9,1,4,85,-3.4780
1969,9,1,5,158,-3.5501
1969,9,2,1,66,-0.4367
1969,9,2,2,48,-1.8636
1969,9,2,3,37,-0.7427
1969,9,2,4,63,-2.0829
1969,9,2,5,94,0.6655
1969,9,3,1,75,-3.0919
1969,9,3,2,109,-5.5551
1969,9,3,3,119,-2.7205
1969,9,3,4,90,-0.3854
1969,9,3,5,95,-0.4798
1969,10,1,1,175,8.3942
1969,10,1,2,71,12.9398
1969,10,1,3,68,9.1331
1969,10,1,4,82,10.4214
1969,10,1,5,160,13.4864
1969,10,2,1,64,8.3350
1969,10,2,2,46,5.1857
1969,10,2,3,42,7.1024
1969,10,2,4,70,6.4846
1969,10,2,5,88,8.5070
1969,10,3,1,75,6.7793
1969,10,3,2,107,2.2618
1969,10,3,3,117,5.5267
1969,10,3,4,92,5.6385
1969,10,3,5,96,6.8115
1969,11,1,1,185,-7.8025
1969,11,1,2,89,-5.7976
1969,11,1,3,70,-5.6555
1969,11,1,4,88,-6.7590
1969,11,1,5,183,-7.3735
1969,11,2,1,82,-4.6281
1969,11,2,2,51,-4.6222
1969,11,2,3,39,-4.3950
1969,11,2,4,62,-5.1440
1969,11,2,5,97,-4.8868
1969,11,3,1,76,-4.4790
1969,11,3,2,107,-4.2601
1969,11,3,3,125,-2.5490
1969,11,3,4,114,-1.8882
1969,11,3,5,109,-0.8741
1969,12,1,1,183,-11.0152
1969,12,1,2,91,-7.4775
1969,12,1,3,64,-7.0335
1969,12,1,4,90,-8.7573
1969,12,1,5,187,-7.4939
1969,12,2,1,82,-7.6513
1969,12,2,2,53,-4.6688
1969,12,2,3,40,-1.6576
1969,12,2,4,66,-6.2697
1969,12,2,5,93,-5.6945
1969,12,3,1,76,-3.2264
1969,12,3,2,100,-0.3766
1969,12,3,3,131,-0.9044
1969,12,3,4,115,-2.0614
1969,12,3,5,108,-1.4620
1970,1,1,1,188,1.1734
1970,1,1,2,86,-3.3870
1970,1,1,3,67,-1.5891
1970,1,1,4,86,-2.4157
1970,1,1,5,185,-4.2635
1970,1,2,1,75,-5.2525
1970,1,2,2,57,-4.3795
1970,1,2,3,40,-5.1603
1970,1,2,4,65,-5.2741
1970,1,2,5,96,-8.1481
1970,1,3,1,76,-8.9318
1970,1,3,2,99,-6.2621
1970,1,3,3,131,-7.7117
1970,1,3,4,115,-8.1974
1970,1,3,5,108,-9.0584
1970,2,1,1,198,1.3291
1970,2,1,2,72,3.2073
1970,2,1,3,64,4.2895
1970,2,1,4,90,3.3800
1970,2,1,5,175,4.3578
1970,2,2,1,67,1.3924
1970,2,2,2,58,4.5345
1970,2,2,3,48,3.9668
1970,2,2,4,69,5.6398
1970,2,2,5,91,5.0244
1970,2,3,1,70,3.2402
1970,2,3,2,106,5.6037
1970,2,3,3,132,7.6172
1970,2,3,4,112,6.4486
1970,2,3,5,105,4.8503
1970,3,1,1,203,-1.4915
1970,3,1,2,65,-0.7253
1970,3,1,3,66,-3.1841
1970,3,1,4,100,-3.7012
1970,3,1,5,169,-5.9332
1970,3,2,1,67,-0.2435
1970,3,2,2,58,0.5126
1970,3,2,3,54,1.1671
1970,3,2,4,64,-3.7313
1970,3,2,5,92,-3.2161
1970,3,3,1,69,0.7474
1970,3,3,2,110,0.1730
1970,3,3,3,130,0.1972
1970,3,3,4,109,0.9529
1970,3,3,5,108,-3.3196
1970,4,1,1,214,-18.0791
1970,4,1,2,66,-14.7008
1970,4,1,3,64,-16.2831
1970,4,1,4,105,-16.8309
1970,4,1,5,166,-20.0093
1970,4,2,1,67,-16.0118
1970,4,2,2,56,-11.1693
1970,4,2,3,53,-13.7042
1970,4,2,4,69,-14.5189
1970,4,2,5,88,-16.8934
1970,4,3,1,72,-11.1723
1970,4,3,2,113,-7.3420
1970,4,3,3,129,-8.8755
1970,4,3,4,105,-9.2756
1970,4,3,5,108,-11.6453
1970,5,1,1,235,-9.2952
1970,5,1,2,102,-9.0718
1970,5,1,3,63,-8.5875
1970,5,1,4,97,-9.0740
1970,5,1,5,173,-10.0987
1970,5,2,1,73,-10.3711
1970,5,2,2,51,-9.7260
1970,5,2,3,59,-8.3264
1970,5,2,4,72,-9.3890
1970,5,2,5,97,-11.5801
1970,5,3,1,72,-7.0347
1970,5,3,2,128,-3.8975
1970,5,3,3,134,-3.7558
1970,5,3,4,118,-7.4628
1970,5,3,5,97,-8.8346
1970,6,1,1,235,-9.8544
1970,6,1,2,114,-9.7515
1970,6,1,3,57,-8.8109
1970,6,1,4,89,-10.2064
1970,6,1,5,169,-9.3047
