year,month,rank_ME,rank_RDM,nstocks,ret_vw
1980,10,1,2,123,6.4012
1980,10,1,3,134,7.6414
1980,10,1,4,132,4.0798
1980,10,1,5,198,5.0579
1980,10,2,1,63,4.0234
1980,10,2,2,48,3.1664
1980,10,2,3,47,6.7525
1980,10,2,4,59,1.2957
1980,10,2,5,38,1.4202
1980,10,3,1,92,5.2577
1980,10,3,2,69,3.3720
1980,10,3,3,73,1.0540
1980,10,3,4,56,-1.5015
1980,10,3,5,53,-1.8708
1980,11,1,1,122,6.2773
1980,11,1,2,123,6.8113
1980,11,1,3,134,4.6397
1980,11,1,4,132,8.2977
1980,11,1,5,198,11.6357
1980,11,2,1,62,11.0335
1980,11,2,2,48,11.0327
1980,11,2,3,47,9.7050
1980,11,2,4,59,7.5715
1980,11,2,5,38,2.7979
1980,11,3,1,92,17.7558
1980,11,3,2,68,16.7656
1980,11,3,3,73,7.3500
1980,11,3,4,56,9.3193
1980,11,3,5,53,6.7858
1980,12,1,1,122,-5.0743
1980,12,1,2,121,-5.8343
1980,12,1,3,132,-6.2055
1980,12,1,4,132,-4.9550
1980,12,1,5,197,-4.3962
1980,12,2,1,61,-6.3587
1980,12,2,2,48,-0.4972
1980,12,2,3,47,0.7623
1980,12,2,4,59,-4.3102
1980,12,2,5,38,-1.6687
1980,12,3,1,92,-8.5180
1980,12,3,2,68,-5.3208
1980,12,3,3,73,1.1301
1980,12,3,4,56,-0.9751
1980,12,3,5,53,0.4275
1981,1,1,1,122,-1.4644
1981,1,1,2,121,-0.7685
1981,1,1,3,132,1.2207
1981,1,1,4,132,-0.0129
1981,1,1,5,195,-3.1030
1981,1,2,1,62,-3.7255
1981,1,2,2,48,-1.6863
1981,1,2,3,47,-2.3114
1981,1,2,4,58,-5.2619
1981,1,2,5,38,-2.1573
1981,1,3,1,92,-7.0120
1981,1,3,2,68,-6.1962
1981,1,3,3,73,-4.3970
1981,1,3,4,56,-2.5673
1981,1,3,5,53,-4.0547
1981,2,1,1,122,-1.3919
1981,2,1,2,121,-0.1768
1981,2,1,3,130,-1.9725
1981,2,1,4,132,1.3829
1981,2,1,5,195,-1.8024
1981,2,2,1,61,0.4994
1981,2,2,2,47,-0.3469
1981,2,2,3,47,2.5555
1981,2,2,4,58,-1.1825
1981,2,2,5,38,-0.0338
1981,2,3,1,92,1.3347
1981,2,3,2,68,-0.9138
1981,2,3,3,73,3.8169
1981,2,3,4,56,5.3860
1981,2,3,5,52,3.7797
1981,3,1,1,121,9.4965
1981,3,1,2,121,9.9519
1981,3,1,3,128,8.2321
1981,3,1,4,131,10.3039
1981,3,1,5,193,11.2017
1981,3,2,1,61,9.4112
