year,month,rank_ME,rank_RDSq_6,nstocks,ret_vw
1993,6,3,1,63,-0.5401
1993,6,3,2,80,-0.0037
1993,6,3,3,75,1.2052
1993,6,3,4,83,-1.6837
1993,6,3,5,94,-1.8664
1993,7,1,1,178,0.2015
1993,7,1,2,170,0.8897
1993,7,1,3,246,-0.1975
1993,7,1,4,272,0.9407
1993,7,1,5,501,-2.5147
1993,7,2,1,51,-2.2898
1993,7,2,2,45,-0.2328
1993,7,2,3,67,1.1853
1993,7,2,4,104,2.6301
1993,7,2,5,179,-0.5059
1993,7,3,1,61,-1.3339
1993,7,3,2,73,-0.8926
1993,7,3,3,73,-0.6792
1993,7,3,4,79,-3.2627
1993,7,3,5,87,-6.0308
1993,8,1,1,191,3.5010
1993,8,1,2,195,5.2371
1993,8,1,3,260,4.4957
1993,8,1,4,323,4.9503
1993,8,1,5,571,6.3696
1993,8,2,1,53,1.4718
1993,8,2,2,46,3.8101
1993,8,2,3,66,2.5276
1993,8,2,4,114,5.0512
1993,8,2,5,196,7.8844
1993,8,3,1,62,4.0803
1993,8,3,2,72,3.6819
1993,8,3,3,74,2.2176
1993,8,3,4,84,4.8412
1993,8,3,5,94,5.1511
1993,9,1,1,191,2.3414
1993,9,1,2,191,3.4447
1993,9,1,3,262,1.7960
1993,9,1,4,320,2.2212
1993,9,1,5,578,3.0800
1993,9,2,1,51,-1.0761
1993,9,2,2,46,-0.2466
1993,9,2,3,66,2.7247
1993,9,2,4,113,4.3506
1993,9,2,5,196,4.3492
1993,9,3,1,63,-0.3570
1993,9,3,2,73,-1.4029
1993,9,3,3,73,-2.6723
1993,9,3,4,85,-0.4615
1993,9,3,5,94,0.8153
1993,10,1,1,184,5.7097
1993,10,1,2,169,5.6279
1993,10,1,3,245,4.7578
1993,10,1,4,283,6.1098
1993,10,1,5,555,7.8870
1993,10,2,1,54,5.3208
1993,10,2,2,46,3.6653
1993,10,2,3,61,4.2588
1993,10,2,4,105,4.0704
1993,10,2,5,192,2.0583
1993,10,3,1,61,1.9354
1993,10,3,2,69,5.9725
1993,10,3,3,71,-0.5504
1993,10,3,4,81,3.8400
1993,10,3,5,89,2.1921
1993,11,1,1,203,-4.5523
1993,11,1,2,177,-3.0339
1993,11,1,3,276,-2.0919
1993,11,1,4,314,-3.0431
1993,11,1,5,592,-3.6384
1993,11,2,1,55,-0.0780
1993,11,2,2,47,1.5047
1993,11,2,3,68,-3.1452
1993,11,2,4,116,-1.9728
1993,11,2,5,206,-3.9562
1993,11,3,1,63,1.8690
1993,11,3,2,70,-0.1311
1993,11,3,3,71,-2.6941
1993,11,3,4,86,0.8107
1993,11,3,5,95,2.1962
1993,12,1,1,203,0.9005
1993,12,1,2,171,2.4155
1993,12,1,3,269,2.4325
1993,12,1,4,311,1.3315
1993,12,1,5,602,-1.4263
1993,12,2,1,53,3.1614
1993,12,2,2,45,5.3104
1993,12,2,3,66,1.2079
1993,12,2,4,111,3.1705
1993,12,2,5,203,0.8519
1993,12,3,1,62,0.9856
1993,12,3,2,71,3.1655
1993,12,3,3,71,0.4540
1993,12,3,4,80,1.9190
1993,12,3,5,99,1.9431
1994,1,1,1,143,4.2506
1994,1,1,2,122,5.1252
1994,1,1,3,188,5.1370
1994,1,1,4,236,4.9918
1994,1,1,5,528,4.3905
1994,1,2,1,40,-0.7468
1994,1,2,2,32,3.1763
1994,1,2,3,43,5.0482
1994,1,2,4,74,1.9019
1994,1,2,5,183,6.1758
1994,1,3,1,33,5.1650
1994,1,3,2,44,6.8264
1994,1,3,3,41,5.5336
1994,1,3,4,53,2.6579
1994,1,3,5,78,2.8669
1994,2,1,1,164,-1.3377
1994,2,1,2,148,0.5972
1994,2,1,3,219,0.7859
1994,2,1,4,275,-0.5036
1994,2,1,5,574,-2.9104
1994,2,2,1,41,0.3247
1994,2,2,2,34,0.4929
1994,2,2,3,47,5.4216
1994,2,2,4,89,1.3235
1994,2,2,5,196,-1.8881
1994,2,3,1,34,0.6297
1994,2,3,2,47,0.2677
1994,2,3,3,46,-4.2586
1994,2,3,4,58,-1.0559
1994,2,3,5,84,-3.5828
1994,3,1,1,165,-5.7440
1994,3,1,2,144,-3.2581
1994,3,1,3,229,-6.5074
1994,3,1,4,274,-3.6940
1994,3,1,5,569,-6.8495
1994,3,2,1,44,-6.3183
1994,3,2,2,37,-6.6819
1994,3,2,3,51,-6.4463
1994,3,2,4,91,-7.1923
1994,3,2,5,202,-8.9760
1994,3,3,1,35,-6.7129
1994,3,3,2,48,-2.6855
1994,3,3,3,47,-2.1750
1994,3,3,4,61,-3.5107
1994,3,3,5,88,-4.5679
1994,4,1,1,156,-0.9332
1994,4,1,2,130,-2.5670
1994,4,1,3,229,-0.4359
1994,4,1,4,230,-2.4195
1994,4,1,5,542,-4.8345
1994,4,2,1,40,-1.2934
1994,4,2,2,33,-1.2182
1994,4,2,3,52,-1.3607
1994,4,2,4,90,2.7185
1994,4,2,5,188,-3.0217
1994,4,3,1,33,-1.0439
1994,4,3,2,46,-0.9939
1994,4,3,3,44,0.5491
1994,4,3,4,58,0.3139
1994,4,3,5,83,0.8377
1994,5,1,1,206,-0.3832
1994,5,1,2,186,-1.0587
1994,5,1,3,292,-1.6421
1994,5,1,4,306,-0.8467
1994,5,1,5,665,-1.7079
1994,5,2,1,61,1.9046
1994,5,2,2,53,-4.3865
1994,5,2,3,78,-1.1508
1994,5,2,4,114,-2.8373
1994,5,2,5,211,-3.3071
1994,5,3,1,61,0.2952
1994,5,3,2,82,-0.7990
1994,5,3,3,66,3.3699
1994,5,3,4,93,3.5500
1994,5,3,5,108,4.8256
1994,6,1,1,202,-1.1319
1994,6,1,2,190,-4.4338
1994,6,1,3,293,-3.7272
1994,6,1,4,318,-3.4794
1994,6,1,5,661,-6.5674
1994,6,2,1,65,-2.0574
1994,6,2,2,55,-0.6631
1994,6,2,3,80,-4.4958
1994,6,2,4,119,-5.7133
1994,6,2,5,204,-6.2088
1994,6,3,1,59,-3.9365
1994,6,3,2,80,-3.1638
1994,6,3,3,66,-0.5936
1994,6,3,4,94,-3.9777
1994,6,3,5,109,-3.4182
1994,7,1,1,176,2.0378
1994,7,1,2,176,5.0288
1994,7,1,3,264,2.1087
1994,7,1,4,278,2.3418
1994,7,1,5,613,-1.2809
1994,7,2,1,58,1.3874
1994,7,2,2,53,1.6401
1994,7,2,3,73,1.6629
1994,7,2,4,110,2.2307
1994,7,2,5,186,2.3231
1994,7,3,1,59,5.2209
1994,7,3,2,74,3.7939
1994,7,3,3,65,2.2165
1994,7,3,4,88,4.4192
1994,7,3,5,96,1.8036
1994,8,1,1,191,4.1907
1994,8,1,2,196,4.8052
1994,8,1,3,297,6.5090
1994,8,1,4,338,8.6331
1994,8,1,5,685,6.3962
1994,8,2,1,62,6.2880
1994,8,2,2,56,7.3084
1994,8,2,3,83,10.3244
1994,8,2,4,115,10.5626
1994,8,2,5,198,12.9024
1994,8,3,1,60,4.9708
1994,8,3,2,76,5.4147
1994,8,3,3,71,2.9359
1994,8,3,4,94,7.5896
1994,8,3,5,98,10.1647
1994,9,1,1,190,2.9992
1994,9,1,2,193,0.2893
1994,9,1,3,298,3.7131
