year,month,rank_ME,rank_RCA,nstocks,ret_vw
1983,12,3,1,54,-0.8455
1983,12,3,2,68,-0.9202
1983,12,3,3,59,-1.9341
1983,12,3,4,65,-0.4325
1983,12,3,5,82,0.3339
1984,1,1,1,150,-0.7797
1984,1,1,2,139,-0.8702
1984,1,1,3,158,-1.9888
1984,1,1,4,170,1.1716
1984,1,1,5,239,-1.6877
1984,1,2,1,57,-1.4404
1984,1,2,2,43,-2.2898
1984,1,2,3,58,-3.4355
1984,1,2,4,54,-4.2567
1984,1,2,5,71,-7.3640
1984,1,3,1,54,8.2250
1984,1,3,2,68,0.2889
1984,1,3,3,59,-4.3139
1984,1,3,4,65,-4.2909
1984,1,3,5,82,-4.9770
1984,2,1,1,150,-5.7535
1984,2,1,2,137,-7.2443
1984,2,1,3,157,-6.6782
1984,2,1,4,170,-8.5681
1984,2,1,5,236,-8.7092
1984,2,2,1,57,-3.6216
1984,2,2,2,43,-6.8371
1984,2,2,3,58,-6.5583
1984,2,2,4,54,-7.6433
1984,2,2,5,71,-8.7642
1984,2,3,1,54,1.5486
1984,2,3,2,68,-3.6842
1984,2,3,3,59,-7.8868
1984,2,3,4,65,-5.6334
1984,2,3,5,82,-4.2538
1984,3,1,1,150,0.1592
1984,3,1,2,136,-0.6511
1984,3,1,3,156,0.4538
1984,3,1,4,167,4.3351
1984,3,1,5,236,0.1413
1984,3,2,1,55,2.1586
1984,3,2,2,42,-0.9031
1984,3,2,3,56,0.4176
1984,3,2,4,54,1.3747
1984,3,2,5,70,0.1590
1984,3,3,1,54,-0.1543
1984,3,3,2,68,2.8926
1984,3,3,3,58,1.4436
1984,3,3,4,65,2.9375
1984,3,3,5,82,0.5818
1984,4,1,1,150,-2.5265
1984,4,1,2,137,-0.9719
1984,4,1,3,155,-1.8868
1984,4,1,4,166,-1.5398
1984,4,1,5,236,-2.7383
1984,4,2,1,55,-1.0379
1984,4,2,2,42,-0.2948
1984,4,2,3,56,-0.4811
1984,4,2,4,54,3.4053
1984,4,2,5,70,-0.1148
1984,4,3,1,54,1.9188
