year,month,rank_ME,rank_ETL,nstocks,ret_vw
1970,11,1,3,10,-5.7598
1970,11,1,4,12,-0.9221
1970,11,1,5,11,2.3682
1970,11,2,1,16,5.8147
1970,11,2,2,16,0.8977
1970,11,2,3,15,5.4115
1970,11,2,4,16,0.8430
1970,11,2,5,15,2.6240
1970,11,3,1,69,6.4902
1970,11,3,2,63,4.7390
1970,11,3,3,61,5.9242
1970,11,3,4,60,6.2248
1970,11,3,5,61,5.5008
1970,12,1,1,3,9.6952
1970,12,1,2,8,11.7375
1970,12,1,3,10,15.5837
1970,12,1,4,12,12.7670
1970,12,1,5,11,10.8598
1970,12,2,1,16,4.8228
1970,12,2,2,16,6.0747
1970,12,2,3,15,8.2359
1970,12,2,4,16,13.7540
1970,12,2,5,15,12.5906
1970,12,3,1,69,7.9745
1970,12,3,2,63,5.1453
1970,12,3,3,61,4.7100
1970,12,3,4,59,6.5171
1970,12,3,5,61,5.6397
1971,1,1,1,3,12.7247
1971,1,1,2,8,11.2654
1971,1,1,3,10,15.9175
1971,1,1,4,12,17.5169
1971,1,1,5,11,12.5160
1971,1,2,1,16,10.5226
1971,1,2,2,16,10.7693
1971,1,2,3,15,12.0788
1971,1,2,4,15,10.9892
1971,1,2,5,15,11.9908
1971,1,3,1,69,5.7460
1971,1,3,2,63,4.3243
1971,1,3,3,61,2.9976
1971,1,3,4,59,1.1324
1971,1,3,5,61,5.5328
1971,2,1,1,3,9.7312
1971,2,1,2,8,-0.1143
1971,2,1,3,10,8.7813
1971,2,1,4,12,7.7152
1971,2,1,5,11,6.7747
1971,2,2,1,15,-2.7881
1971,2,2,2,16,3.9087
1971,2,2,3,15,0.3423
1971,2,2,4,15,1.8018
1971,2,2,5,15,4.2294
1971,2,3,1,69,-2.7209
1971,2,3,2,63,2.9989
1971,2,3,3,61,2.6148
1971,2,3,4,59,1.7329
1971,2,3,5,60,1.7402
1971,3,1,1,3,4.8300
1971,3,1,2,8,0.9104
1971,3,1,3,10,-1.3933
1971,3,1,4,12,3.4512
1971,3,1,5,11,5.7762
1971,3,2,1,15,1.6837
1971,3,2,2,16,3.5753
1971,3,2,3,15,0.6937
1971,3,2,4,15,6.0836
1971,3,2,5,15,5.2622
1971,3,3,1,69,1.8008
1971,3,3,2,63,4.4801
1971,3,3,3,61,4.5371
1971,3,3,4,59,2.1204
1971,3,3,5,60,4.9769
1971,4,1,1,3,-5.2460
1971,4,1,2,8,1.6091
1971,4,1,3,10,-2.4200
1971,4,1,4,12,3.1818
1971,4,1,5,11,3.8950
1971,4,2,1,15,1.3798
1971,4,2,2,16,1.7409
1971,4,2,3,15,8.7730
1971,4,2,4,15,10.5833
1971,4,2,5,15,6.9597
1971,4,3,1,69,0.2367
1971,4,3,2,63,3.5957
1971,4,3,3,61,2.7614
1971,4,3,4,59,7.1583
1971,4,3,5,60,5.9394
1971,5,1,1,3,-7.9379
1971,5,1,2,8,-9.4585
1971,5,1,3,10,-3.5946
1971,5,1,4,12,-7.7855
1971,5,1,5,11,-4.9289
1971,5,2,1,15,-7.9588
1971,5,2,2,16,-1.7003
1971,5,2,3,15,-2.8625
1971,5,2,4,15,-4.7667
1971,5,2,5,15,-2.7250
1971,5,3,1,69,-4.4055
1971,5,3,2,63,-4.4866
1971,5,3,3,61,-3.6577
1971,5,3,4,59,-4.3976
1971,5,3,5,60,-1.6755
1971,6,1,1,3,5.8632
1971,6,1,2,7,3.8228
1971,6,1,3,10,-0.4944
1971,6,1,4,12,-3.0805
1971,6,1,5,11,0.0663
1971,6,2,1,15,-0.3990
1971,6,2,2,16,-3.7817
1971,6,2,3,15,-4.1798
1971,6,2,4,15,-2.1703
1971,6,2,5,15,-2.8878
1971,6,3,1,69,2.3215
1971,6,3,2,63,-0.1433
1971,6,3,3,61,0.6613
1971,6,3,4,59,-1.2499
1971,6,3,5,60,-0.7416
1971,7,1,1,8,-6.5580
1971,7,1,2,12,-3.1578
1971,7,1,3,18,-4.4116
1971,7,1,4,17,-3.6180
1971,7,1,5,18,-8.4639
1971,7,2,1,23,-1.0128
1971,7,2,2,15,-3.6576
1971,7,2,3,20,-5.5186
1971,7,2,4,17,-2.9620
1971,7,2,5,21,-0.7113
1971,7,3,1,66,-3.3295
1971,7,3,2,70,-5.3345
1971,7,3,3,60,-3.6219
1971,7,3,4,63,-2.6989
1971,7,3,5,59,-5.3361
1971,8,1,1,8,-1.8943
1971,8,1,2,12,7.4795
1971,8,1,3,18,2.2182
1971,8,1,4,17,5.6962
1971,8,1,5,18,0.7893
1971,8,2,1,23,1.9558
1971,8,2,2,15,3.6461
1971,8,2,3,20,7.0719
1971,8,2,4,17,7.4447
1971,8,2,5,21,6.0519
1971,8,3,1,66,2.4361
1971,8,3,2,70,4.6942
1971,8,3,3,60,5.1213
1971,8,3,4,62,2.7433
1971,8,3,5,59,7.7641
1971,9,1,1,8,-3.1747
1971,9,1,2,12,-6.2669
1971,9,1,3,18,-3.7270
