year,month,rank_ME,rank_OCA,nstocks,ret_vw
1969,6,1,5,169,-12.0321
1969,6,2,1,60,-12.5074
1969,6,2,2,59,-11.2037
1969,6,2,3,56,-10.9801
1969,6,2,4,65,-10.6621
1969,6,2,5,51,-9.3214
1969,6,3,1,103,-8.2651
1969,6,3,2,84,-7.7541
1969,6,3,3,76,-4.8663
1969,6,3,4,72,-0.5993
1969,6,3,5,81,-3.8968
1969,7,1,1,107,-10.9103
1969,7,1,2,139,-11.7917
1969,7,1,3,161,-12.8228
1969,7,1,4,127,-10.4443
1969,7,1,5,185,-11.7778
1969,7,2,1,62,-11.1524
1969,7,2,2,65,-9.6003
1969,7,2,3,63,-8.4372
1969,7,2,4,70,-9.4930
1969,7,2,5,60,-8.3973
1969,7,3,1,105,-6.9615
1969,7,3,2,82,-7.2463
1969,7,3,3,90,-5.4431
1969,7,3,4,81,-4.8210
1969,7,3,5,87,-5.0120
1969,8,1,1,106,3.5117
1969,8,1,2,139,3.6481
1969,8,1,3,161,3.0190
1969,8,1,4,127,5.8999
1969,8,1,5,185,4.9362
1969,8,2,1,62,7.6616
1969,8,2,2,65,7.1079
1969,8,2,3,63,4.3522
1969,8,2,4,70,5.7061
1969,8,2,5,60,7.6679
1969,8,3,1,105,3.0703
1969,8,3,2,82,6.6872
1969,8,3,3,90,4.9713
1969,8,3,4,81,5.7966
1969,8,3,5,87,7.6729
1969,9,1,1,106,-1.9301
1969,9,1,2,139,-4.5949
1969,9,1,3,162,-4.3145
1969,9,1,4,127,-5.0465
1969,9,1,5,185,-1.6295
1969,9,2,1,60,2.4067
1969,9,2,2,65,-3.4241
1969,9,2,3,62,-0.3767
1969,9,2,4,70,0.0615
1969,9,2,5,60,0.3744
1969,9,3,1,105,-4.2299
1969,9,3,2,81,-5.5360
1969,9,3,3,90,-1.5566
1969,9,3,4,81,0.6198
1969,9,3,5,87,0.6202
1969,10,1,1,106,7.4728
1969,10,1,2,138,10.4113
1969,10,1,3,162,12.4829
1969,10,1,4,127,9.7801
1969,10,1,5,185,12.2043
1969,10,2,1,60,8.2642
1969,10,2,2,65,8.4916
1969,10,2,3,62,8.9588
1969,10,2,4,69,9.9728
1969,10,2,5,60,6.5430
1969,10,3,1,105,3.5831
1969,10,3,2,81,2.7097
1969,10,3,3,90,6.6984
1969,10,3,4,81,4.2676
1969,10,3,5,87,7.8258
1969,11,1,1,106,-10.2279
1969,11,1,2,138,-6.2229
1969,11,1,3,162,-7.5855
1969,11,1,4,127,-5.6025
1969,11,1,5,185,-5.9844
1969,11,2,1,59,-6.1168
1969,11,2,2,65,-5.4013
1969,11,2,3,63,-3.8205
1969,11,2,4,69,-4.5736
1969,11,2,5,60,-3.9607
1969,11,3,1,105,-2.6752
1969,11,3,2,82,-4.4109
1969,11,3,3,90,-2.2757
1969,11,3,4,81,-1.4623
1969,11,3,5,87,-1.9907
1969,12,1,1,106,-10.3502
1969,12,1,2,139,-8.1744
1969,12,1,3,162,-8.1227
1969,12,1,4,127,-6.8449
1969,12,1,5,185,-6.4727
1969,12,2,1,59,-7.2949
1969,12,2,2,65,-4.8463
1969,12,2,3,63,-4.4855
1969,12,2,4,69,-3.0027
1969,12,2,5,60,-4.2747
1969,12,3,1,105,-3.7580
1969,12,3,2,82,-1.1155
1969,12,3,3,90,-3.8549
1969,12,3,4,81,-0.3448
1969,12,3,5,87,2.1577
1970,1,1,1,106,-2.6912
1970,1,1,2,139,-5.4523
1970,1,1,3,162,-3.7865
1970,1,1,4,127,-1.7640
1970,1,1,5,185,-2.3885
1970,1,2,1,59,-8.8685
1970,1,2,2,65,-4.3091
