year,month,rank_ME,rank_ETR,nstocks,ret_vw
1970,8,3,5,85,4.5268
1970,9,1,1,140,14.8807
1970,9,1,2,47,15.6127
1970,9,1,3,48,10.1254
1970,9,1,4,60,11.2918
1970,9,1,5,134,14.2093
1970,9,2,1,48,10.0645
1970,9,2,2,41,10.3276
1970,9,2,3,40,7.6304
1970,9,2,4,65,11.0089
1970,9,2,5,60,11.3580
1970,9,3,1,76,2.6409
1970,9,3,2,119,1.6317
1970,9,3,3,122,4.6867
1970,9,3,4,90,3.0867
1970,9,3,5,85,6.0251
1970,10,1,1,140,-6.6536
1970,10,1,2,47,-8.9902
1970,10,1,3,49,-6.8552
1970,10,1,4,60,-8.2282
1970,10,1,5,132,-7.3795
1970,10,2,1,47,-3.1244
1970,10,2,2,41,-5.1731
1970,10,2,3,40,-4.3569
1970,10,2,4,65,-4.7150
1970,10,2,5,60,-6.5505
1970,10,3,1,76,-1.3578
1970,10,3,2,119,-1.3512
1970,10,3,3,122,0.2899
1970,10,3,4,90,-0.9106
1970,10,3,5,85,-3.7211
1970,11,1,1,139,-0.4147
1970,11,1,2,47,-1.5628
1970,11,1,3,49,-0.2061
1970,11,1,4,60,-1.6879
1970,11,1,5,132,0.7785
1970,11,2,1,47,2.3329
1970,11,2,2,41,4.9218
1970,11,2,3,40,6.4310
1970,11,2,4,65,2.8131
1970,11,2,5,59,2.7327
1970,11,3,1,76,4.3178
1970,11,3,2,119,6.0887
1970,11,3,3,122,5.4904
1970,11,3,4,90,5.3641
1970,11,3,5,85,5.7363
1970,12,1,1,139,10.8478
1970,12,1,2,47,12.9354
1970,12,1,3,48,12.7465
1970,12,1,4,60,9.6450
1970,12,1,5,132,11.0081
1970,12,2,1,47,7.6718
1970,12,2,2,41,8.2651
1970,12,2,3,40,7.9234
1970,12,2,4,65,9.4207
1970,12,2,5,59,8.8824
1970,12,3,1,76,5.7421
1970,12,3,2,119,6.1314
1970,12,3,3,121,5.8959
1970,12,3,4,90,4.9964
1970,12,3,5,85,8.4863
1971,1,1,1,138,12.9158
1971,1,1,2,47,14.6208
1971,1,1,3,48,13.7172
1971,1,1,4,60,13.4596
1971,1,1,5,133,14.0862
1971,1,2,1,47,10.3716
1971,1,2,2,41,10.4117
1971,1,2,3,40,10.4426
1971,1,2,4,65,9.4319
1971,1,2,5,58,8.1625
1971,1,3,1,76,4.5545
1971,1,3,2,119,2.6247
1971,1,3,3,121,3.3837
1971,1,3,4,90,6.3788
1971,1,3,5,85,7.3748
1971,2,1,1,135,3.7039
1971,2,1,2,47,4.7651
1971,2,1,3,48,3.9379
1971,2,1,4,60,4.8699
1971,2,1,5,133,5.3889
1971,2,2,1,47,3.0642
1971,2,2,2,40,1.6439
1971,2,2,3,40,3.6513
1971,2,2,4,65,3.2420
1971,2,2,5,58,2.3174
1971,2,3,1,76,2.5773
1971,2,3,2,119,0.9463
1971,2,3,3,120,1.9261
1971,2,3,4,90,0.3375
1971,2,3,5,85,1.6393
1971,3,1,1,135,7.1755
1971,3,1,2,47,7.2740
1971,3,1,3,48,7.5980
1971,3,1,4,60,5.9122
1971,3,1,5,133,4.5675
1971,3,2,1,47,3.6605
1971,3,2,2,40,5.6982
1971,3,2,3,39,6.1814
1971,3,2,4,65,6.5332
1971,3,2,5,58,6.5542
1971,3,3,1,76,2.5046
1971,3,3,2,119,2.7662
1971,3,3,3,120,5.1032
1971,3,3,4,90,3.7892
1971,3,3,5,84,4.6319
1971,4,1,1,135,4.2209
1971,4,1,2,46,3.8891
1971,4,1,3,48,2.5832
1971,4,1,4,60,1.1499
1971,4,1,5,133,1.1968
1971,4,2,1,47,1.9889
1971,4,2,2,40,3.3047
1971,4,2,3,39,5.2728
1971,4,2,4,64,4.0129
1971,4,2,5,57,5.8925
1971,4,3,1,76,3.8296
1971,4,3,2,119,3.0901
1971,4,3,3,120,3.3758
1971,4,3,4,90,3.2038
1971,4,3,5,84,7.1367
1971,5,1,1,134,-5.4747
1971,5,1,2,46,-5.5384
1971,5,1,3,48,-6.1393
1971,5,1,4,59,-4.5023
1971,5,1,5,133,-6.3492
1971,5,2,1,47,-5.1368
1971,5,2,2,39,-4.9620
1971,5,2,3,40,-2.7213
1971,5,2,4,64,-3.9102
1971,5,2,5,57,-3.6588
1971,5,3,1,76,-2.8983
1971,5,3,2,119,-3.8283
1971,5,3,3,120,-3.9249
1971,5,3,4,90,-3.4523
1971,5,3,5,84,-2.7764
1971,6,1,1,133,-0.2853
1971,6,1,2,46,-5.1078
1971,6,1,3,47,-1.4834
1971,6,1,4,59,-1.2316
1971,6,1,5,133,-2.8837
1971,6,2,1,47,-2.2566
1971,6,2,2,39,-1.6649
1971,6,2,3,40,-1.3906
1971,6,2,4,64,1.1454
1971,6,2,5,57,1.9612
1971,6,3,1,76,-1.1442
1971,6,3,2,119,-0.1535
1971,6,3,3,119,0.4302
1971,6,3,4,90,2.5189
1971,6,3,5,84,-0.4404
1971,7,1,1,133,-5.2848
1971,7,1,2,54,-4.3373
1971,7,1,3,43,-5.8012
1971,7,1,4,56,-5.1225
1971,7,1,5,107,-6.0718
1971,7,2,1,64,-3.8294
1971,7,2,2,50,-3.2170
1971,7,2,3,52,-5.5995
1971,7,2,4,54,-2.4853
1971,7,2,5,56,-5.5795
1971,7,3,1,76,-5.4426
1971,7,3,2,110,-4.5912
1971,7,3,3,112,-3.7023
1971,7,3,4,111,-2.3406
1971,7,3,5,88,-5.1502
1971,8,1,1,133,5.6316
1971,8,1,2,54,3.2208
1971,8,1,3,43,7.3281
1971,8,1,4,56,5.1357
1971,8,1,5,107,4.9004
1971,8,2,1,64,6.4776
1971,8,2,2,50,4.0627
1971,8,2,3,52,2.8471
