year,month,rank_ME,rank_HS,nstocks,ret_vw
1970,12,2,4,55,6.3629
1970,12,2,5,60,9.2816
1970,12,3,1,97,4.2782
1970,12,3,2,81,5.8175
1970,12,3,3,77,7.5158
1970,12,3,4,72,5.5545
1970,12,3,5,82,6.7880
1971,1,1,1,86,16.0318
1971,1,1,2,128,13.4799
1971,1,1,3,144,13.9808
1971,1,1,4,181,15.5041
1971,1,1,5,135,15.9977
1971,1,2,1,65,14.4790
1971,1,2,2,54,13.4880
1971,1,2,3,50,8.2883
1971,1,2,4,54,9.5240
1971,1,2,5,60,9.1456
1971,1,3,1,97,2.8454
1971,1,3,2,81,5.8637
1971,1,3,3,77,5.5441
1971,1,3,4,72,3.1635
1971,1,3,5,82,6.7731
1971,2,1,1,86,4.9262
1971,2,1,2,128,4.8303
1971,2,1,3,143,6.0459
1971,2,1,4,179,6.5065
1971,2,1,5,134,6.3460
1971,2,2,1,65,1.5302
1971,2,2,2,54,2.6893
1971,2,2,3,50,2.1708
1971,2,2,4,54,3.0576
1971,2,2,5,60,3.6177
1971,2,3,1,96,3.3393
1971,2,3,2,81,1.8448
1971,2,3,3,77,2.8287
1971,2,3,4,72,1.8780
1971,2,3,5,82,-0.5766
1971,3,1,1,86,6.7720
1971,3,1,2,128,7.3651
1971,3,1,3,143,7.4082
1971,3,1,4,178,5.7487
1971,3,1,5,134,4.5704
1971,3,2,1,65,4.4126
1971,3,2,2,54,8.8073
1971,3,2,3,49,4.7185
1971,3,2,4,54,8.2471
1971,3,2,5,60,7.8265
1971,3,3,1,95,2.2692
1971,3,3,2,81,4.9579
1971,3,3,3,77,4.0294
1971,3,3,4,72,5.6123
1971,3,3,5,82,3.8666
1971,4,1,1,86,-0.4817
1971,4,1,2,127,1.9831
1971,4,1,3,143,3.9053
1971,4,1,4,177,2.7769
1971,4,1,5,134,4.4951
1971,4,2,1,65,5.6557
1971,4,2,2,53,3.9063
1971,4,2,3,49,4.0907
1971,4,2,4,53,3.2683
1971,4,2,5,60,5.1858
1971,4,3,1,95,4.6007
1971,4,3,2,81,5.9769
1971,4,3,3,77,4.7699
1971,4,3,4,72,3.8978
1971,4,3,5,82,3.6517
1971,5,1,1,85,-5.6763
1971,5,1,2,126,-6.8079
1971,5,1,3,141,-7.5144
1971,5,1,4,175,-5.4548
1971,5,1,5,133,-7.0862
1971,5,2,1,65,-6.8264
1971,5,2,2,53,-5.9935
1971,5,2,3,50,-2.6468
1971,5,2,4,52,-6.3167
1971,5,2,5,60,-1.4239
1971,5,3,1,95,-3.7944
1971,5,3,2,81,-1.7588
1971,5,3,3,77,-1.9405
1971,5,3,4,72,-4.8093
1971,5,3,5,82,-2.6484
1971,6,1,1,85,-3.9229
1971,6,1,2,124,-1.1157
1971,6,1,3,140,-2.2065
1971,6,1,4,173,-2.0365
1971,6,1,5,132,-3.5963
1971,6,2,1,65,-0.4255
1971,6,2,2,53,-0.6227
1971,6,2,3,50,0.9881
1971,6,2,4,52,-3.1285
1971,6,2,5,59,-0.2524
1971,6,3,1,95,0.2217
1971,6,3,2,81,-0.5180
1971,6,3,3,77,0.0391
1971,6,3,4,71,-0.2874
1971,6,3,5,82,0.8014
1971,7,1,1,106,-7.8284
1971,7,1,2,111,-6.8213
1971,7,1,3,145,-7.6446
1971,7,1,4,181,-6.9034
1971,7,1,5,143,-6.7412
1971,7,2,1,62,-5.4810
1971,7,2,2,57,-5.6753
1971,7,2,3,62,-5.9133
1971,7,2,4,52,-4.7255
1971,7,2,5,54,-5.9109
1971,7,3,1,102,-3.1195
1971,7,3,2,78,-3.9567
1971,7,3,3,82,-4.5335
1971,7,3,4,76,-6.0597
1971,7,3,5,92,-3.7534
1971,8,1,1,106,5.1385
1971,8,1,2,111,6.2454
1971,8,1,3,144,2.5706
1971,8,1,4,181,4.8900
1971,8,1,5,143,3.4613
1971,8,2,1,62,4.5061
1971,8,2,2,57,5.5720
1971,8,2,3,62,6.1613
1971,8,2,4,52,4.1167
1971,8,2,5,54,4.5029
1971,8,3,1,102,1.4234
1971,8,3,2,77,8.5660
1971,8,3,3,82,5.7862
1971,8,3,4,76,6.1144
1971,8,3,5,91,4.7663
1971,9,1,1,106,-2.1340
1971,9,1,2,111,-2.8987
1971,9,1,3,144,0.4739
1971,9,1,4,181,-1.1937
