year,month,rank_ME,rank_ALMq_6,nstocks,ret_vw
1979,4,1,5,506,2.5084
1979,4,2,1,151,2.7357
1979,4,2,2,170,2.7267
1979,4,2,3,197,2.3790
1979,4,2,4,175,2.0463
1979,4,2,5,140,1.9517
1979,4,3,1,252,0.0713
1979,4,3,2,220,-1.2513
1979,4,3,3,187,2.2821
1979,4,3,4,157,1.3697
1979,4,3,5,73,0.4204
1979,5,1,1,146,-1.2170
1979,5,1,2,209,-0.9586
1979,5,1,3,302,-0.3072
1979,5,1,4,371,-1.0654
1979,5,1,5,519,-1.0431
1979,5,2,1,165,-2.3979
1979,5,2,2,190,-1.0277
1979,5,2,3,211,-1.0052
1979,5,2,4,190,-1.2820
1979,5,2,5,144,-0.2229
1979,5,3,1,260,-1.5074
1979,5,3,2,255,-0.2466
1979,5,3,3,211,-2.5490
1979,5,3,4,168,-2.7093
1979,5,3,5,81,-2.3891
1979,6,1,1,145,9.3213
1979,6,1,2,208,6.5114
1979,6,1,3,303,4.7920
1979,6,1,4,369,5.1006
1979,6,1,5,525,3.8365
1979,6,2,1,172,4.8894
1979,6,2,2,188,3.7325
1979,6,2,3,215,5.4453
1979,6,2,4,196,5.4646
1979,6,2,5,139,4.2521
1979,6,3,1,255,2.0597
1979,6,3,2,250,4.4735
1979,6,3,3,210,5.9960
1979,6,3,4,167,5.5269
1979,6,3,5,84,5.7061
1979,7,1,1,137,1.8619
1979,7,1,2,184,2.4669
1979,7,1,3,276,3.4200
1979,7,1,4,344,1.8566
1979,7,1,5,504,1.9933
1979,7,2,1,170,2.1783
1979,7,2,2,168,3.5392
1979,7,2,3,180,5.0257
1979,7,2,4,175,2.5114
1979,7,2,5,131,3.5797
1979,7,3,1,235,-0.4006
1979,7,3,2,228,1.4567
1979,7,3,3,186,2.2296
1979,7,3,4,153,2.4307
1979,7,3,5,77,2.7563
1979,8,1,1,149,8.1115
1979,8,1,2,210,9.0124
1979,8,1,3,304,7.6391
1979,8,1,4,405,9.5727
1979,8,1,5,547,7.5651
1979,8,2,1,168,9.9385
1979,8,2,2,192,6.9773
1979,8,2,3,218,7.6346
1979,8,2,4,196,8.5371
1979,8,2,5,161,8.2535
1979,8,3,1,259,6.6362
1979,8,3,2,264,5.3453
1979,8,3,3,236,6.6163
1979,8,3,4,191,8.0603
1979,8,3,5,80,6.1230
1979,9,1,1,148,0.7434
1979,9,1,2,211,-1.6174
