year,month,rank_ME,rank_OLq_1,nstocks,ret_vw
1976,11,1,5,323,3.3439
1976,11,2,1,110,4.6635
1976,11,2,2,73,3.9963
1976,11,2,3,73,4.1814
1976,11,2,4,69,5.1399
1976,11,2,5,100,3.6184
1976,11,3,1,134,-1.6812
1976,11,3,2,109,0.1325
1976,11,3,3,102,-0.7457
1976,11,3,4,86,1.1095
1976,11,3,5,74,3.3521
1976,12,1,1,115,12.3205
1976,12,1,2,102,10.4156
1976,12,1,3,146,9.5634
1976,12,1,4,204,11.2805
1976,12,1,5,328,10.8283
1976,12,2,1,113,9.8875
1976,12,2,2,68,8.9109
1976,12,2,3,84,10.0003
1976,12,2,4,73,10.0626
1976,12,2,5,95,9.2313
1976,12,3,1,134,4.8193
1976,12,3,2,117,5.1694
1976,12,3,3,103,7.4631
1976,12,3,4,85,5.9554
1976,12,3,5,78,3.0981
1977,1,1,1,113,8.5395
1977,1,1,2,94,5.8132
1977,1,1,3,150,2.4348
1977,1,1,4,199,2.7932
1977,1,1,5,317,3.9225
1977,1,2,1,110,3.0807
1977,1,2,2,73,2.2200
1977,1,2,3,78,1.4809
1977,1,2,4,70,-1.9153
1977,1,2,5,99,-1.0557
1977,1,3,1,138,-6.1292
1977,1,3,2,115,-3.9372
1977,1,3,3,106,-4.0333
1977,1,3,4,86,-5.0870
1977,1,3,5,76,-6.3798
1977,2,1,1,115,-0.6820
1977,2,1,2,104,-3.2169
1977,2,1,3,147,0.5152
1977,2,1,4,204,-0.5362
1977,2,1,5,297,-1.5745
1977,2,2,1,111,-0.9561
1977,2,2,2,76,-2.6241
1977,2,2,3,74,-0.2749
1977,2,2,4,81,-1.4329
1977,2,2,5,88,0.3718
1977,2,3,1,138,-1.4739
1977,2,3,2,119,-1.3922
1977,2,3,3,97,-1.6913
1977,2,3,4,77,-2.4673
1977,2,3,5,71,-3.3954
1977,3,1,1,116,1.9244
1977,3,1,2,111,0.2731
1977,3,1,3,141,2.4454
1977,3,1,4,211,0.9174
1977,3,1,5,300,0.2634
1977,3,2,1,113,0.5031
1977,3,2,2,72,0.7467
1977,3,2,3,77,0.2650
1977,3,2,4,80,1.4391
1977,3,2,5,88,-1.6370
1977,3,3,1,136,-2.0507
1977,3,3,2,120,-0.9478
1977,3,3,3,93,-0.3097
1977,3,3,4,80,-2.0323
1977,3,3,5,69,-2.2444
1977,4,1,1,115,-0.0822
1977,4,1,2,115,1.7166
1977,4,1,3,141,1.6148
1977,4,1,4,209,1.3468
1977,4,1,5,304,1.6169
1977,4,2,1,115,0.8925
1977,4,2,2,70,2.3220
1977,4,2,3,80,1.0617
1977,4,2,4,76,2.6301
1977,4,2,5,85,0.9720
1977,4,3,1,135,-1.7963
1977,4,3,2,120,0.3504
1977,4,3,3,94,1.4809
1977,4,3,4,87,1.3975
1977,4,3,5,67,-1.1592
1977,5,1,1,111,2.2528
1977,5,1,2,119,-0.9025
1977,5,1,3,167,-0.3096
1977,5,1,4,219,-0.6284
1977,5,1,5,298,-0.7406
1977,5,2,1,115,0.5224
1977,5,2,2,76,-0.6817
1977,5,2,3,74,0.3047
1977,5,2,4,82,-0.6367
1977,5,2,5,91,-0.2643
1977,5,3,1,145,-3.1860
1977,5,3,2,115,-2.4578
1977,5,3,3,103,-0.6126
1977,5,3,4,90,-0.6391
1977,5,3,5,74,-2.0046
1977,6,1,1,111,5.9988
1977,6,1,2,119,5.9508
1977,6,1,3,171,6.8145
1977,6,1,4,227,9.0000
1977,6,1,5,290,7.7089
1977,6,2,1,114,7.3583
1977,6,2,2,80,7.1781
1977,6,2,3,76,6.9793
1977,6,2,4,85,6.5703
1977,6,2,5,84,6.1522
1977,6,3,1,149,5.1973
1977,6,3,2,109,3.6802
1977,6,3,3,105,5.6122
1977,6,3,4,82,5.1750
1977,6,3,5,76,5.3548
1977,7,1,1,117,-1.1948
1977,7,1,2,112,-0.6201
1977,7,1,3,172,-1.0554
1977,7,1,4,220,0.2729
1977,7,1,5,282,1.1016
1977,7,2,1,115,-1.5111
1977,7,2,2,80,-1.9027
1977,7,2,3,71,-1.7795
1977,7,2,4,96,-0.7784
1977,7,2,5,89,-0.0688
1977,7,3,1,149,-2.3168
1977,7,3,2,110,-2.7744
1977,7,3,3,107,-1.7431
1977,7,3,4,79,-2.1873
1977,7,3,5,75,-0.0737
1977,8,1,1,116,-1.0498
1977,8,1,2,122,-2.4462
1977,8,1,3,155,-1.4807
1977,8,1,4,215,-1.9931
1977,8,1,5,278,-1.2856
1977,8,2,1,115,-1.0395
1977,8,2,2,70,0.3426
1977,8,2,3,76,-2.1185
1977,8,2,4,88,-0.6200
1977,8,2,5,92,0.3700
1977,8,3,1,136,-0.3375
