year,month,rank_ME,rank_RER,nstocks,ret_vw
1973,10,3,1,66,3.8067
1973,10,3,2,71,-2.8344
1973,10,3,3,62,-0.8570
1973,10,3,4,61,-1.1578
1973,10,3,5,81,-2.6217
1973,11,1,1,198,-20.8532
1973,11,1,2,128,-21.9104
1973,11,1,3,137,-23.3378
1973,11,1,4,128,-22.0150
1973,11,1,5,231,-19.7226
1973,11,2,1,67,-21.1975
1973,11,2,2,43,-17.5091
1973,11,2,3,61,-20.0865
1973,11,2,4,72,-24.4565
1973,11,2,5,57,-20.7279
1973,11,3,1,66,-10.1515
1973,11,3,2,71,-16.3928
1973,11,3,3,62,-10.9202
1973,11,3,4,61,-12.6514
1973,11,3,5,81,-14.7576
1973,12,1,1,197,-4.4880
1973,12,1,2,128,-6.9346
1973,12,1,3,137,-2.3964
1973,12,1,4,128,-5.6249
1973,12,1,5,229,-2.7807
1973,12,2,1,67,-0.5022
1973,12,2,2,43,-6.6248
1973,12,2,3,61,-0.6357
1973,12,2,4,72,-0.1194
1973,12,2,5,57,-2.8302
1973,12,3,1,67,-2.9783
1973,12,3,2,71,-0.4738
1973,12,3,3,62,-2.0182
1973,12,3,4,61,-1.2204
1973,12,3,5,81,-1.8355
1974,1,1,1,197,15.3090
1974,1,1,2,128,17.7394
1974,1,1,3,138,16.0850
1974,1,1,4,128,16.3417
1974,1,1,5,229,11.6433
1974,1,2,1,67,9.6159
1974,1,2,2,43,10.5684
1974,1,2,3,61,9.4817
1974,1,2,4,73,10.0199
1974,1,2,5,57,8.8483
1974,1,3,1,67,-0.1134
1974,1,3,2,71,0.8573
1974,1,3,3,62,-1.6435
1974,1,3,4,61,0.1846
1974,1,3,5,81,2.8951
1974,2,1,1,197,-0.7954
1974,2,1,2,127,0.0867
1974,2,1,3,138,-0.7094
1974,2,1,4,127,-0.3770
1974,2,1,5,227,-0.7379
1974,2,2,1,67,0.8517
1974,2,2,2,43,3.4172
1974,2,2,3,61,-0.0851
1974,2,2,4,73,2.2254
1974,2,2,5,57,2.9409
1974,2,3,1,67,-0.5635
1974,2,3,2,71,0.0380
1974,2,3,3,62,-0.3015
1974,2,3,4,61,-0.2867
1974,2,3,5,81,0.2971
1974,3,1,1,196,-0.2135
1974,3,1,2,127,1.2889
1974,3,1,3,138,0.3433
1974,3,1,4,127,0.0201
1974,3,1,5,229,0.3787
1974,3,2,1,67,0.0696
1974,3,2,2,43,-0.3971
1974,3,2,3,61,-1.4442
1974,3,2,4,73,-2.4961
1974,3,2,5,57,1.2706
1974,3,3,1,67,-1.2764
1974,3,3,2,71,-1.3587
1974,3,3,3,62,-1.5009
1974,3,3,4,61,-3.2190
1974,3,3,5,81,-1.4786
1974,4,1,1,196,-3.6103
1974,4,1,2,127,-5.6059
1974,4,1,3,137,-3.8802
1974,4,1,4,127,-4.4023
1974,4,1,5,230,-5.6638
1974,4,2,1,67,-4.3253
1974,4,2,2,43,-2.4071
1974,4,2,3,61,-3.5670
1974,4,2,4,73,-2.7117
1974,4,2,5,57,-6.9631
1974,4,3,1,67,-2.3087
1974,4,3,2,71,-2.5543
1974,4,3,3,62,-3.5865
1974,4,3,4,61,-2.0261
1974,4,3,5,81,-2.5055
1974,5,1,1,196,-7.1100
1974,5,1,2,127,-7.9512
1974,5,1,3,137,-6.1353
1974,5,1,4,127,-6.4268
1974,5,1,5,229,-7.6918
1974,5,2,1,67,-6.1906
1974,5,2,2,43,-6.1757
1974,5,2,3,61,-5.6529
1974,5,2,4,73,-6.7890
1974,5,2,5,57,-6.6175
1974,5,3,1,67,-4.2486
1974,5,3,2,71,1.8414
1974,5,3,3,62,-2.3550
1974,5,3,4,61,-0.9438
1974,5,3,5,81,-0.7331
1974,6,1,1,195,-2.8125
1974,6,1,2,126,-1.2166
1974,6,1,3,138,-4.3137
1974,6,1,4,127,-6.0076
1974,6,1,5,230,-2.2698
1974,6,2,1,67,-0.5044
1974,6,2,2,43,-2.1470
1974,6,2,3,61,-2.0762
1974,6,2,4,73,-2.9146
1974,6,2,5,57,0.1341
1974,6,3,1,67,-1.0519
1974,6,3,2,71,-2.1960
1974,6,3,3,62,-3.1329
1974,6,3,4,61,-2.6520
1974,6,3,5,80,-0.2779
1974,7,1,1,271,-5.8749
1974,7,1,2,168,-5.6066
1974,7,1,3,191,-5.2859
1974,7,1,4,179,-4.6256
1974,7,1,5,299,-6.1691
1974,7,2,1,75,-4.6955
1974,7,2,2,55,-4.4737
1974,7,2,3,68,-5.0665
1974,7,2,4,75,-6.4557
1974,7,2,5,70,-3.3031
1974,7,3,1,74,-7.9574
1974,7,3,2,69,-11.6616
1974,7,3,3,74,-12.4893
1974,7,3,4,60,-10.9362
1974,7,3,5,84,-13.3014
1974,8,1,1,271,-6.2336
1974,8,1,2,168,-7.5155
1974,8,1,3,188,-8.1675
1974,8,1,4,178,-8.7020
1974,8,1,5,299,-6.6361
1974,8,2,1,75,-9.4447
1974,8,2,2,55,-7.7550
1974,8,2,3,68,-9.9859
1974,8,2,4,75,-7.5297
1974,8,2,5,70,-10.9659
1974,8,3,1,74,-7.2983
1974,8,3,2,69,-7.9983
1974,8,3,3,74,-12.1963
1974,8,3,4,60,-9.8371
1974,8,3,5,84,-13.6586
1974,9,1,1,271,-11.1550
1974,9,1,2,168,-8.2788
1974,9,1,3,187,-8.9735
1974,9,1,4,177,-6.9554
1974,9,1,5,294,-9.0062
1974,9,2,1,75,-9.3011
