year,month,rank_ME,rank_VFP,nstocks,ret_vw
1980,2,2,3,30,-7.6609
1980,2,2,4,30,-3.3577
1980,2,2,5,48,-4.6079
1980,2,3,1,89,-3.9088
1980,2,3,2,98,-1.6895
1980,2,3,3,96,1.4854
1980,2,3,4,87,3.4806
1980,2,3,5,61,-4.8306
1980,3,1,1,7,-16.9869
1980,3,1,2,6,-19.5753
1980,3,1,3,5,-11.2435
1980,3,1,4,12,-17.9701
1980,3,1,5,37,-17.6441
1980,3,2,1,35,-21.3438
1980,3,2,2,27,-16.1321
1980,3,2,3,30,-12.6811
1980,3,2,4,30,-13.6258
1980,3,2,5,48,-14.3209
1980,3,3,1,89,-8.7492
1980,3,3,2,98,-10.2051
1980,3,3,3,95,-11.0895
1980,3,3,4,87,-10.9672
1980,3,3,5,61,-11.9466
1980,4,1,1,7,9.9071
1980,4,1,2,6,2.5521
1980,4,1,3,5,4.7408
1980,4,1,4,11,7.1002
1980,4,1,5,37,2.1621
1980,4,2,1,35,6.0157
1980,4,2,2,27,2.3961
1980,4,2,3,30,8.6540
1980,4,2,4,30,2.7900
1980,4,2,5,48,4.5703
1980,4,3,1,89,2.2992
1980,4,3,2,98,5.2886
1980,4,3,3,95,6.2936
1980,4,3,4,87,6.1997
1980,4,3,5,61,0.6906
1980,5,1,1,8,9.7506
1980,5,1,2,6,5.4180
1980,5,1,3,5,-1.7988
1980,5,1,4,11,3.8767
1980,5,1,5,37,5.7765
1980,5,2,1,34,6.7517
1980,5,2,2,27,9.4654
1980,5,2,3,29,4.1345
1980,5,2,4,29,9.1126
1980,5,2,5,48,9.2314
1980,5,3,1,89,5.5817
1980,5,3,2,98,6.0854
1980,5,3,3,95,5.3155
1980,5,3,4,87,5.4443
1980,5,3,5,61,4.1128
1980,6,1,1,8,5.6108
1980,6,1,2,6,1.5188
1980,6,1,3,5,4.0861
1980,6,1,4,11,0.8733
1980,6,1,5,37,4.9651
1980,6,2,1,33,4.1872
1980,6,2,2,26,1.5909
1980,6,2,3,29,5.3011
1980,6,2,4,29,3.4451
1980,6,2,5,48,2.4500
1980,6,3,1,88,2.1333
1980,6,3,2,98,3.3706
1980,6,3,3,95,3.3916
1980,6,3,4,87,3.0068
1980,6,3,5,61,1.9809
1980,7,1,1,16,7.4570
1980,7,1,2,11,13.9466
1980,7,1,3,8,15.2637
1980,7,1,4,16,11.7797
1980,7,1,5,37,15.6967
1980,7,2,1,35,14.7485
1980,7,2,2,27,10.4475
1980,7,2,3,40,10.9538
1980,7,2,4,53,10.1558
1980,7,2,5,55,13.4179
1980,7,3,1,104,10.7897
1980,7,3,2,106,9.2019
1980,7,3,3,102,4.2939
1980,7,3,4,84,7.8068
1980,7,3,5,66,6.2016
1980,8,1,1,16,10.1783
1980,8,1,2,11,7.9513
1980,8,1,3,8,10.5010
1980,8,1,4,16,8.6033
1980,8,1,5,37,5.2760
1980,8,2,1,35,4.4548
1980,8,2,2,27,3.8126
1980,8,2,3,40,2.3763
1980,8,2,4,53,7.6036
1980,8,2,5,55,6.1123
1980,8,3,1,104,2.1599
1980,8,3,2,106,-0.3190
1980,8,3,3,102,1.9508
1980,8,3,4,84,1.6285
1980,8,3,5,66,2.8838
1980,9,1,1,16,7.1286
1980,9,1,2,11,5.7420
1980,9,1,3,8,-2.3359
1980,9,1,4,16,1.0543
1980,9,1,5,37,3.3727
1980,9,2,1,35,3.8361
1980,9,2,2,27,2.5190
1980,9,2,3,40,2.9121
1980,9,2,4,53,1.0810
1980,9,2,5,55,1.8438
1980,9,3,1,104,3.1641
1980,9,3,2,106,0.5412
1980,9,3,3,102,1.8230
1980,9,3,4,84,3.7047
1980,9,3,5,66,3.2832
1980,10,1,1,16,0.5976
1980,10,1,2,11,3.0584
1980,10,1,3,8,2.1084
1980,10,1,4,16,3.2773
1980,10,1,5,37,3.8783
1980,10,2,1,35,5.6277
1980,10,2,2,27,2.1754
1980,10,2,3,40,1.2770
1980,10,2,4,53,1.2230
1980,10,2,5,55,2.2251
1980,10,3,1,104,1.3324
1980,10,3,2,106,-0.6056
1980,10,3,3,102,0.2258
1980,10,3,4,83,0.2537
1980,10,3,5,66,4.2952
1980,11,1,1,16,10.2912
