year,month,rank_ME,rank_Dur,nstocks,ret_vw
1970,7,1,5,182,3.0426
1970,7,2,1,61,8.6161
1970,7,2,2,54,7.0966
1970,7,2,3,52,5.9494
1970,7,2,4,60,6.9559
1970,7,2,5,84,10.5755
1970,7,3,1,76,8.0626
1970,7,3,2,103,10.5190
1970,7,3,3,115,8.3056
1970,7,3,4,110,9.3096
1970,7,3,5,122,4.3362
1970,8,1,1,122,5.6930
1970,8,1,2,88,6.3795
1970,8,1,3,103,6.2745
1970,8,1,4,116,7.9134
1970,8,1,5,182,6.1661
1970,8,2,1,61,5.5930
1970,8,2,2,54,6.0533
1970,8,2,3,52,7.7914
1970,8,2,4,60,8.0781
1970,8,2,5,84,7.9328
1970,8,3,1,76,6.8882
1970,8,3,2,103,4.6305
1970,8,3,3,115,6.0559
1970,8,3,4,110,4.1871
1970,8,3,5,122,4.2460
1970,9,1,1,122,11.0304
1970,9,1,2,88,11.5468
1970,9,1,3,103,11.5638
1970,9,1,4,116,15.9214
1970,9,1,5,182,21.4217
1970,9,2,1,61,9.1847
1970,9,2,2,54,6.6369
1970,9,2,3,52,6.9813
1970,9,2,4,60,14.7902
1970,9,2,5,84,15.7152
1970,9,3,1,76,2.6147
1970,9,3,2,103,0.7962
1970,9,3,3,115,0.9648
1970,9,3,4,109,3.0046
1970,9,3,5,122,7.3000
1970,10,1,1,122,-3.8805
1970,10,1,2,89,-6.5736
1970,10,1,3,103,-7.2368
1970,10,1,4,116,-7.8268
1970,10,1,5,182,-11.7534
1970,10,2,1,61,-3.2805
1970,10,2,2,54,-5.0291
1970,10,2,3,52,-3.4971
1970,10,2,4,60,-5.7934
1970,10,2,5,84,-6.0725
1970,10,3,1,76,-2.4887
1970,10,3,2,103,-0.2709
1970,10,3,3,115,-2.6326
1970,10,3,4,109,-1.2307
1970,10,3,5,122,-0.2340
1970,11,1,1,122,0.5084
1970,11,1,2,89,0.0759
1970,11,1,3,103,0.3681
1970,11,1,4,116,-0.9267
1970,11,1,5,181,-5.4276
1970,11,2,1,61,3.7815
1970,11,2,2,54,3.8884
1970,11,2,3,52,4.1808
1970,11,2,4,60,1.3465
1970,11,2,5,84,1.7758
1970,11,3,1,76,5.2805
1970,11,3,2,103,5.7680
1970,11,3,3,115,6.4624
1970,11,3,4,109,5.9919
1970,11,3,5,122,4.8178
1970,12,1,1,122,11.6238
1970,12,1,2,89,13.1445
1970,12,1,3,103,12.7616
1970,12,1,4,116,8.4058
1970,12,1,5,181,6.0589
1970,12,2,1,61,9.7882
1970,12,2,2,54,8.6129
1970,12,2,3,52,8.8961
1970,12,2,4,60,9.3175
1970,12,2,5,84,6.5954
1970,12,3,1,76,7.4091
1970,12,3,2,103,5.9145
1970,12,3,3,115,6.9595
1970,12,3,4,109,7.2756
1970,12,3,5,122,4.6652
1971,1,1,1,122,13.3519
1971,1,1,2,89,13.3551
1971,1,1,3,103,16.2098
1971,1,1,4,116,15.2004
1971,1,1,5,180,16.2599
1971,1,2,1,61,9.6308
1971,1,2,2,54,8.7300
1971,1,2,3,52,10.7737
1971,1,2,4,60,12.2982
1971,1,2,5,84,11.3271
1971,1,3,1,76,5.4536
1971,1,3,2,103,3.0538
1971,1,3,3,115,4.7950
1971,1,3,4,109,5.5880
1971,1,3,5,122,4.1992
1971,2,1,1,122,3.2431
1971,2,1,2,89,4.2250
1971,2,1,3,103,3.3793
1971,2,1,4,116,5.1905
1971,2,1,5,180,6.5268
1971,2,2,1,61,2.0491
1971,2,2,2,54,1.4183
1971,2,2,3,52,3.4914
1971,2,2,4,60,2.3710
1971,2,2,5,84,2.7540
1971,2,3,1,76,2.6549
1971,2,3,2,103,0.4262
1971,2,3,3,115,0.6707
1971,2,3,4,109,0.5657
1971,2,3,5,122,2.3861
1971,3,1,1,122,4.5555
1971,3,1,2,89,5.2041
1971,3,1,3,103,10.4315
1971,3,1,4,116,5.5209
1971,3,1,5,180,7.3267
1971,3,2,1,61,3.1358
1971,3,2,2,54,5.1205
1971,3,2,3,52,3.8085
1971,3,2,4,60,6.4338
1971,3,2,5,83,11.1232
1971,3,3,1,76,2.6888
1971,3,3,2,103,1.8051
1971,3,3,3,115,3.6436
1971,3,3,4,109,4.3802
1971,3,3,5,122,5.9611
1971,4,1,1,122,2.3424
1971,4,1,2,89,3.1649
1971,4,1,3,103,4.2499
1971,4,1,4,116,1.4773
1971,4,1,5,180,1.0537
1971,4,2,1,61,4.0700
1971,4,2,2,54,2.6240
1971,4,2,3,52,4.9026
1971,4,2,4,60,3.0509
1971,4,2,5,83,4.7078
1971,4,3,1,76,6.4351
1971,4,3,2,103,1.6403
1971,4,3,3,115,4.3193
1971,4,3,4,109,4.3712
1971,4,3,5,122,3.5363
1971,5,1,1,122,-6.7707
1971,5,1,2,89,-5.2603
1971,5,1,3,103,-4.6621
1971,5,1,4,116,-6.5560
1971,5,1,5,180,-7.3338
1971,5,2,1,61,-5.2677
1971,5,2,2,54,-5.3285
1971,5,2,3,52,-4.8829
1971,5,2,4,60,-4.3667
1971,5,2,5,84,-3.3445
1971,5,3,1,76,-4.2913
1971,5,3,2,103,-4.8652
1971,5,3,3,115,-3.9434
1971,5,3,4,109,-2.3666
1971,5,3,5,122,-2.7617
1971,6,1,1,122,-1.3129
1971,6,1,2,89,-0.6116
1971,6,1,3,103,-2.5371
1971,6,1,4,116,-2.9492
1971,6,1,5,178,-2.8368
1971,6,2,1,61,-2.3269
1971,6,2,2,54,-0.5221
1971,6,2,3,52,-1.3631
1971,6,2,4,60,0.3590
1971,6,2,5,83,-0.8346
1971,6,3,1,76,-0.5608
1971,6,3,2,103,1.0679
1971,6,3,3,115,-1.3778
1971,6,3,4,109,1.4884
1971,6,3,5,122,1.1055
1971,7,1,1,212,-4.7203
1971,7,1,2,156,-7.0382
1971,7,1,3,103,-6.5140
1971,7,1,4,108,-7.4244
1971,7,1,5,137,-8.5740
1971,7,2,1,77,-4.9147
1971,7,2,2,75,-3.2358
1971,7,2,3,70,-4.1319
1971,7,2,4,64,-3.6297
1971,7,2,5,64,-6.0845
1971,7,3,1,56,-7.8934
1971,7,3,2,84,-3.7498
1971,7,3,3,116,-2.5414
1971,7,3,4,143,-4.0030
1971,7,3,5,164,-4.4997
1971,8,1,1,212,7.3887
1971,8,1,2,156,4.6224
1971,8,1,3,103,2.1591
1971,8,1,4,108,4.5687
1971,8,1,5,137,0.8064
1971,8,2,1,77,7.3369
1971,8,2,2,75,4.0071
1971,8,2,3,70,4.2550
1971,8,2,4,64,4.1519
1971,8,2,5,64,1.5637
1971,8,3,1,56,8.6997
1971,8,3,2,84,2.7485
1971,8,3,3,116,-1.0626
1971,8,3,4,143,4.5509
1971,8,3,5,163,5.9401
1971,9,1,1,212,-1.2887
1971,9,1,2,156,0.5961
1971,9,1,3,103,0.5186
1971,9,1,4,108,-0.1967
