year,month,rank_ME,rank_CP,nstocks,ret_vw
1970,12,2,2,73,8.1725
1970,12,2,3,69,8.8625
1970,12,2,4,67,8.6071
1970,12,2,5,70,8.1865
1970,12,3,1,145,4.4071
1970,12,3,2,114,7.6090
1970,12,3,3,112,6.9167
1970,12,3,4,112,5.9492
1970,12,3,5,86,7.1415
1971,1,1,1,216,16.1950
1971,1,1,2,165,14.7218
1971,1,1,3,132,13.1510
1971,1,1,4,123,15.5044
1971,1,1,5,150,13.9611
1971,1,2,1,105,8.3806
1971,1,2,2,73,12.2909
1971,1,2,3,69,9.9446
1971,1,2,4,66,10.8792
1971,1,2,5,70,11.6418
1971,1,3,1,145,4.3584
1971,1,3,2,114,4.7443
1971,1,3,3,112,4.5018
1971,1,3,4,112,3.3461
1971,1,3,5,86,6.4737
1971,2,1,1,216,7.1848
1971,2,1,2,164,5.1866
1971,2,1,3,129,6.0973
1971,2,1,4,123,2.6129
1971,2,1,5,150,5.2541
1971,2,2,1,105,2.9991
1971,2,2,2,73,3.1093
1971,2,2,3,69,3.7565
1971,2,2,4,66,0.6810
1971,2,2,5,69,2.0940
1971,2,3,1,144,2.1137
1971,2,3,2,114,2.8612
1971,2,3,3,112,1.2085
1971,2,3,4,112,-0.2342
1971,2,3,5,86,2.2911
1971,3,1,1,215,6.4965
1971,3,1,2,164,6.8924
1971,3,1,3,129,4.9423
1971,3,1,4,123,6.0147
1971,3,1,5,150,6.3809
1971,3,2,1,104,9.3826
1971,3,2,2,73,8.8930
1971,3,2,3,69,4.1105
1971,3,2,4,66,6.5257
1971,3,2,5,69,2.3641
1971,3,3,1,143,6.3466
1971,3,3,2,114,4.0426
1971,3,3,3,112,3.1420
1971,3,3,4,111,1.9862
1971,3,3,5,86,3.0668
1971,4,1,1,215,2.0169
1971,4,1,2,163,2.6836
1971,4,1,3,129,2.3427
1971,4,1,4,123,1.1158
1971,4,1,5,150,3.6700
1971,4,2,1,104,5.0855
1971,4,2,2,72,2.5991
1971,4,2,3,69,4.3127
1971,4,2,4,66,2.2232
1971,4,2,5,68,4.7218
1971,4,3,1,143,3.3590
1971,4,3,2,114,4.2669
1971,4,3,3,112,3.6602
1971,4,3,4,111,2.7609
1971,4,3,5,86,5.6272
1971,5,1,1,215,-7.1293
1971,5,1,2,163,-5.3310
1971,5,1,3,128,-5.8330
1971,5,1,4,121,-4.6357
1971,5,1,5,149,-6.7303
1971,5,2,1,104,-2.0580
1971,5,2,2,72,-5.6877
1971,5,2,3,69,-4.1301
1971,5,2,4,66,-4.6794
1971,5,2,5,68,-5.2351
1971,5,3,1,143,-2.5401
1971,5,3,2,114,-3.3108
1971,5,3,3,112,-4.1366
1971,5,3,4,111,-4.1853
1971,5,3,5,86,-4.3301
1971,6,1,1,210,-3.7476
1971,6,1,2,163,-1.3936
1971,6,1,3,128,-0.1326
1971,6,1,4,121,-3.5238
1971,6,1,5,149,-1.1518
1971,6,2,1,103,1.3598
1971,6,2,2,72,-0.6787
1971,6,2,3,69,-0.5952
1971,6,2,4,66,-0.5863
1971,6,2,5,68,-1.8919
1971,6,3,1,142,1.1251
1971,6,3,2,114,1.3013
1971,6,3,3,112,0.0843
1971,6,3,4,111,-0.3581
1971,6,3,5,86,-0.5780
1971,7,1,1,171,-8.1152
1971,7,1,2,130,-7.2118
1971,7,1,3,148,-7.2659
1971,7,1,4,124,-5.2530
1971,7,1,5,211,-5.7068
1971,7,2,1,86,-6.5008
1971,7,2,2,67,-4.2582
1971,7,2,3,78,-4.2845
1971,7,2,4,74,-5.0347
1971,7,2,5,90,-4.2188
1971,7,3,1,161,-4.5896
1971,7,3,2,138,-3.1681
1971,7,3,3,102,-3.4201
1971,7,3,4,105,-3.5601
1971,7,3,5,75,-5.8864
1971,8,1,1,171,2.2320
1971,8,1,2,130,3.0630
1971,8,1,3,148,5.1885
1971,8,1,4,124,5.1307
1971,8,1,5,211,5.6574
1971,8,2,1,86,3.5956
1971,8,2,2,67,5.4791
1971,8,2,3,78,5.1999
1971,8,2,4,74,3.8196
1971,8,2,5,90,4.8480
1971,8,3,1,161,5.3797
1971,8,3,2,137,5.5356
1971,8,3,3,101,1.7041
1971,8,3,4,105,0.5851
1971,8,3,5,75,6.9699
1971,9,1,1,171,-0.4482
1971,9,1,2,130,0.2243
