year,month,rank_ME,rank_DP,nstocks,ret_vw
1970,3,2,5,48,2.0528
1970,3,3,1,121,-2.5827
1970,3,3,2,110,-1.6577
1970,3,3,3,94,0.8359
1970,3,3,4,100,1.4700
1970,3,3,5,114,3.7599
1970,4,1,1,106,-21.9785
1970,4,1,2,106,-16.6515
1970,4,1,3,90,-13.8908
1970,4,1,4,79,-11.0291
1970,4,1,5,74,-6.2132
1970,4,2,1,72,-18.0575
1970,4,2,2,66,-16.4356
1970,4,2,3,66,-12.4937
1970,4,2,4,56,-9.6063
1970,4,2,5,48,-7.6234
1970,4,3,1,121,-11.1293
1970,4,3,2,110,-10.9105
1970,4,3,3,94,-8.6952
1970,4,3,4,100,-7.6900
1970,4,3,5,112,-6.7183
1970,5,1,1,105,-12.1364
1970,5,1,2,105,-9.4900
1970,5,1,3,90,-8.3987
1970,5,1,4,79,-8.1662
1970,5,1,5,74,-7.4548
1970,5,2,1,72,-11.7835
1970,5,2,2,66,-12.0321
1970,5,2,3,66,-8.4886
1970,5,2,4,56,-9.0651
1970,5,2,5,48,-5.6098
1970,5,3,1,121,-8.6555
1970,5,3,2,110,-7.5710
1970,5,3,3,94,-6.0766
1970,5,3,4,100,-2.7187
1970,5,3,5,112,-2.6767
1970,6,1,1,104,-8.9785
1970,6,1,2,105,-6.1856
1970,6,1,3,89,-7.3319
1970,6,1,4,79,-6.9018
1970,6,1,5,74,-4.1256
1970,6,2,1,72,-6.6353
1970,6,2,2,65,-7.0192
1970,6,2,3,66,-5.6113
1970,6,2,4,56,-6.2135
1970,6,2,5,47,-4.2367
1970,6,3,1,121,-7.6913
1970,6,3,2,110,-3.7867
1970,6,3,3,94,-0.1201
1970,6,3,4,100,-5.7749
1970,6,3,5,112,-4.5963
1970,7,1,1,84,3.6710
1970,7,1,2,98,8.1074
1970,7,1,3,100,5.0763
1970,7,1,4,81,5.5971
1970,7,1,5,95,5.1275
1970,7,2,1,76,9.0341
1970,7,2,2,74,9.8951
1970,7,2,3,68,10.9862
1970,7,2,4,57,7.5982
1970,7,2,5,60,6.2641
1970,7,3,1,144,3.6073
1970,7,3,2,109,8.8090
1970,7,3,3,98,8.5132
1970,7,3,4,102,11.2232
1970,7,3,5,97,7.5169
1970,8,1,1,84,5.5707
1970,8,1,2,98,5.7474
1970,8,1,3,100,5.5346
1970,8,1,4,81,6.3557
1970,8,1,5,95,5.3785
1970,8,2,1,75,5.3308
1970,8,2,2,74,7.1963
1970,8,2,3,68,4.7239
1970,8,2,4,57,7.2599
1970,8,2,5,60,8.1704
1970,8,3,1,143,4.3873
1970,8,3,2,109,3.1865
1970,8,3,3,98,5.1455
1970,8,3,4,102,5.8690
1970,8,3,5,97,6.2107
1970,9,1,1,84,15.4274
1970,9,1,2,98,12.6562
1970,9,1,3,100,13.6514
1970,9,1,4,81,10.2386
1970,9,1,5,95,6.5067
1970,9,2,1,74,11.0780
1970,9,2,2,74,12.1269
1970,9,2,3,68,8.0512
1970,9,2,4,57,8.0678
1970,9,2,5,60,7.9284
1970,9,3,1,143,7.4395
1970,9,3,2,108,2.8814
1970,9,3,3,98,2.1413
1970,9,3,4,102,0.1318
1970,9,3,5,97,1.6876
1970,10,1,1,84,-6.9696
1970,10,1,2,98,-5.4288
1970,10,1,3,100,-5.6174
1970,10,1,4,81,-6.7050
1970,10,1,5,95,-3.9925
1970,10,2,1,74,-5.4774
1970,10,2,2,74,-2.5613
1970,10,2,3,68,-4.8637
1970,10,2,4,57,-5.3811
1970,10,2,5,60,-4.0702
1970,10,3,1,143,-0.2228
1970,10,3,2,108,-0.7751
1970,10,3,3,98,-1.5537
1970,10,3,4,102,-0.5834
1970,10,3,5,97,-3.3967
1970,11,1,1,84,-0.7293
1970,11,1,2,98,-1.4904
1970,11,1,3,100,-1.3032
1970,11,1,4,80,0.0880
1970,11,1,5,95,2.5961
1970,11,2,1,74,2.4199
1970,11,2,2,74,3.8820
1970,11,2,3,68,4.2809
1970,11,2,4,57,4.9886
1970,11,2,5,60,3.3869
1970,11,3,1,143,4.7939
1970,11,3,2,108,4.4284
1970,11,3,3,98,5.4010
1970,11,3,4,102,6.3429
1970,11,3,5,97,7.4516
1970,12,1,1,84,9.9969
1970,12,1,2,97,11.6943
1970,12,1,3,100,13.5156
1970,12,1,4,80,11.9954
1970,12,1,5,95,11.9479
1970,12,2,1,74,10.7593
1970,12,2,2,74,8.2748
1970,12,2,3,68,8.1429
1970,12,2,4,57,10.5128
1970,12,2,5,60,8.5319
1970,12,3,1,143,4.7393
1970,12,3,2,108,7.0499
1970,12,3,3,98,6.3529
1970,12,3,4,101,6.1068
1970,12,3,5,97,7.0495
1971,1,1,1,83,14.8675
1971,1,1,2,97,14.2253
1971,1,1,3,100,13.4991
1971,1,1,4,79,12.4467
1971,1,1,5,95,11.4702
1971,1,2,1,73,5.8418
1971,1,2,2,74,11.1398
1971,1,2,3,68,12.9542
1971,1,2,4,57,7.2228
1971,1,2,5,59,10.8305
1971,1,3,1,143,4.3475
1971,1,3,2,108,5.1771
1971,1,3,3,98,4.4077
1971,1,3,4,101,3.2119
1971,1,3,5,97,5.3932
1971,2,1,1,83,8.0655
