year,month,rank_ME,rank_IR,nstocks,ret_vw
1970,4,1,4,63,-15.4163
1970,4,1,5,83,-20.8794
1970,4,2,1,37,-9.4868
1970,4,2,2,26,-10.4562
1970,4,2,3,31,-11.3846
1970,4,2,4,45,-11.7745
1970,4,2,5,39,-16.7098
1970,4,3,1,96,-7.5095
1970,4,3,2,97,-7.4511
1970,4,3,3,86,-8.7281
1970,4,3,4,83,-12.6245
1970,4,3,5,85,-10.9122
1970,5,1,1,30,-8.6675
1970,5,1,2,40,-9.2007
1970,5,1,3,45,-8.5214
1970,5,1,4,63,-10.4195
1970,5,1,5,83,-9.2492
1970,5,2,1,37,-5.1416
1970,5,2,2,26,-9.0202
1970,5,2,3,31,-9.7424
1970,5,2,4,45,-11.6549
1970,5,2,5,39,-11.1738
1970,5,3,1,96,-3.2703
1970,5,3,2,97,-3.2241
1970,5,3,3,86,-5.7720
1970,5,3,4,83,-7.6062
1970,5,3,5,85,-8.4724
1970,6,1,1,30,-4.1001
1970,6,1,2,40,-4.4442
1970,6,1,3,45,-6.6300
1970,6,1,4,63,-6.9457
1970,6,1,5,83,-11.0654
1970,6,2,1,37,-4.7026
1970,6,2,2,26,-6.4911
1970,6,2,3,31,-6.0172
1970,6,2,4,45,-6.0713
1970,6,2,5,39,-6.4669
1970,6,3,1,96,-6.0804
1970,6,3,2,97,-3.3034
1970,6,3,3,86,-2.8270
1970,6,3,4,83,-5.1957
1970,6,3,5,85,-6.4498
1970,7,1,1,57,2.8456
1970,7,1,2,55,5.1708
1970,7,1,3,64,7.6098
1970,7,1,4,71,3.5206
1970,7,1,5,56,8.3570
1970,7,2,1,33,4.0137
1970,7,2,2,29,9.2054
1970,7,2,3,45,10.3674
1970,7,2,4,46,7.9789
1970,7,2,5,40,8.3356
1970,7,3,1,95,9.6855
1970,7,3,2,96,10.0730
1970,7,3,3,84,10.4391
1970,7,3,4,85,6.9659
1970,7,3,5,111,3.1662
1970,8,1,1,57,7.3340
1970,8,1,2,55,6.6182
