year,month,rank_ME,rank_EPq_12,nstocks,ret_vw
1970,12,3,4,335,6.3888
1970,12,3,5,247,7.8948
1971,1,1,1,425,16.0424
1971,1,1,2,438,14.0670
1971,1,1,3,409,13.1343
1971,1,1,4,454,13.0586
1971,1,1,5,512,14.6435
1971,1,2,1,239,8.7515
1971,1,2,2,276,9.3076
1971,1,2,3,264,8.5186
1971,1,2,4,256,9.9449
1971,1,2,5,235,10.5165
1971,1,3,1,299,4.3200
1971,1,3,2,358,4.6206
1971,1,3,3,366,4.7338
1971,1,3,4,322,3.0932
1971,1,3,5,240,5.7264
1971,2,1,1,462,5.3765
1971,2,1,2,446,4.7685
1971,2,1,3,420,5.7501
1971,2,1,4,456,5.7591
1971,2,1,5,526,6.3573
1971,2,2,1,243,4.2029
1971,2,2,2,282,2.8219
1971,2,2,3,280,2.4174
1971,2,2,4,257,2.4298
1971,2,2,5,243,3.1586
1971,2,3,1,303,2.0585
1971,2,3,2,374,1.6715
1971,2,3,3,385,0.4189
1971,2,3,4,336,1.4604
1971,2,3,5,248,1.9330
1971,3,1,1,466,6.8326
1971,3,1,2,453,6.1046
1971,3,1,3,420,5.6836
1971,3,1,4,457,5.7553
1971,3,1,5,532,6.3599
1971,3,2,1,242,8.4072
1971,3,2,2,283,7.1906
1971,3,2,3,283,4.5851
1971,3,2,4,255,5.4516
1971,3,2,5,243,4.5330
1971,3,3,1,300,5.8776
1971,3,3,2,372,3.2475
1971,3,3,3,384,2.7824
1971,3,3,4,335,2.8288
1971,3,3,5,255,4.4583
1971,4,1,1,444,2.2797
1971,4,1,2,427,2.1988
1971,4,1,3,407,2.0858
1971,4,1,4,443,2.2250
1971,4,1,5,524,1.5417
1971,4,2,1,235,4.4556
1971,4,2,2,272,4.0977
1971,4,2,3,273,3.1707
1971,4,2,4,248,2.7646
1971,4,2,5,241,2.3231
1971,4,3,1,287,3.3939
1971,4,3,2,359,3.9637
1971,4,3,3,367,3.0855
1971,4,3,4,328,3.7976
1971,4,3,5,250,3.4785
1971,5,1,1,469,-6.1602
1971,5,1,2,435,-5.9027
1971,5,1,3,423,-5.9246
1971,5,1,4,450,-5.7916
1971,5,1,5,521,-5.9036
1971,5,2,1,251,-3.6567
1971,5,2,2,285,-3.4264
1971,5,2,3,291,-4.0110
1971,5,2,4,262,-4.6667
1971,5,2,5,252,-4.5405
1971,5,3,1,300,-2.7589
1971,5,3,2,380,-2.5106
1971,5,3,3,386,-3.6125
1971,5,3,4,342,-4.6817
1971,5,3,5,257,-4.3754
1971,6,1,1,459,-2.9445
1971,6,1,2,438,-2.3514
1971,6,1,3,417,-1.9963
1971,6,1,4,440,-1.9599
1971,6,1,5,519,-2.1229
1971,6,2,1,247,0.2866
1971,6,2,2,280,0.6538
1971,6,2,3,297,-0.2463
1971,6,2,4,262,-0.6818
1971,6,2,5,248,-1.4561
1971,6,3,1,305,0.9426
1971,6,3,2,375,0.6149
1971,6,3,3,384,0.3830
1971,6,3,4,342,0.7948
1971,6,3,5,258,-0.0756
1971,7,1,1,433,-6.8091
1971,7,1,2,416,-7.1053
1971,7,1,3,408,-6.1377
1971,7,1,4,415,-5.2913
1971,7,1,5,485,-5.1680
1971,7,2,1,235,-5.4874
1971,7,2,2,269,-5.6039
1971,7,2,3,278,-4.3173
1971,7,2,4,252,-4.4481
1971,7,2,5,240,-4.4420
1971,7,3,1,281,-5.0250
1971,7,3,2,356,-3.0461
1971,7,3,3,373,-3.7879
1971,7,3,4,325,-3.8108
1971,7,3,5,250,-3.9238
1971,8,1,1,468,2.5117
