year,month,rank_ME,rank_EBP,nstocks,ret_vw
1970,8,1,2,157,5.3840
1970,8,1,3,124,7.8608
1970,8,1,4,162,7.2297
1970,8,1,5,174,5.8158
1970,8,2,1,81,6.9845
1970,8,2,2,77,7.2719
1970,8,2,3,61,7.2723
1970,8,2,4,60,9.0949
1970,8,2,5,55,6.7724
1970,8,3,1,143,3.9346
1970,8,3,2,103,6.1163
1970,8,3,3,87,5.8805
1970,8,3,4,78,4.3580
1970,8,3,5,63,6.5578
1970,9,1,1,113,21.1409
1970,9,1,2,156,17.1781
1970,9,1,3,124,14.7696
1970,9,1,4,162,13.7801
1970,9,1,5,174,11.0157
1970,9,2,1,81,14.3977
1970,9,2,2,77,14.0913
1970,9,2,3,61,12.3609
1970,9,2,4,60,10.7324
1970,9,2,5,55,9.2781
1970,9,3,1,143,7.4357
1970,9,3,2,103,2.7932
1970,9,3,3,86,1.8284
1970,9,3,4,78,0.6735
1970,9,3,5,63,4.4428
1970,10,1,1,113,-10.6959
1970,10,1,2,156,-8.6594
1970,10,1,3,124,-7.6850
1970,10,1,4,163,-8.8997
1970,10,1,5,174,-4.7941
1970,10,2,1,81,-4.4021
1970,10,2,2,77,-5.0844
1970,10,2,3,61,-7.3030
1970,10,2,4,60,-5.9168
1970,10,2,5,55,-3.0646
1970,10,3,1,143,-0.1676
1970,10,3,2,103,-2.2678
1970,10,3,3,86,0.3278
1970,10,3,4,78,-1.9556
1970,10,3,5,63,-4.3258
1970,11,1,1,113,-3.8299
1970,11,1,2,156,-3.1293
1970,11,1,3,124,-1.9391
1970,11,1,4,162,-1.2398
1970,11,1,5,174,0.3069
1970,11,2,1,81,1.5942
1970,11,2,2,77,1.2825
1970,11,2,3,61,2.3334
1970,11,2,4,60,5.2195
1970,11,2,5,55,2.1019
1970,11,3,1,143,5.1189
1970,11,3,2,103,5.4586
1970,11,3,3,86,4.0745
1970,11,3,4,78,6.0474
1970,11,3,5,63,4.3603
1970,12,1,1,113,7.2247
1970,12,1,2,156,8.6201
1970,12,1,3,124,9.8467
1970,12,1,4,162,12.5683
1970,12,1,5,174,10.9024
1970,12,2,1,81,6.8337
1970,12,2,2,77,9.7094
1970,12,2,3,61,8.0629
1970,12,2,4,60,8.9706
