year,month,rank_ME,rank_Rev_12,nstocks,ret_vw
1970,12,1,4,334,10.4143
1970,12,1,5,369,7.3090
1970,12,2,1,96,7.4728
1970,12,2,2,139,8.7364
1970,12,2,3,186,9.0174
1970,12,2,4,207,7.9498
1970,12,2,5,194,7.2215
1970,12,3,1,214,6.8141
1970,12,3,2,278,5.4151
1970,12,3,3,272,6.6823
1970,12,3,4,226,5.1929
1970,12,3,5,170,4.6039
1971,1,1,1,191,16.8221
1971,1,1,2,258,14.1679
1971,1,1,3,321,13.6127
1971,1,1,4,346,13.6702
1971,1,1,5,361,15.7652
1971,1,2,1,99,10.4507
1971,1,2,2,148,9.7531
1971,1,2,3,189,9.5404
1971,1,2,4,199,10.8050
1971,1,2,5,193,10.3409
1971,1,3,1,210,5.2771
1971,1,3,2,288,3.4185
1971,1,3,3,276,3.9099
1971,1,3,4,234,4.1988
1971,1,3,5,171,6.3544
1971,2,1,1,199,6.5556
1971,2,1,2,274,3.5571
1971,2,1,3,333,3.9364
1971,2,1,4,349,4.2037
1971,2,1,5,347,6.5969
1971,2,2,1,112,0.3147
1971,2,2,2,155,1.4419
1971,2,2,3,196,2.4839
1971,2,2,4,200,2.7921
1971,2,2,5,194,3.1275
1971,2,3,1,212,-0.3520
1971,2,3,2,302,2.4408
1971,2,3,3,286,1.8966
1971,2,3,4,248,1.7101
1971,2,3,5,179,2.6858
1971,3,1,1,223,5.0761
1971,3,1,2,288,5.7318
1971,3,1,3,341,5.7489
1971,3,1,4,354,6.1264
1971,3,1,5,340,4.3301
1971,3,2,1,117,1.4779
1971,3,2,2,164,4.4454
1971,3,2,3,198,5.7473
1971,3,2,4,194,6.5139
1971,3,2,5,188,7.1405
1971,3,3,1,211,2.2935
1971,3,3,2,301,3.4198
1971,3,3,3,304,2.8717
1971,3,3,4,250,5.0885
1971,3,3,5,183,6.2651
1971,4,1,1,232,1.9784
1971,4,1,2,294,1.7789
1971,4,1,3,346,2.5665
1971,4,1,4,358,1.9805
1971,4,1,5,341,0.7427
1971,4,2,1,118,4.2052
1971,4,2,2,162,2.6039
1971,4,2,3,198,4.2029
1971,4,2,4,191,3.7948
1971,4,2,5,178,3.8215
1971,4,3,1,211,4.4263
1971,4,3,2,302,2.8946
1971,4,3,3,314,4.6382
1971,4,3,4,257,3.6879
1971,4,3,5,182,3.9971
1971,5,1,1,247,-6.9462
1971,5,1,2,318,-6.4347
1971,5,1,3,361,-5.2348
1971,5,1,4,375,-6.8076
1971,5,1,5,342,-7.5370
1971,5,2,1,123,-4.6888
1971,5,2,2,171,-3.9098
1971,5,2,3,210,-4.2902
1971,5,2,4,199,-4.2008
1971,5,2,5,179,-3.7946
1971,5,3,1,210,-3.5113
1971,5,3,2,310,-3.8036
1971,5,3,3,327,-3.6475
1971,5,3,4,269,-2.6636
1971,5,3,5,191,-3.5691
1971,6,1,1,252,-3.6967
1971,6,1,2,336,-1.8364
1971,6,1,3,358,-1.4659
1971,6,1,4,378,-2.9885
1971,6,1,5,325,-2.8706
1971,6,2,1,127,-2.1517
1971,6,2,2,175,0.5015
1971,6,2,3,210,-0.8394
1971,6,2,4,202,-1.5773
1971,6,2,5,171,-0.0130
1971,6,3,1,208,-0.2724
1971,6,3,2,313,0.0153
1971,6,3,3,326,0.6855
1971,6,3,4,280,0.8078
1971,6,3,5,197,0.7332
1971,7,1,1,264,-7.9572
1971,7,1,2,337,-5.0255
1971,7,1,3,356,-4.1629
1971,7,1,4,373,-4.2794
1971,7,1,5,309,-6.4699
1971,7,2,1,124,-6.3479
1971,7,2,2,185,-4.1280
1971,7,2,3,213,-3.7334
1971,7,2,4,202,-3.0614
1971,7,2,5,172,-5.1848
1971,7,3,1,207,-5.9529
1971,7,3,2,307,-3.0792
1971,7,3,3,321,-3.0076
1971,7,3,4,288,-3.1927
1971,7,3,5,203,-5.7218
1971,8,1,1,273,8.3979
1971,8,1,2,342,4.2129
1971,8,1,3,352,2.9974
1971,8,1,4,368,2.7329
1971,8,1,5,304,2.9271
1971,8,2,1,128,7.9154
1971,8,2,2,187,4.9574
1971,8,2,3,210,4.1982
1971,8,2,4,201,4.2728
1971,8,2,5,172,5.7326
1971,8,3,1,204,6.9248
1971,8,3,2,305,2.5287
1971,8,3,3,329,2.6460
1971,8,3,4,299,4.5540
1971,8,3,5,209,4.7315
1971,9,1,1,281,-2.5980
1971,9,1,2,354,-1.1818
1971,9,1,3,344,-0.3171
