year,month,rank_ME,rank_EMq_1,nstocks,ret_vw
1979,4,2,2,62,3.8714
1979,4,2,3,47,6.2796
1979,4,2,4,72,1.2958
1979,4,2,5,63,0.5958
1979,4,3,1,72,3.2414
1979,4,3,2,71,1.4975
1979,4,3,3,99,-0.0312
1979,4,3,4,86,-0.8168
1979,4,3,5,88,-2.2282
1979,5,1,1,169,-0.4223
1979,5,1,2,105,-0.2622
1979,5,1,3,89,-0.8998
1979,5,1,4,94,-3.5094
1979,5,1,5,105,-1.3635
1979,5,2,1,60,-2.2987
1979,5,2,2,61,0.3852
1979,5,2,3,59,-2.3600
1979,5,2,4,82,-2.5900
1979,5,2,5,70,0.0217
1979,5,3,1,86,-3.1211
1979,5,3,2,84,-1.7042
1979,5,3,3,113,-2.2346
1979,5,3,4,98,-0.1841
1979,5,3,5,91,0.6125
1979,6,1,1,171,3.8401
1979,6,1,2,89,2.5020
1979,6,1,3,100,5.5677
1979,6,1,4,96,4.9751
1979,6,1,5,110,10.8646
1979,6,2,1,61,4.2868
1979,6,2,2,61,6.4089
1979,6,2,3,62,1.6122
1979,6,2,4,78,5.1427
1979,6,2,5,69,6.8545
1979,6,3,1,83,6.3416
1979,6,3,2,87,3.1618
1979,6,3,3,113,5.7166
1979,6,3,4,99,3.6072
1979,6,3,5,94,4.7522
1979,7,1,1,162,3.1870
1979,7,1,2,103,2.9466
1979,7,1,3,93,2.3881
1979,7,1,4,97,2.5037
1979,7,1,5,105,0.7080
1979,7,2,1,67,3.3813
1979,7,2,2,52,3.1376
1979,7,2,3,58,5.6718
1979,7,2,4,69,5.4062
1979,7,2,5,80,0.6073
1979,7,3,1,81,2.3930
1979,7,3,2,90,2.4671
1979,7,3,3,106,2.1131
1979,7,3,4,107,1.3516
1979,7,3,5,93,0.8540
1979,8,1,1,147,8.3178
1979,8,1,2,107,9.8767
1979,8,1,3,93,7.2574
1979,8,1,4,74,8.2271
1979,8,1,5,126,7.1503
1979,8,2,1,66,8.1848
1979,8,2,2,59,9.2357
1979,8,2,3,54,7.2316
1979,8,2,4,54,9.0355
1979,8,2,5,75,6.9137
1979,8,3,1,71,6.5314
1979,8,3,2,78,8.0859
1979,8,3,3,92,7.6906
1979,8,3,4,107,5.8447
1979,8,3,5,74,3.5581
1979,9,1,1,134,-0.2526
