year,month,rank_ME,rank_EP,nstocks,ret_vw
1970,2,1,5,90,1.8728
1970,2,2,1,100,4.1785
1970,2,2,2,71,1.6679
1970,2,2,3,65,4.5653
1970,2,2,4,54,6.4725
1970,2,2,5,64,4.8328
1970,2,3,1,116,2.8031
1970,2,3,2,108,5.8195
1970,2,3,3,102,7.9909
1970,2,3,4,114,7.8197
1970,2,3,5,112,6.7213
1970,3,1,1,274,-6.3410
1970,3,1,2,112,-5.5073
1970,3,1,3,109,-2.4671
1970,3,1,4,89,-0.2242
1970,3,1,5,90,0.1665
1970,3,2,1,102,-5.5816
1970,3,2,2,71,-1.2952
1970,3,2,3,65,-0.7443
1970,3,2,4,54,-0.2850
1970,3,2,5,64,0.6632
1970,3,3,1,117,-3.2218
1970,3,3,2,108,-0.4502
1970,3,3,3,102,0.1076
1970,3,3,4,114,2.3131
1970,3,3,5,112,2.3328
1970,4,1,1,273,-23.1775
1970,4,1,2,112,-17.1929
1970,4,1,3,109,-16.7671
1970,4,1,4,89,-11.3421
1970,4,1,5,90,-11.0052
1970,4,2,1,102,-22.7212
1970,4,2,2,71,-13.5744
1970,4,2,3,65,-12.7228
1970,4,2,4,54,-11.6431
1970,4,2,5,64,-9.3630
1970,4,3,1,117,-11.3385
1970,4,3,2,108,-9.0362
1970,4,3,3,102,-10.5452
1970,4,3,4,114,-8.5854
1970,4,3,5,112,-7.3651
1970,5,1,1,273,-8.4980
1970,5,1,2,110,-9.8592
1970,5,1,3,109,-9.7683
1970,5,1,4,89,-7.9211
1970,5,1,5,90,-9.0752
1970,5,2,1,101,-11.3179
1970,5,2,2,71,-12.7126
1970,5,2,3,65,-8.2828
1970,5,2,4,54,-9.2804
1970,5,2,5,64,-7.7892
1970,5,3,1,117,-8.7687
1970,5,3,2,108,-5.8158
1970,5,3,3,102,-7.0530
1970,5,3,4,114,-4.7777
1970,5,3,5,112,-1.7265
1970,6,1,1,272,-10.4115
1970,6,1,2,109,-10.6536
1970,6,1,3,109,-9.2831
1970,6,1,4,88,-5.8154
1970,6,1,5,90,-4.9132
1970,6,2,1,101,-9.1407
1970,6,2,2,70,-8.8729
1970,6,2,3,64,-6.7098
1970,6,2,4,54,-5.6354
1970,6,2,5,64,-3.1327
1970,6,3,1,117,-7.6752
1970,6,3,2,108,-2.8637
1970,6,3,3,102,-3.7475
1970,6,3,4,114,-5.8828
1970,6,3,5,112,-3.5760
1970,7,1,1,200,3.8747
1970,7,1,2,152,7.9118
1970,7,1,3,118,5.6335
1970,7,1,4,104,3.1795
1970,7,1,5,178,6.0839
1970,7,2,1,97,5.4136
1970,7,2,2,82,8.4844
1970,7,2,3,71,7.7375
1970,7,2,4,60,7.8072
1970,7,2,5,70,7.4002
1970,7,3,1,138,4.0244
1970,7,3,2,117,8.4747
1970,7,3,3,110,9.9076
1970,7,3,4,117,9.7749
1970,7,3,5,87,7.6238
1970,8,1,1,199,5.9578
1970,8,1,2,152,5.3863
1970,8,1,3,118,6.9044
1970,8,1,4,104,7.6696
1970,8,1,5,178,5.4434
1970,8,2,1,97,7.3727
1970,8,2,2,81,5.2019
1970,8,2,3,71,5.4141
1970,8,2,4,60,8.7505
1970,8,2,5,70,6.3979
1970,8,3,1,138,4.0590
1970,8,3,2,117,4.2506
1970,8,3,3,110,4.2336
1970,8,3,4,117,6.6669
1970,8,3,5,86,5.6307
1970,9,1,1,199,20.3917
1970,9,1,2,152,15.6797
1970,9,1,3,117,13.4819
1970,9,1,4,104,10.9108
1970,9,1,5,178,12.6731
1970,9,2,1,96,15.7842
1970,9,2,2,81,12.3070
1970,9,2,3,71,10.2981
1970,9,2,4,60,8.8972
1970,9,2,5,70,7.6619
1970,9,3,1,138,7.8208
1970,9,3,2,117,4.1953
1970,9,3,3,109,-0.4137
1970,9,3,4,117,1.2384
1970,9,3,5,86,3.6427
1970,10,1,1,199,-10.4125
1970,10,1,2,152,-7.7124
1970,10,1,3,117,-6.7567
1970,10,1,4,104,-6.7110
1970,10,1,5,178,-5.6168
1970,10,2,1,95,-6.3517
1970,10,2,2,81,-4.3953
1970,10,2,3,71,-4.6536
1970,10,2,4,60,-5.3675
1970,10,2,5,70,-3.0171
1970,10,3,1,138,-0.2923
1970,10,3,2,117,-1.7449
1970,10,3,3,109,-2.6361
1970,10,3,4,117,-0.0706
1970,10,3,5,86,-1.8577
1970,11,1,1,199,-5.6191
1970,11,1,2,152,-0.8888
1970,11,1,3,117,-0.2388
1970,11,1,4,104,1.1403
1970,11,1,5,177,0.4606
1970,11,2,1,95,0.0759
1970,11,2,2,81,2.8953
1970,11,2,3,71,4.1458
1970,11,2,4,59,2.5554
1970,11,2,5,70,5.5966
1970,11,3,1,138,4.9496
1970,11,3,2,117,5.1363
1970,11,3,3,109,5.7497
1970,11,3,4,117,6.6055
1970,11,3,5,86,4.6526
1970,12,1,1,199,5.5930
1970,12,1,2,152,10.6050
1970,12,1,3,117,11.7290
1970,12,1,4,103,11.9604
1970,12,1,5,176,12.0471
1970,12,2,1,95,6.2709
1970,12,2,2,81,8.6904
1970,12,2,3,71,8.3471
1970,12,2,4,59,10.5200
1970,12,2,5,70,8.2946
1970,12,3,1,137,4.5436
1970,12,3,2,117,6.7674
1970,12,3,3,109,8.0575
1970,12,3,4,117,5.3849
1970,12,3,5,86,6.7664
1971,1,1,1,199,16.5545
1971,1,1,2,152,15.1933
1971,1,1,3,116,12.6625
1971,1,1,4,103,12.7001
1971,1,1,5,176,14.3290
1971,1,2,1,93,9.4120
1971,1,2,2,81,10.6717
1971,1,2,3,71,9.7313
1971,1,2,4,59,11.1256
1971,1,2,5,70,9.8513
1971,1,3,1,137,4.4882
1971,1,3,2,117,5.1356
1971,1,3,3,109,6.5953
1971,1,3,4,117,2.0679
1971,1,3,5,86,3.6716
1971,2,1,1,197,6.0075
1971,2,1,2,152,6.0508
1971,2,1,3,115,5.5437
1971,2,1,4,103,4.0784
1971,2,1,5,175,5.9247
1971,2,2,1,93,4.0114
1971,2,2,2,81,1.5338
1971,2,2,3,71,3.2601
1971,2,2,4,59,2.3651
1971,2,2,5,69,2.6753
1971,2,3,1,136,2.3618
1971,2,3,2,117,2.1823
1971,2,3,3,109,-1.8829
1971,2,3,4,117,2.0364
1971,2,3,5,86,2.9541
1971,3,1,1,197,5.7471
1971,3,1,2,152,7.6285
1971,3,1,3,115,6.7976
1971,3,1,4,103,4.3034
1971,3,1,5,175,6.0355
1971,3,2,1,92,8.4599
1971,3,2,2,81,8.5119
1971,3,2,3,71,5.3665
1971,3,2,4,59,5.1670
1971,3,2,5,69,3.3878
1971,3,3,1,135,6.0640
1971,3,3,2,116,3.9063
1971,3,3,3,109,2.4760
1971,3,3,4,117,2.6768
1971,3,3,5,86,3.2232
1971,4,1,1,197,1.9167
1971,4,1,2,151,3.6666
1971,4,1,3,115,3.2276
1971,4,1,4,103,3.1107
1971,4,1,5,175,0.6864
1971,4,2,1,92,4.8160
1971,4,2,2,80,3.1182
1971,4,2,3,71,3.0560
1971,4,2,4,59,5.6256
1971,4,2,5,68,1.8926
1971,4,3,1,135,3.7644
1971,4,3,2,116,3.7938
1971,4,3,3,109,2.9110
1971,4,3,4,117,3.5293
1971,4,3,5,86,4.2281
1971,5,1,1,197,-6.4300
1971,5,1,2,151,-6.9902
1971,5,1,3,114,-4.7176
1971,5,1,4,101,-5.0118
1971,5,1,5,174,-6.2580
1971,5,2,1,93,-2.7567
1971,5,2,2,79,-3.3340
1971,5,2,3,71,-4.6680
1971,5,2,4,59,-5.4234
1971,5,2,5,68,-4.8028
1971,5,3,1,135,-2.7594
1971,5,3,2,116,-2.5744
1971,5,3,3,109,-3.9045
1971,5,3,4,117,-4.4497
1971,5,3,5,86,-4.5696
1971,6,1,1,193,-3.3866
1971,6,1,2,151,-0.6262
1971,6,1,3,114,-1.6565
1971,6,1,4,101,-3.1073
1971,6,1,5,174,-1.4292
1971,6,2,1,92,1.3803
1971,6,2,2,79,0.1050
1971,6,2,3,71,-0.6081
1971,6,2,4,59,-0.9087
1971,6,2,5,68,-1.7423
1971,6,3,1,135,1.0898
1971,6,3,2,115,0.7444
1971,6,3,3,109,0.8455
1971,6,3,4,117,-0.4840
1971,6,3,5,86,-0.7543
1971,7,1,1,146,-7.7993
1971,7,1,2,103,-7.5508
1971,7,1,3,110,-7.1706
1971,7,1,4,117,-6.4589
1971,7,1,5,223,-5.3090
1971,7,2,1,77,-6.1765
1971,7,2,2,69,-6.1392
1971,7,2,3,66,-4.5612
1971,7,2,4,78,-3.0436
1971,7,2,5,97,-4.6632
1971,7,3,1,141,-4.7469
1971,7,3,2,146,-3.3144
1971,7,3,3,125,-4.3386
1971,7,3,4,95,-3.1096
1971,7,3,5,63,-4.0135
1971,8,1,1,146,2.5860
1971,8,1,2,103,3.9778
1971,8,1,3,110,4.9800
1971,8,1,4,117,3.2758
1971,8,1,5,223,5.4121
1971,8,2,1,77,3.6304
1971,8,2,2,69,5.7977
1971,8,2,3,66,5.7628
1971,8,2,4,78,3.4370
1971,8,2,5,97,4.0653
1971,8,3,1,141,6.2421
1971,8,3,2,145,4.7860
1971,8,3,3,124,4.0856
1971,8,3,4,95,-0.4659
1971,8,3,5,63,2.2831
1971,9,1,1,146,-2.3697
1971,9,1,2,103,2.9818
1971,9,1,3,110,-2.1762
1971,9,1,4,117,1.4612
